"a_o","secretaria","nombreestablecimiento","zona","direccion","telefono","codigo_etc","tipo_establecimiento","etnias","sector","genero","niveles","jornada","caracter","especialidad","grados","modelos_educativos","modelos","discapacidades","idiomas","numero_de_sedes","estado","prestador_de_servicio","propiedad_planta_fisica","resguardo","matricula_contratada","internado","estrato_socio_economico","correo_electronico"
"2016","BOGOTA","COLEGIO MIGUEL DE CERVANTES SAAVEDRA (IED)","URBANA","KR 1 A 76 BIS 15 SUR","2001025","VICTOR ZENON CARO CUERVO","INSTITUCION EDUCATIVA",,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,NOCTURNA,TARDE",,"ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,23,24,25,26,99","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,"SV-BAJA VISIÓN,DI-COGNITIVO,LIMITACIÓN FISICA (MOVILIDAD),HIPOACUSIA O BAJA AUDICIÓN",,"2",,"OFICIAL","OFICIAL","NO APLICA","NO",,,"cedmigueldecervan5@redp.edu.co"
"2016","BOGOTA","LIC NUEVA COLOMBIA                                                                                  ","URBANA","KR 6 F ESTE 90 66 SUR","2003500","MANUEL IGNACIO ROMERO ROMERO","INSTITUCION EDUCATIVA",,,,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA",,,"-1,0,1,2,3,4,5,6,7,8,9","EDUCACIÓN TRADICIONAL",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO",,,"liceonuevacolombia@hotmail.com"
"2016","BOGOTA","COL SANTA MARIA DE LA PAZ                                                                           ","URBANA","KR 2 73 B 15 SUR","2005058 -- 5699335","ROSA ADELA HERNANDEZ VELASQUEZ","INSTITUCION EDUCATIVA",,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA,TARDE",,"ACADÉMICA","-1,0,1,2,3,4,5,6,7,8,9,10,11","EDUCACIÓN TRADICIONAL",,,,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO",,,"colsamapa@hotmail.com"
"2016","BOGOTA","JARDIN INFANTIL CASITA DEL SOL","URBANA","CL 73 B SUR 1 D 13","2005136","RICARDO JIMENEZ SOLANO","CENTRO EDUCATIVO",,,,"PREESCOLAR","MAÑANA,COMPLETA",,,"-3","EDUCACIÓN TRADICIONAL",,,"INGLÉS","1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO",,,"latinoamericarcolibre@hotmail.com"
"2016","BOGOTA","COL JUAN RULFO                                                                                      ","URBANA","KR 1 A ESTE 75 A 40 SUR","2005816 -- 2001082","MARIA DEL TRANSITO LOPEZ DE GOMEZ","INSTITUCION EDUCATIVA",,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,COMPLETA,TARDE",,"ACADÉMICA","-1,0,1,2,3,4,5,6,7,8,9,10,11","EDUCACIÓN TRADICIONAL",,"LIMITACIÓN FISICA (MOVILIDAD)",,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO",,,"coljuanrulfo@yahoo.com"
"2016","BOGOTA","COLEGIO TENERIFE - GRANADA SUR (IED)","URBANA","KR 2 91 14 SUR","2006724 -- 7687886","DARIO SANGUINO ESTUPIÑAN","INSTITUCION EDUCATIVA",,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE",,"ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,99","EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,,,"2",,"OFICIAL","OFICIAL","NO APLICA","NO",,,"escditenerife5@redp.edu.co"
"2016","BOGOTA","JARD INF SATELITE PRIMAVERA","URBANA","TV 40 C 6 B 26","2011453","DORA ALICIA CASTILLA ","CENTRO EDUCATIVO",,,,"PREESCOLAR","COMPLETA",,,"-3","EDUCACIÓN TRADICIONAL",,,,"1",,"OFICIAL","OFICIAL","NO APLICA","NO",,,
"2016","BOGOTA","INST DE INTEGRACION CULTURAL IDIC                                                                   ","URBANA","CLL. 5C NO.31C-16","2011609","GUSTAVO CORTES CORTES","INSTITUCION EDUCATIVA",,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA",,"ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","EDUCACIÓN TRADICIONAL",,"MÚLTIPLE DISCAPACIDAD,HIPOACUSIA O BAJA AUDICIÓN","INGLÉS","1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO",,,"coleidicgcc@hotmail.com                           "
"2016","BOGOTA","COLEGIO BILINGÜE CEDAM","URBANA","CL 2 B 27 A 02","2016652","LIZZETH HASLEIDY HERNANDEZ DUQUE","INSTITUCION EDUCATIVA",,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA",,,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","EDUCACIÓN TRADICIONAL",,"DI-COGNITIVO",,"1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO",,,"cedam@etb.net.co"
"2016","BOGOTA","ACAD MILIT MARISCAL SUCRE                                                                           ","URBANA","KR 29 10 54","2019405 -- 5601728 -- 2378145 -- 6814587","GERARDO ACEVEDO RIVERO","INSTITUCION EDUCATIVA",,,,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA",,"ACADÉMICA","-1,0,1,2,3,4,5,6,7,8,9,10,11","EDUCACIÓN TRADICIONAL",,,"INGLÉS","1",,"PERSONA NATURAL","PERSONA NATURAL","NO APLICA","NO",,,"am_mariscalsucre@amms.com.co"
