"nombreestablecimiento","direccion","nit","telefono","telefax","municipio","departamento","fechaconcepto","conceptocapacidadproduccion"
"DISTRINAL","CL 6 NO 2 - 57 BARRIO LATINO","79453500-2","5714020","5714020","CUCUTA","NORTE DE SANTANDER","2013-08-08T00:00:00.000","CUMPLE CON LA DONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA INICIAR LAS ACTIVIDADES DE FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVA VAJILLAS PULIDORES DE COCINA SUAVIZANTES PRODUCTOS PARA EL PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES DE ACUERDO A LO CONTEMPLADO EN LA DECISION 706 DEL 2008 Y 721 DEL 2009 DE LA COMUNIDAD ANDINA"
"REPRESENTACIONES SUPER GAR SAS","KR 56 # 129 - 22","830067680-8","6432435","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2017-01-11T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"TECNOLOQUIMICA SAS","KR 22 # 14 - 62 BARRIO SAN FRANCISCO","900672092-5","3164829028","6115722","BUCARAMANGA","SANTANDER","2016-05-03T00:00:00.000","CUMPLE CON LAS CONDICIONES TÉCNICAS LOCATIVAS HIGIÉNICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES Y LIMPIADORES DE SUPERFICIE DE ACUERDO A LO CONTEMPLADO EN LA DECISION 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA"
"TEXQUIPLAS S A S","KR 13 A # 8-114 URB IND MONTANA","860403588-9","8941094","8941900","MOSQUERA","CUNDINAMARCA","2013-07-17T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA INICIAR LAS ACTIVIDADES DE FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES AMBIENTADORES PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE BLANQUEADORES QUITAMANCHAS Y LIMPIADORES DE SUPERFICIES DE ACUERDO A LO CONTEMPLADO EN LA DECISION 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA"
"VITTALY S.A.S","LOTE 6 EL BUQUE DE PAMPLONA POR LA SALIDA DE LA VIA PAMPLONA BUCARAMANGA A 1 0 KM DE LA UNIVERSIDAD DE PAMPLONA","901366378-8","5685061 -3132524230-3208033373","NO REGISTRA","PAMPLONA","NORTE DE SANTANDER","2018-02-08T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LAS ACTIVIDADES DE FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE LIMPIADORES DE SUPERFICIES"
"3 H + 1 QUIMICOS SAS","TV 35 D # 29 -32","900924082-4","3791417","NO REGISTRA","ENVIGADO","ANTIOQUIA","2016-05-03T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES DE ROPA AMBIENTADORES QUITAMANCHAS LIMPIADORES DE SUPERFICIES Y PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE"
"ABSORBENTES DE COLOMBIA SA","ZONA FRANCA DE RIONEGRO BODEGAS 213 - 214 VEREDA CHACHAFRUTO","900072035-0","5626199","NO REGISTRA","RIONEGRO","ANTIOQUIA","2020-07-28T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS ABSORBENTES DE HIGIENE PERSONAL (TOALLAS HIGIÉNICAS Y PROTECTORES DE FLUJOS ÍNTIMOS)"
"ACEITES MINERALES S A S AMSA","PARQUE INDUSTRIAL CHIMITA 2- 2 ETAPA KM 7 BODEGA 2","900117244-9","6768602","6761140","BUCARAMANGA","SANTANDER","2017-10-24T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES SANITARIA HIGIÉNICAS TÉCNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LÍQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE LIMPIADORES DE SUPERFICIES DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA"
"AEROSOLES Y MATERIAS PRIMAS AEROMAT S.A.S","AV TRONCAL DE OCCIDENTE 18-76 PARQUE INDUSTRIAL SANTO DOMINGO BODEGA B 18","900232248-1","3186528374","NO REGISTRA","MOSQUERA","CUNDINAMARCA","2021-06-03T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA (INCLUYENDO EL ENVASADO DE PRODUCTOS DE PREPLANCHADO EN FORMA DE AEROSOL), AMBIENTADORES (INCLUYENDO EL ENVASADO EN FORMA DE AEROSOL), BLANQUEADORES Y QUITAMANCHAS (SIN CLORO), PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE (INCLUYENDO EL ENVASADO EN FORMA DE AEROSOL) Y LIMPIADORES DE SUPERFICIES (INCLUYENDO EL ENVASADO EN FORMA DE AEROSOL)"
"AGROLOGICA ANDINA S A","KR 36 # 8 - 442 BODEGA 25","900080255-8","8510536","8512962","ZIPAQUIRA","CUNDINAMARCA","2016-07-28T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"AGROQUIMICOS ARROCEROS DE COLOMBIA SA - AGROZ SA","KM 1 VÍA ESPINAL – IBAGUÉ","800018488-1","(8)2483930 - 3173690783","NO REGISTRA","ESPINAL","TOLIMA","2020-08-11T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LÍQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, AMBIENTADORES, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES, DE ACUERDO CON LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009, DE LA COMUNIDAD ANDINA DE NACIONES; Y CONFORME A LOS ANTECEDENTES RELACIONADOS EN LA PRESENTE ACTA."
"AGUDELO LOAIZA ANDRES FELIPE PROPIETARIO DEL ESTABLECIMIENTO NINO AROMAS","KR 9 C # 43 E -86 BARRIO BUENOS AIRES APARTAMENTO 201","98763422-5","3003749046","NO REGISTRA","MEDELLIN","ANTIOQUIA","2016-09-08T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA PRODUCTOS LAVAVAJILLAS LIMPIADORES DE SUPERFICIES AMBIENTADORES"
"ALFAGRES SA","AU SUR KM 16 SIBATE","860032550-7","5978880","7114572","SIBATE","CUNDINAMARCA","2006-11-24T00:00:00.000","CONCEPTO TECNICO FAVORABLE POR CUANTO REUNE LAS CONDICIONES HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA FABRICAR Y ENVASAR PRODUCTOS DE ASEO Y LIMPIEZA DE USO DOMESTICO EN FORMA LIQUIDA LIMPIADORES JABONES Y DETERGENTES NO COMSETICOS DESINFECTANTES DE USO DOMESTICO BLANQUEADORES DESMANCAHDORES PRODUCTOS LAVALOZA AMBINETADORES CHAMPU PARA ALFOMBRAS CHAMPU PARA AUTOS LIMPIAVIDRIOS CERAS SIAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCAHDO DE ROPA"
"ALFAGRES SA","AU SUR KILOMETRO 13","860032550-7","3390661","3188007418","SOACHA","CUNDINAMARCA","2016-07-28T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"ALFE ASEO SAS","CALLE 51 # 14 - 43","900265622-3","6019567","NO REGISTRA","BARRANCABERMEJA","SANTANDER","2021-11-19T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LÍQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, AMBIENTADORES, SUAVIZANTES, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE, BLANQUEADORES Y QUITAMANCHAS, LIMPIADORES DE SUPERFICIES"
"ALIANZAS Y/O INDUSTRIAS ALTA PUREZA SA","CL 10 NO 89A - 36 BARRIO SANTA PAZ","830074214-8","4122403","7800519","BOGOTA DC","CUNDINAMARCA","2020-05-12T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE SÓLIDOS: PRODUCTOS LAVAVAJILLAS Y LIMPIADORES DE SUPERFICIES"
"ALIANZAS Y/O INDUSTRIAS ALTA PUREZA SAS","CALLE 18 # 69F -05/15","830074214-8","3108508320","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2022-02-24T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE SÓLIDOS: PRODUCTOS LAVAVAJILLAS Y LIMPIADORES DE SUPERFICIES."
"ALIKLEAN SAS","CARRERA 42 # 44-35","900828476-1","3017881174-","NO REGISTRA","MEDELLIN","ANTIOQUIA","2019-02-05T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES QUITAMANCHAS PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIE"
"AMORA ESTABLECIMIETO DE COMERCIO PROPIEDAD DE OSCAR VANANCIO SUAREZ PULIDO","KR 1 NO 18-65 PISO 2","16936381-7","3174039857","NO REGISTRA","CALI","VALLE DEL CAUCA","2018-07-19T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE SOLIDOS AMBIENTADORES SEMISOLIDOS AMBIENTADORES Y ENVASADO DE LIQUIDOS AMBIENTADORES"
"ANDRUSOF SAS","CALLE 16 I NO 96 G 52 BARRIO FONTIBON","900557692-2","3971580   3153503402","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2020-10-28T00:00:00.000","CUMPLE CON LAS CONDICIONES TÉCNICAS, LOCATIVAS, HIGIÉNICAS, SANITARIAS, DE DOTACIÓN Y RECURSOS HUMANOS PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LIQUIDOS: DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES, AMBIENTADORES, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES."
