"cod_clase","clase","nombre","direccion","barrio","cod_mpio","municipio"
"4","DROGUERIA","LA PRIMAVERA BELLO VALLE","CARRERA 6 NRO 6C-25","BELLO VALLE","54003","ABREGO"
"4","DROGUERIA","ABREGO","CARRERA  5 No. 14-81","CENTRO","54003","ABREGO"
"4","DROGUERIA","MAXIDROGAS","CALLE 18 No.4-02","SANTA BARBARA","54003","ABREGO"
"16","TIENDA NATURISTA","NATURA VITAL","CARRERA 6 #13-61","CENTRO","54003","ABREGO"
"4","DROGUERIA","SANTA ISABEL","Cra. 6 No. 13-64","N/A","54003","ABREGO"
"16","TIENDA NATURISTA","NATURVID","CARRERA 5 # 12-73","CALLE REAL","54001","ABREGO"
"4","DROGUERIA","SERVIDROGAS","CALLE 19 No. 3A-07","N/A","54003","ABREGO"
"4","DROGUERIA","UNIDROGAS SAFME","CALLE 15 # 5-91","CENTRO","54003","ABREGO"
"12","IPS","ESE HOSPITAL REGIONAL NOROCCIDENTAL","CALLE 20 CRA 3a","SANTA BARBARA","54003","ABREGO"
"4","DROGUERIA","FARMAPAEZ","CARRERA 5 # 12-73","CALLE REAL","54003","ABREGO"
"4","DROGUERIA","KPHARMA","CARRERA 3A # 18-25","N/A","54003","ABREGO"
"12","IPS","KARISALUD - ABREGO","CARRERA 6 # 6A-35","BOLIVAR","54003","ABREGO"
"12","IPS","IPS SOCIEDAD POR ACCIONES SIMPLIFICADAS- SALUD VITAL ABREGO","CARRERA 6 # 9-51","POPULAR","54003","ABREGO"
"4","DROGUERIA","PHARMAKOS","CRA 6 #12-14","CALLE CENTRAL","54003","ABREGO"
"4","DROGUERIA","TU AMIGA","CLL 18 # 5-39","N/A","54003","ABREGO"
"4","DROGUERIA","BIOMEDICAL PLUS","CRA 6 # 13-09 LOCAL 2","CALLE CENTRAL","54003","ABREGO"
"4","DROGUERIA","PAGUE MENOS ABREGO","CLL 13 # 6-20","CENTRO","54003","ABREGO"
"4","DROGUERIA","PHARMASAN ABREGO","CLL 13 #6-57","LA ESTRELLA","54003","ABREGO"
"4","DROGUERIA","MAX VIDA PLENA","CRA 7 #13-92","CENTRO","54003","ABREGO"
"4","DROGUERIA","FARMANORTE # 58","CRA 6 #14-84","CENTRO","54003","ABREGO"
"4","DROGUERIA","DE DESPACHO INTEGRADOS ABREGO","CR 6 # 9-81","CENTRO","54003","ABREGO"
"4","DROGUERIA","FARMANAB SAS ABREGO","CALLE 13 # 5-52","SAN ANTONIO","54003","ABREGO"
"16","TIENDA NATURISTA","ANLYNATURA ABREGO","CRA 6 # 13-63","CENTRO","54003","ABREGO"
"4","DROGUERIA","SAN RAFAEL PROTECTOR","CALLE 3 No 3-16","EL PROGRESO","54051","ARBOLEDAS"
"4","DROGUERIA","POPULAR DE ARBOLEDAS","CALLE 3 No. 4-12","CENTRO","54051","ARBOLEDAS"
"4","DROGUERIA","SOLINSA ARBOLEDAS","CALLE 4 # 4-56","CENTRO","54051","ARBOLEDAS"
"12","IPS","ESE HOSPITAL SAN JUAN DE DIOS ARBOLEDAS","CALLE 7 # 7-01","N/A","54051","ARBOLEDAS"
"12","IPS","CENTRO DE SALUD BOCHALEMA","CARRERA 2 # 2-32","CENTRO","54099","BOCHALEMA"
"4","DROGUERIA","LA DON JUANA","K-108","CENTRO","54099","BOCHALEMA"
"4","DROGUERIA","BOCHALEMA","CARRERA 4 No. 2-35","LA NASA CENTRO","54099","BOCHALEMA"
"4","DROGUERIA","MARISOL","CALLE 3 #3-89","SAN BARTOLOME","54099","BOCHALEMA"
"4","DROGUERIA","TRUJILLO BOCHALEMA","CRA 4 # 2-27","NAZA","54099","BOCHALEMA"
"4","DROGUERIA","DE DESPACHO INTEGRADOS BOCHALEMA","CR 4 # 2-27 LC 1","LA NASA","54099","BOCHALEMA"
"4","DROGUERIA","ISAFARMA MEDICAL","CARRERA 3 # 4-13","CENTRO","54099","BOCHALEMA"
"12","IPS","CENTRO SALUD DE BUCARASICA","CLL 1 #3-19","CENTRO","54109","BUCARASICA"
"4","DROGUERIA","LA FLORIDA","CALLE 1#3-19","CENTRO","54109","BUCARASICA"
"4","DROGUERIA","SOLINSA BUCARASICA","CL 2 # 2-95","BETANIA","54109","BUCARASICA"
"4","DROGUERIA","W. ACEVEDO","CALLE 3 # 5-52 LA VEGA","CENTRO","54128","CACHIRA"
"4","DROGUERIA","LAS MARIAS","CLL 6 # 6 -66","CALLE DEL COMERCIO","54128","CACHIRA"
"4","DROGUERIA","SAN AGUSTIN DE LA VEGA","CALLE 2 No 8-27","KENNEDY","54128","CACHIRA"
"4","DROGUERIA","DIVINO NIÑO CACHIRA","CLL 6A #4-20","KENNEDY","54128","CACHIRA"
"4","DROGUERIA","CACHIRA","CALLE DEL COMERCIO # 6A-10","CALLE CENTRAL","54128","CACHIRA"
"4","DROGUERIA","LAS MARIAS No 2","CALLE 4 No 5-03","N/A","54128","CACHIRA"
"12","IPS","ESE HOSPITAL REGIONAL OCCIDENTAL","CALLE 6A Nº 14-19","KENNEDY","54128","CACHIRA"
"12","IPS","CENTRO DE SALUD CACHIRA","CORREGIMIENTO LA VEGA","N/A","54128","CACHIRA"
"12","IPS","CENTRO DE SALUD LA ESPERANZA","CRA 1 #1-67","LA ESPERANZA","54128","CACHIRA"
"4","DROGUERIA","FARMA RUIZ ORTEGA","CRA 3 8-58","ANTONIO JOSE DEL RINCON","54128","CACHIRA"
"12","IPS","CENTRO DE SALUD CACOTA","CRA . 3 # 3-43","CENTRO CACOTA","54125","CACOTA"
"4","DROGUERIA","MEDI-CACOTA","CARRERA 2 N°3-72  3-76 Y 3-78","CENTRO","54125","CACOTA"
"4","DROGUERIA","FARMISALUD","AV 4 # 2-53","CENTRO DE CHINACOTA","54172","CHINACOTA"
"12","IPS","ESE HOSPITAL REGIONAL SURORIENTAL","CRA 3 con calle 10 esquina","EL DIQUE","54172","CHINACOTA"
"4","DROGUERIA","SAN RAFAEL ARCANGEL CHINACOTA","CALLE 6 # 3-51","CENTRO","54172","CHINACOTA"
"4","DROGUERIA","FARMANORTE # 16","Cll 3 # 3-30 KDX 318","CENTRO","54172","CHINACOTA"
"4","DROGUERIA","ISRAEL","MANZANA A  CASA 1  LOTE 1","URB NOHORA PUYANA CHINACOTA","54172","CHINACOTA"
"4","DROGUERIA","ISCALA","CARRERA 4#4-55","CENTRO","54172","CHINACOTA"
"4","DROGUERIA","LUZFARMA EXPRESS","CARRERA 3  LT 4A1 LC 2","EL DIQUE","54172","CHINACOTA"
"4","DROGUERIA","KAROL Y SANTI","CLLE 3 # 3-41","CENTRO","54172","CHINACOTA"
"4","DROGUERIA","FARMISALUD 4 DE JULIO","MZ B LC 3-1","4 DE JULIO","54172","CHINACOTA"
"4","DROGUERIA","LA AURORA L.D.","CRA 4 #17-60","LA VICTORIA","54172","CHINACOTA"
"4","DROGUERIA","INGLESA # 145","CLL 3 #4-42 LC 4 PLAZA BELLAVISTA","CENTRO","54172","CHINACOTA"
"4","DROGUERIA","TRUJILLO CHINACOTA","CRR 1 # 6-53 LC 1","EL CARMEN","54172","CHINACOTA"
"4","DROGUERIA","FARMACIA SAN JOSE RM","CLL 8 N° 3-58","CENTRO","54172","CHINACOTA"
"4","DROGUERIA","DE DESPACHO INTEGRADOS CHINACOTA","CRA 4 # 9-11","EL DIQUE","54172","CHINACOTA"
