"codmpo","coddane","clase_de_equipamiento","subclase_de_equipamiento","nombre_equipamiento","clase_de_uso","localizaci_n","direcci_n","vereda_municipio","municipio","subregi_n","accesibilidad","tipo_de_superficie","acueducto","alcantarillado","energia_electrica","recolecci_n_de_basuras","gas_natural","conexiones","cobertura","observaciones","fecha","telefono","fecha_captura","geocoded_column"
"17662","17662027","PUNTO DE REFERENCIA","N/A","LÁCTEOS SAMANA","PRIVADO","RURAL","VEREDA LAS CAMELIAS","EL BRASIL","SAMANA","MAGDALENA CALDENSE","VEHICULAR","PAVIMENTADA","RIO, QUEBRADA, NACIMIENTO O MANANTIAL","POZO SEPTICO","SI TIENE CONEXION","POR RECOLECCION PUBLICA O PRIVADA","NO TIENE CONEXION","NINGUNO DE LOS ANTERIORES","MUNICIPAL","N/A","2016-12-21T00:00:00.000","3134939810","2016-12-21T00:00:00.000","(5.41982666700532, -74.9777516670453)"
"17042","17042000","PUNTO DE REFERENCIA","N/A","COOPERATIVA DE CAFICULTORES ANSERMA  CALDAS","PÚBLICO","CABECERA MUNICIPAL","CARRERA 5 NÚMERO 22-04","ANSERMA","ANSERMA","OCCIDENTE PROSPERO","VEHICULAR","PAVIMENTADA","ACUEDUCTO POR TUBERIA","SISTEMA DE ALCANTARILLADO","SI TIENE CONEXION","POR RECOLECCION PUBLICA O PRIVADA","NO TIENE CONEXION","INT RED / TEL FIJO","INTERMINUCIPAL","N/A","2016-11-29T00:00:00.000","8532512","2016-11-29T00:00:00.000","(5.23866333326788, -75.7853733329308)"
"17614","17614013","PUNTO DE REFERENCIA","N/A","SEDE RESGUARDO DE LA MONTAÑA","PÚBLICO","RURAL","VEREDA ÉL SALADO","EL SALADO","RIOSUCIO","ALTO OCCIDENTE","VEHICULAR","TROCHA","ACUEDUCTO POR TUBERIA","SISTEMA DE ALCANTARILLADO","SI TIENE CONEXION","LA QUEMAN O ENTIERRAN","NO TIENE CONEXION","NINGUNO DE LOS ANTERIORES","INTERVEREDAL","N/A","2016-12-06T00:00:00.000","N/A","2016-12-06T00:00:00.000","(5.45237166659476, -75.7430000004049)"
"17877","17877003","PUNTO DE REFERENCIA","N/A","PERRERA MUNICIPAL","PÚBLICO","CABECERA MUNICIPAL","BARRIO VALLES DE  CANNAN","CANAAN","VITERBO","OCCIDENTE PROSPERO","VEHICULAR","PAVIMENTADA","ACUEDUCTO POR TUBERIA","OTRO_SISTEMA","SI TIENE CONEXION","POR RECOLECCION PUBLICA O PRIVADA","NO TIENE CONEXION","NINGUNO DE LOS ANTERIORES","MUNICIPAL","N/A","2016-11-18T00:00:00.000","N/A","2016-11-18T00:00:00.000","(5.06158500039268, -75.878073332962)"
"17380","17380002","PUNTO DE REFERENCIA","C.E. NO FORMAL","PUNTO VIVE DIGITAL","PÚBLICO","CENTRO POBLADO","N/A","BUENAVISTA","LA DORADA","MAGDALENA CALDENSE","VEHICULAR","PAVIMENTADA","ACUEDUCTO POR TUBERIA","SISTEMA DE ALCANTARILLADO","SI TIENE CONEXION","POR RECOLECCION PUBLICA O PRIVADA","NO TIENE CONEXION","INTERNET_SATELITAL","VEREDAL","N/A","2016-12-01T00:00:00.000","N/A","2016-12-01T00:00:00.000","(5.76707670961621, -74.6738919803098)"
"17380","17380000","PUNTO DE REFERENCIA","CARCEL","EST PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARI","PRIVADO","CABECERA MUNICIPAL","CARRERA 2C # 2-450","LA DORADA","LA DORADA","MAGDALENA CALDENSE","VEHICULAR","PAVIMENTADA","ACUEDUCTO POR TUBERIA","SISTEMA DE ALCANTARILLADO","SI TIENE CONEXION","POR RECOLECCION PUBLICA O PRIVADA","NO TIENE CONEXION","INTERNET RED","INTERDEPARTAMENTAL","PLANTA DE ABASTECIMIENTO DE COMBUSTIBLE","2016-11-18T00:00:00.000","N/A","2016-11-18T00:00:00.000","(5.46282300038549, -74.6651589669527)"
"17050","17050031","PUNTO DE REFERENCIA","CRUCE VIAL","ALEGRÍAS","PÚBLICO","RURAL","VÍA ARANZAZU","CHUPADEROS-SANTA TERESITA","ARANZAZU","NORTE","VEHICULAR","PAVIMENTADA","ACUEDUCTO POR TUBERIA","SISTEMA DE ALCANTARILLADO","SI TIENE CONEXION","POR RECOLECCION PUBLICA O PRIVADA","NO TIENE CONEXION","NINGUNO DE LOS ANTERIORES","INTERMINUCIPAL","ESTE ES U.N SIYIO DE REFERENCIA, RESTAURANTE Y ESTADERO.","2016-11-23T00:00:00.000","N/A","2016-11-23T00:00:00.000","(5.30405598318197, -75.4953628336917)"
"17380","17380007","PUNTO DE REFERENCIA","CRUCE VIAL","CRUCE DORADA-HONDA-VICTORIA","PÚBLICO","RURAL","VEREDA HORIZONTES","HORIZONTES","LA DORADA","MAGDALENA CALDENSE","VEHICULAR","PAVIMENTADA","N/A","N/A","NO TIENE CONEXION","N/A","NO TIENE CONEXION","NINGUNO DE LOS ANTERIORES","INTERDEPARTAMENTAL","N/A","2016-11-28T00:00:00.000","N/A","2016-11-28T00:00:00.000","(5.29503186710753, -74.7460646828864)"
"17380","17380004","PUNTO DE REFERENCIA","CRUCE VIAL","CRUCE DORADA-SAN MIGUEL-NORCASIA","PÚBLICO","RURAL","VEREDA EL JAPÓN","EL JAPON","LA DORADA","MAGDALENA CALDENSE","VEHICULAR","PAVIMENTADA","N/A","N/A","NO TIENE CONEXION","N/A","NO TIENE CONEXION","NINGUNO DE LOS ANTERIORES","INTERDEPARTAMENTAL","N/A","2016-11-29T00:00:00.000","N/A","2016-11-29T00:00:00.000","(5.53566546692336, -74.7120779329198)"
"17380","17380000","PUNTO DE REFERENCIA","CRUCE VIAL","LA MELISSA","PÚBLICO","CABECERA MUNICIPAL","N/A","LA DORADA","LA DORADA","MAGDALENA CALDENSE","VEHICULAR","PAVIMENTADA","ACUEDUCTO POR TUBERIA","SISTEMA DE ALCANTARILLADO","SI TIENE CONEXION","POR RECOLECCION PUBLICA O PRIVADA","NO TIENE CONEXION","NINGUNO DE LOS ANTERIORES","INTERDEPARTAMENTAL","DORADA-HONDA-PUERTO SALGAR","2016-11-28T00:00:00.000","N/A","2016-11-28T00:00:00.000","(5.44633936681526, -74.6725105834052)"
