"item","establecimiento","municipio","direccion","telefono","correo_electronico","actividad_de_establecimiento","con_servicio_de_inyectologia","manejo_medicamentos_de_control","concepto","fecha_de_concepto_visita","ultima_visita_de_seguimirnto","no_resolucion_inscripcion","fecha_resolucion_de","no_resolucion_renovacion","fecha_renovacion_de","vigente"
"1","Drogueria Farma Oriente Del Llano","Yopal","Calle 9 No 18 - 09","6342532","JPORRASROBLES@GMAIL.COM","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-02-07T00:00:00.000","43634","1606","21/12/2016","989","2020-11-04T00:00:00.000","SI"
"2","Drogueria Drogas La Sabana","Yopal","Calle 9 No 20 - 04","6357669","drogaslasabana@outlook.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-05-28T00:00:00.000","44166","711","2011-07-01T00:00:00.000","299","2021-03-26T00:00:00.000","SI"
"3","Drogueria 24 Horas","Yopal","Calle 10 No 24 - 131","6330489","drollanos@hotmail.com","Droguería","No","No","Favorable","2018-01-25T00:00:00.000","N/A","703","2000-03-24T00:00:00.000","205","2020-02-18T00:00:00.000","SI"
"4","Drogueria La Salud","Yopal","Calle 9 No 19 - 44","6324089","droguerialasalud@outlook.com","Droguería","No","Si","Favorable","2018-01-23T00:00:00.000","44168","2636","1994-08-16T00:00:00.000","324","2021-04-08T00:00:00.000","SI"
"5","Drogueria Social Coph","Yopal","Carrera19 No 12-10","3204556027","drogueriasocialcoph@gmail.com","Droguería","No","No","Favorable","2018-01-30T00:00:00.000","44249","779","2014-06-26T00:00:00.000","1537","2021-12-28T00:00:00.000","SI"
"6","Drogueria Farmadomicilios By Drogueria Yopal","Yopal","Calle 9 No 22 - 01","6324942","luis.mendoza@copidrogas.org.com.co","Droguería","No","No","Favorable","2018-07-12T00:00:00.000","43805","576","2010-07-09T00:00:00.000","531","2020-05-26T00:00:00.000","SI"
"7","Drogueria Yopal","Yopal","Carrera 20 No 8 - 86","6358030","drogueriayopal@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-01-24T00:00:00.000","44281","2030","29/11/1983","411","2021-04-28T00:00:00.000","SI"
"8","Drogueria Mundo Drogas Ns Sas","Yopal","Carrera 20 No 9-04","6349557","olgascararezdenuñez@hotmail.com","Droguería Con Servicio De Inyectología","Si","Si","Favorable","2018-02-01T00:00:00.000","44166","660","1999-07-02T00:00:00.000","360","2021-04-14T00:00:00.000","SI"
"9","Drogueria Mar","Yopal","Calle 10 No 20 - 02","6324226","juancamilo_r@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2018-01-26T00:00:00.000","43763","144","2004-03-01T00:00:00.000","1314","2020-12-04T00:00:00.000","SI"
"10","Drogueria Su Salud","Yopal","Carrera 19 No 10 - 02","6359637","juancamilo_r@hotmail.com","Droguería Con Servicio De Inyectología","Si","No","Favorable","2019-09-16T00:00:00.000","44043","747","2000-03-30T00:00:00.000","287","2021-03-25T00:00:00.000","SI"
"11","Drogueria Avenida","Yopal","Carrera 20 No 12 - 78","6357050","ojedablanca1955@gmail.com","Droguería","No","No","Favorable","2018-02-16T00:00:00.000","44279","1349","1989-09-11T00:00:00.000","944","2021-08-13T00:00:00.000","SI"
