"entidad","municipio","nit","nombre","cargo","direcci_n","tel_fono","correo_electr_nico"
"DEPARTAMENTO DEL HUILA","NEIVA","800.103.913-4","LUIS ENRIQUE DUSSAN","Gobernador del Huila","Carrera 4 Calle 8, esquina","8711330-8671300","gobernador@huila.gov.co, sgeneral@huila.gov.co"
"ACEVEDO","ACEVEDO","891.180.069-1","GENTIL TAPIERO BUITRAGO","Alcalde Municipal","Carrera 4 No. 9-02","8317261-8317019","alcaldia@acevedo-huila.gov.co, hacienda@acevedo- huila.gov.co, contratacion@acevedo-huila.gov.co"
"AGRADO","AGRADO","891.180.139-9","CARLOS ALBERTO MURCIA MENDEZ","Alcalde Municipal","Carrera 4 No. 5-48","8322006","alcaldia@elagrado-huila.gov.co, secretariahacienda@elagrado-huila.gov.co"
"AIPE","AIPE","891.180.070-1","OCTAVIO CONDE LASSO","Alcalde Municipal","Calle 4 No.4-71","8389089-8389232-8389032","alcaldia@aipe-huila.gov.co, secretaria.hacienda@aipe- huila.gov.co, contratacion@aipe-huila.gov.co"
"ALGECIRAS","ALGECIRAS","891.180.024-0","LIBARDO PINTO LISCANO","Alcalde Municipal","Carrera 5 con Calle 6 Esquina","8382012-832558","secregeneral@algeciras-huila.gov.co, alcaldia@algeciras-huila.gov.co"
"ALTAMIRA","ALTAMIRA","891.180.118-4","EFRAIN CALDERON LONDOÑO","Alcalde Municipal","Carrera 3 No. 6-07","8302676-8302556","contactenos@altamira-huila.gov.co"
"BARAYA","BARAYA","891.180.183-3","MILTON EDUARDO PINEDA MORALES","Alcalde Municipal","Carrera 5 No. 2C-36 PISO 2","8788716","contratacion@baraya-huila.gov.co, contactenos@baraya huila.gov.co, hacienda@baraya-huila.gov.co"
"CAMPOALEGRE","CAMPOALEGRE","891.118.119-9","ELIZABETH MOTTA ALVAREZ","Alcalde Municipal","Calle 18 No. 7-32","8380088-8380090-8380801","alcaldia@campoalegre-huila.gov.co, contratacion@campoalegre-huila.gov.co"
"COLOMBIA","COLOMBIA","891.180.028-1","ISAURO LOZANO DIAZ","Alcalde Municipal","Calle 6 No. 3-74","8319549-8319611","alcaldia@colombia-huila.gov.co, alcaldiacolombia@gmail.com"
"ELIAS","ELIAS","891.180.132-8","JUAN CARLOS LOSADA MENDIETA","Alcalde Municipal","Calle 2 No. 4-28","3134077979","contactenos@elias-huila.gov.co, tesoreria- eliashuila@hotmail.com"
"EL PITAL","EL PITAL","891.180.199-0","HUGO HENRY CASANOVA","Alcalde Municipal","Calle 6 No. 10-15","8327066-8327102","alcaldia@elpital-huila.gov.co, contactenos@elpital- huila.gov.co, secretaria@elpital-huila.gov.co"
"GARZON","GARZON","891.180.022-6","LEONARDO VALENZUELA RAMIREZ","Alcalde Municipal","Carrera 8 No.7-74","8330910-Ext.104 8332000 -8333943","alcaldia@garzon-huila.gov.co, despacho@garzon- huila.gov.co, controlinterno@garzon-huila.gov.co, hacienda@garzon-huila.gov.co"
"GIGANTE","GIGANTE","891.180.176-1","CESAR GERMAN ROA TRUJILLO","Alcalde Municipal","Carrera 4 con Calle 3 Esquina","8325122-8325038","contactenos@gigante-huila.gov.co"
"GUADALUPE","GUADALUPE","891.180.177-9","CHARLES BARRERA ZUÑIGA","Alcalde Municipal","Carrera 4 No. 4-16","8321383-8321035-8321119","contactenos@guadalupe-huila.gov.co, tesoreria@guadalupe-huila.gov.co"
"HOBO","HOBO","891.180.019-3","JUAN CARLOS PERDOMO RIVAS","Alcalde Municipal","Carrera 9 No. 5-41","8384006-8384007","contactenos@hobo-huila.gov.co, alcaldia@hobo- huila.gov.co"
"IQUIRA","IQUIRA","891.180.131-0","YADNOLVER CORREA TAMAYO","Alcalde Municipal","Calle 4 No. 6-29","8394622-8394552-fax","alcaldia@iquira-huila.gov.co"
"ISNOS","ISNOS","891.180.188-1","GABY ANGELITA ÑAÑEZ RODRIGUEZ","Alcalde Municipal","Carrera 3 No.4-26","8328025-8328309","alcaldia@isnos-huila.gov.co, secretariadehacienda@isnos-huila.gov.co"
