"cod_sed","secretaria","codigo_institucion","nombre_institucion","codigo_programa","nombre_rpograma","cod_dpto","departamento","cod_mpio","municipio","localidad","direccion","sede","estado_programa","registro","fecha_registro","area_desempe_o","area_desempe_o_salud","tipo_certificado","subtipo_certificado","escolaridad","jornadas","costo","duraci_n_horas","numero_certificaci_n","tipo_certificaci_n","certificado_calidad","estado_certificaci_n","entidad_emisora","fecha_otorgamiento","fecha_vencimiento","latitud","longitud","a_o_corte","mes_corte","fecha_corte"
"3813","SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL SUCRE","4615","FUNDACION DE EDUCACION TECNICA DE LA COSTA ""FUNDETCO""","37152","TÉCNICO LABORAL EN ASISTENCIA EN ANÁLISIS Y PRODUCCIÓN DE INFORMACIÓN ADMINISTRATIVA","70","SUCRE","70713","SAN ONOFRE",,"Calle 20 Nº 29-06","SEDE SAN MARCOS","REGISTRO POR PRIMERA VEZ","7594","2016-12-19T00:00:00.000","FINANZAS Y ADMINISTRACIÓN",,"TÉCNICO LABORAL","TÉCNICO LABORAL","SECUNDARIA","FIN DE SEMANA,,","2100000","1600","NO",,,,,,,,,"2020","11","2020-11-30T00:00:00.000"
"3735","SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CUNDINAMARCA","5827","CORPORACION PARA EL FOMENTO EDUCATIVO CORPAFE","38334","CONOCIMIENTOS ACADÉMICOS EN OFIMATICA","25","CUNDINAMARCA","25758","SOPÓ",,"Calle 3 No. 2-22 sede administrativa y Calle 4 No. 01-90 Este sede Academica","SEDE PRINCIPAL","REGISTRO POR PRIMERA VEZ","0025241","2017-05-08T00:00:00.000",,,"CONOCIMIENTOS ACADÉMICOS","OTRO","SECUNDARIA","DIURNA,FIN DE SEMANA,","1500000","180","NO",,,,,,,,,"2020","11","2020-11-30T00:00:00.000"
"3767","SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL BOLÍVAR","8627","FUNDACION ACADEMIA DE FORMACION TECNICA DEL CARIBE - FORCATEC","46245","TÉCNICO LABORAL EN MERCADEO Y VENTAS","13","BOLÍVAR","13657","SAN JUAN NEPOMUCENO",,"Calle 12 No. 11 A 46","FUNDACION ACADEMIA DE FORMACION TECNICA DEL CARIBE - FORCATEC","REGISTRO POR PRIMERA VEZ","3353","2019-08-23T00:00:00.000","VENTAS Y SERVICIOS",,"TÉCNICO LABORAL","TÉCNICO LABORAL","SECUNDARIA","DIURNA,FIN DE SEMANA,","600000","900","NO",,,,,,,,,"2020","11","2020-11-30T00:00:00.000"
"3799","SECRETARÍA DE EDUCACIÓN MUNICIPAL DE PASTO","1453","INSTITUTO PARA EL TRABAJO Y DESARROLLO HUMANO SAS PASARELLA","11348","TECNICO LABORAL POR COMPETENCIAS EN COCINA","52","NARIÑO","52001","PASTO",,"CR 36 No 19-64","PRINCIPAL","REGISTRO MODIFICADO","3061","2016-11-11T00:00:00.000","VENTAS Y SERVICIOS",,"TÉCNICO LABORAL","TÉCNICO LABORAL","SECUNDARIA","DIURNA,NOCTURNA,","4508000","1800","NO","CP/5668-2016","NTC 5581","BUREAU VERITAS","VENCIDO","2016-10-31T00:00:00.000","2019-10-30T00:00:00.000",,,"2020","11","2020-11-30T00:00:00.000"
"10850","SECRETARÍA DE EDUCACIÓN MUNICIPAL DE FACATATIVÁ","9640","GEORGIA TECH INTERNATIONAL CORPORATION GTIC","48129","CONOCIMIENTOS ACADÉMICOS EN INGLES NIVEL B1","25","CUNDINAMARCA","25269","FACATATIVÁ",,"CARRERA 10 No. 7A33","GEORGIA TECH INTERNATIONAL CORPORATION GTIC","REGISTRO POR PRIMERA VEZ","0955-8","2020-11-04T00:00:00.000",,,"CONOCIMIENTOS ACADÉMICOS","IDIOMAS","NO APLICA","DIURNA,FIN DE SEMANA,","2000000","160","NO",,,,,,,,,"2020","11","2020-11-30T00:00:00.000"
"3792","SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL LA GUAJIRA","5634","INSTITUTO NACIONAL CENTRO DE SISTEMAS ""SYSTEM CENTER"" - SAN JUAN","42586","TÉCNICO LABORAL EN AUXILIAR SISTEMA","44","LA GUAJIRA","44650","SAN JUAN DEL CESAR",,"CARRERA 20 No. 10-11","instituto nacional de centro de sistemas system center SEDE SAN JUAN DEL CESAR","REGISTRO RENOVADO","1290-3","2016-10-06T00:00:00.000","VENTAS Y SERVICIOS",,"TÉCNICO LABORAL","TÉCNICO LABORAL","SECUNDARIA","FIN DE SEMANA,,","1656000","1400","NO",,,,,,,,,"2020","11","2020-11-30T00:00:00.000"
"4909","SECRETARÍA DE EDUCACIÓN DISTRITO BARRANQUILLA","733","INSTITUTO TECNICO DE ADMINISTRACION Y SALUD  INCATEC","15953","TÉCNICO LABORAL EN ATENCION INTEGRAL A LA PRIMERA INFANCIA","8","ATLÁNTICO","8001","BARRANQUILLA",,"CARRERA  46  N 60 -41","SEDE 1","REGISTRO RENOVADO","07685-1","2018-07-06T00:00:00.000","VENTAS Y SERVICIOS",,"TÉCNICO LABORAL","TÉCNICO LABORAL","MEDIA","DIURNA,NOCTURNA,FIN DE SEMANA","4590000","1200","SI","CS-CER272572","NTC 5581","ICONTEC","RENOVADO","2013-10-16T00:00:00.000","2022-10-15T00:00:00.000",,,"2020","11","2020-11-30T00:00:00.000"
"3778","SECRETARÍA DE EDUCACIÓN MUNICIPAL DE POPAYÁN","3017","INSTITUTO ADVANCING SYSTEM PLUS S.A.S","11806","TECNICO LABORAL POR COMPETENCIAS EN SECRETARIA DE GERENCIA","19","CAUCA","19001","POPAYÁN",,"CALLE 4 # 2-16","PRINCIPAL","REGISTRO RENOVADO","20161700170044-1","2016-12-16T00:00:00.000","FINANZAS Y ADMINISTRACIÓN",,"TÉCNICO LABORAL","TÉCNICO LABORAL","MEDIA","DIURNA,NOCTURNA,FIN DE SEMANA","2849962","1300","NO",,,,,,,,,"2020","11","2020-11-30T00:00:00.000"
"4815","SECRETARÍA DE EDUCACIÓN MUNICIPAL DE JAMUNDÍ","5521","CENTRO COLOMBIANO DE ESTUDIOS TECNICOS CCOET","47504","TÉCNICO LABORAL POR COMPETENCIAS EN SEGURIDAD Y SALUD EN EL TRABAJO","76","VALLE DEL CAUCA","76364","JAMUNDÍ",,"CALLE 13 NRO 6-121","CENTRO COLOMBIANO DE ESTUDIOS TECNICOS CCOET","REGISTRO POR PRIMERA VEZ","0222","2019-06-26T00:00:00.000","CIENCIAS SOCIALES, EDUCATIVAS,RELIGIOSAS Y SERVICIOS GUBERNAMENTALES",,"TÉCNICO LABORAL","TÉCNICO LABORAL","SECUNDARIA","DIURNA,NOCTURNA,FIN DE SEMANA","2250000","1250","NO",,,,,,,,,"2020","11","2020-11-30T00:00:00.000"
"4910","SECRETARÍA DE EDUCACIÓN DISTRITO CARTAGENA","4957","INSTITUCION PARA EL TRABAJO Y DESARROLLO HUMANO INSTITUTO EMPRENDER","5991","TECNICO LABORAL EN COCINA NACIONAL E INTERNACIONAL","13","BOLÍVAR","13001","CARTAGENA",,"BARRIO ARMENIA , CALLE REAL # 30-A-67 Barrio: ARMENIA","PRINCIPAL","REGISTRO RENOVADO","6797","2016-08-24T00:00:00.000","VENTAS Y SERVICIOS",,"TÉCNICO LABORAL","TÉCNICO LABORAL","MEDIA","DIURNA,NOCTURNA,FIN DE SEMANA","600000","1340","NO",,,,,,,,,"2020","11","2020-11-30T00:00:00.000"
