"departamento_prestacion","municipio_prestacion","servicio","estado","nombre","departamento_domicilio","municipio_domicilio","direccion","telefono","email","tipo_inscripcion","representante_legal","tipo_prestador","clasificacion"
"ANTIOQUIA","MEDELLIN","ACUEDUCTO","OPERATIVA","CORPORACION DE ACUEDUCTO DE ALTAVISTA","ANTIOQUIA","MEDELLIN","CALLE 18 Nº 105 - 21","4083052","administrativo@acueductoaltavista.com","Registro por la ESP","GUSTAVO DE JESUS CANO MUNOZ","ORGANIZACION AUTORIZADA","DESDE 2501 HASTA 5000 USUARIOS"
"ANTIOQUIA","MEDELLIN","ACUEDUCTO","OPERATIVA","EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.","ANTIOQUIA","MEDELLIN","CRA 58 No 42-125 Edificio Inteligente","3808080","DONEY.MARTINEZ@EPM.COM.CO","Registro por la ESP","JORGE ANDRES CARRILLO CARDOSO","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MAYOR O IGUAL A 5001 USUARIOS"
"ANTIOQUIA","MEDELLIN","ACUEDUCTO","OPERATIVA","CORPORACION DE ACUEDUCTO  SAN PEDRO","ANTIOQUIA","MEDELLIN","Corregimiento Santa Elena","5400550","llanoplan@gmail.com","Registro por la ESP","LUZ MARINA CEPEDA TORO","ORGANIZACION AUTORIZADA","MENOR O IGUAL A 2500 USUARIOS"
"ANTIOQUIA","MEDELLIN","ACUEDUCTO","OPERATIVA","CORPORACION DE ACUEDUCTO MULTIVEREDAL SANTA ELENA","ANTIOQUIA","MEDELLIN","Corregimiento Santa Elena","4790455","acuesanta@hotmail.com","Registro por la ESP","LUIS ALBERTO  ATEHORTUA  GRISALES","ORGANIZACION AUTORIZADA","MENOR O IGUAL A 2500 USUARIOS"
"ANTIOQUIA","MEDELLIN","ACUEDUCTO","OPERATIVA","CORPORACIÓN DE ACUEDUCTO SAN JOSÉ","ANTIOQUIA","MEDELLIN","VEREDA SAN JOSE","3222260","c.acueductosanjose@gmail.com","Registro por la ESP","OLGA LUCIA MARIN  BENJUMEA","ORGANIZACION AUTORIZADA","MENOR O IGUAL A 2500 USUARIOS"
"ANTIOQUIA","MEDELLIN","ACUEDUCTO","OPERATIVA","CORPORACION  DE ACUEDUCTO MULTIVEREDAL LA ACUARELA","ANTIOQUIA","MEDELLIN","Carrera 131 No 60D - 27","4276009","aux_admin@acueductolaacuarela.com","Registro por la ESP","MARTHA NELLY SANCHEZ  VELASQUEZ","ORGANIZACION AUTORIZADA","DESDE 2501 HASTA 5000 USUARIOS"
"ANTIOQUIA","MEDELLIN","ACUEDUCTO","OPERATIVA","CORPORACIÓN DE ACUEDUCTO MULTIVEREDAL ""ARCOIRIS""","ANTIOQUIA","MEDELLIN","carrera 150C No 80-14 vereda El Llano","4796109","gerencia@acueductoarcoiris.com","Registro por la ESP","SANDRA MILENA GOMEZ SANCHEZ","ORGANIZACION AUTORIZADA","MENOR O IGUAL A 2500 USUARIOS"
"ANTIOQUIA","MEDELLIN","ACUEDUCTO","OPERATIVA","CORPORACION DE ASOCIADOS DEL ACUEDUCTO LAS FLORES","ANTIOQUIA","MEDELLIN","CORREGIMIENTO SANTA ELENA","4087235","corpolasflores@outlook.com","Registro por la ESP","JUAN GUILLERMO RAMIREZ GALLEGO","ORGANIZACION AUTORIZADA","MENOR O IGUAL A 2500 USUARIOS"
"ANTIOQUIA","MEDELLIN","ACUEDUCTO","OPERATIVA","CORPORACION DE ASOCIADOS DEL ACUEDUCTO MONTAÑITA","ANTIOQUIA","MEDELLIN","Vereda Montañita","2863280","acueducto646@gmail.com","Registro por la ESP","DIANA MARIA GARCIA LOPERA","ORGANIZACION AUTORIZADA","MENOR O IGUAL A 2500 USUARIOS"
"ANTIOQUIA","MEDELLIN","ACUEDUCTO","OPERATIVA","CORPORACION DE ASOCIADOS DEL ACUEDUCTO ISAAC GAVIRIA","ANTIOQUIA","MEDELLIN","CALLE 56H 18-27","2849356","acueductoisaacgaviria@yayoo.com","Registro por la ESP","DEYANIRA GIRALDO CASTRILLON","ORGANIZACION AUTORIZADA","MENOR O IGUAL A 2500 USUARIOS"
