"nombre_establecimiento","tipo_de_establecimiento","tipo_de_productos_que","direccion","barrio","telefono","correo_electronico","municipo","fecha_ltima_visita_ivc","concepto"
"LA BOTICA DROGUERIA DE CHIRIGUANA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 4 # 6-33","CENTRO","NT","alfaresgerencia@gmail.com","CHIRIGUANA","18/08/2017","DESFAVORABLE"
"FARMY DROGAS LA BARATA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAG 2 # 15-21","CENTRO","NT","ubaque1975@gmail.com","CURUMANI","03/08/2017","FAVORABLE CON REQUERIMIENTOS"
"CURITA PLUS DROGUERIA No. 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 22-85","FLORIDABLANCA","NT","rosave2006@yahoo.es","AGUACHICA","09/05/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA CURE","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 21-99","CENTRO","3155754042","mariaperez_10s8@hotmail.com","AGUACHICA","28/11/2012","N/A"
"DROGAS LA REBAJA AGUACHICA No. 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 16 # 4-81 CON CLL 5 # 16-03","SAN ANTONIO","NT","rebaja2_aguachica@hotmail.com, copservir@copservir.com","AGUACHICA","01/12/2017","FAVORABLE"
"DROGUERIA AGUACHICA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 19-56","CENTRO","NT","israelreyes07@hotmail.com","AGUACHICA","13/07/2017","FAVORABLE"
"DROGUERIA ALEMANA  85","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 5 # 12-03","CENTRO","NT","unidrogassa@gmail.com, maritzaguijo@yahoo.es","AGUACHICA","08/05/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA ALEMANA No. 23","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 8-05","BARAHOJA","5653857","asistentecontable@unidrogas.com.co","AGUACHICA","08/05/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA AMI SALUD","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","NO SE PUDO VER","NO SE PUDO VER","NT","NT","AGUACHICA","13/07/2017","DESFAVORABLE"
"DROGUERIA BENDICION Y FE","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 10 N # 39B-46","MARIA EUGENIA ALTO","NT","mojicajuan25@gmail.com, arciniegas22@hotmail.com","AGUACHICA","13/07/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA COMFACESAR MINIMARKET No.1","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 18 # 4-77","CENTRO","NT","recepcionvp@eticos.com","AGUACHICA","14/06/2017","FAVORABLE"
"DROGUERIA DILISEV","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 7 NORTE # 39-08","Mª EUGENIA","NT","NT","AGUACHICA","29/11/2011","N/A"
"DROGUERIA DISTRIMED","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 7 # 2-143","BARAHOJA","NT","norma-azucena-mendez72@hotmail.com","AGUACHICA","14/12/2017","FAVORABLE"
"DROGUERIA EL SURTIDOR DE AGUACHICA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 1 # 30-55","MERCADO","3173662074","omitar5hotmail.com","AGUACHICA","15/12/2017","DESFAVORABLE"
"DROGUERIA FARMACESAR","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 10 NORTE 37-126","SABANITA","NT","raulbeltrangarcia@hotmail.com","AGUACHICA","13/07/2017","DESFAVORABLE"
"DROGUERIA LA PASTILLITA LAS 24 HORAS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 5 # 25-53","MARIA EUGENIA","NT","lorenacastro06@gmail.com","AGUACHICA","16/04/2018","FAVORABLE"
