"secretaria","codigodepartamento","nombredepartamento","codigomunicipio","nombremunicipio","codigoestablecimiento","nombreestablecimiento","zona","direccion","telefono","niveles","grados","modelos"
"ANTIOQUIA","5","ANTIOQUIA","5002","ABEJORRAL","205002000955","C. E. R.  LA FLORESTA","RURAL","VDA. LA FLORESTA","864 76 11","PREESCOLAR,BÁSICA PRIMARIA","0,1,2,3,4,5",
"ANTIOQUIA","5","ANTIOQUIA","5002","ABEJORRAL","105002000161","I. E. ESCUELA NORMAL SUPERIOR ","RURAL,URBANA","KR 55 49 27","8648250","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,10,11,12,13",
"ANTIOQUIA","5","ANTIOQUIA","5002","ABEJORRAL","105002000047","I. E. FUNDACION CELIA DUQUE DE DUQUE","RURAL,URBANA","KR 55 44 110","8648882","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,10,11,21,99",
"ANTIOQUIA","5","ANTIOQUIA","5002","ABEJORRAL","405002001241","I.E LA CEIBA                                                                      ","URBANA","IND VDA. AURES ARRIBA","4217755 EXT 101","MEDIA,BÁSICA SECUNDARIA","6,7,8,9,10,11,12",
"ANTIOQUIA","5","ANTIOQUIA","5002","ABEJORRAL","105002000055","I. E.  MANUEL CANUTO RESTREPO","RURAL,URBANA","CL 51 56 139","864 73 86","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99",
"ANTIOQUIA","5","ANTIOQUIA","5002","ABEJORRAL","205002000777","I. E. R.  DE PANTANILLO","RURAL","CORREG. PANTANILLO",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,10,11,21",
"ANTIOQUIA","5","ANTIOQUIA","5002","ABEJORRAL","205002000611","I. E. R. ZOILA DUQUE BAENA","RURAL","VDA. CHAGUALAL","8648386","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26",
"ANTIOQUIA","5","ANTIOQUIA","5002","ABEJORRAL","305002001263","INSTITUTO CORFERRINI","URBANA","KR 55 49 27","8648250","BÁSICA PRIMARIA","22",
"NORTE SANTANDER","54","NORTE DE SANTANDER","54003","ABREGO","254003000470","CENT EDUC RUR BAJO PAVEZ","RURAL","VDA BAJO PAVEZ","3142303765","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26",
"NORTE SANTANDER","54","NORTE DE SANTANDER","54003","ABREGO","254003000062","CENT EDUC RUR CAMPANARIO","RURAL","VDA EL CAMPANARIO","3125675653","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26",
"NORTE SANTANDER","54","NORTE DE SANTANDER","54003","ABREGO","254003000330","CENT EDUC RUR CAPITANLARGO","RURAL","VDA CAPITANLARGO","3156494152","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,10,11,20,21,22,23,24,25,26",
"NORTE SANTANDER","54","NORTE DE SANTANDER","54003","ABREGO","254003000283","CENT EDUC RUR CASITAS","RURAL","CORREG CASITAS","3213445006","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26",
"NORTE SANTANDER","54","NORTE DE SANTANDER","54003","ABREGO","254003000046","CENT EDUC RUR CHAPINERO","RURAL","VDA CHAPINERO","3184722794","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,20,21,22,23,24,25,26",
"NORTE SANTANDER","54","NORTE DE SANTANDER","54003","ABREGO","254003000381","CENT EDUC RUR LA MARIA","RURAL","VDA LA MARIA","3217034344","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,21,22,23,24,25,26",
"NORTE SANTANDER","54","NORTE DE SANTANDER","54003","ABREGO","254003002359","CENT EDUC RUR LA SIERRA","RURAL","VDA LA SIERRA","3126497111","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26",
"NORTE SANTANDER","54","NORTE DE SANTANDER","54003","ABREGO","254003001611","CENT EDUC RUR LA VEGA DEL TIGRE","RURAL","VDA LA VEGA DEL TIGRE","3132816838","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26",
"NORTE SANTANDER","54","NORTE DE SANTANDER","54003","ABREGO","254003000445","CENT EDUC RUR LLANO ALTO","RURAL","VDA LLANO ALTO","3144280832","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26",
"NORTE SANTANDER","54","NORTE DE SANTANDER","54003","ABREGO","254003002278","CENT EDUC RUR PLAYONCITOS","RURAL","VDA PLAYONCITOS","3177005159","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,21,22,23,24,25,26",
"NORTE SANTANDER","54","NORTE DE SANTANDER","54003","ABREGO","254003000526","CENT EDUC RUR SAN JAVIER","RURAL","VDA SAN JAVIER","3125656821","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,10,11,20,21,22,23,24,25,26",
"NORTE SANTANDER","54","NORTE DE SANTANDER","54003","ABREGO","254003000364","C.E.R EL TARRA","RURAL","VDA. EL TARRA","3212061834","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,20,21,22,23,24,25,26",
"NORTE SANTANDER","54","NORTE DE SANTANDER","54003","ABREGO","154003001668","COL CARLOS JULIO TORRADO PE¿ARANDA","URBANA","KR 5 13 87","3115927487","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,10,11,20,21,22,23,24,25,26",
"NORTE SANTANDER","54","NORTE DE SANTANDER","54003","ABREGO","154003000823","COL SANTA BARBARA","URBANA","CL 9 ENTRE 1 Y 02","3212073981","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,10,11,20,21,22,23,24,25,26",
"NORTE SANTANDER","54","NORTE DE SANTANDER","54003","ABREGO","354003002396","INSTITUTO JOSE CESTINO MUTIS","URBANA","CL 8 5 94",,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","21,22,23,24,25,26",
"NORTE SANTANDER","54","NORTE DE SANTANDER","54003","ABREGO","354003800004","JARDIN INFANTIL GOTITAS DE AMOR","URBANA","KR 9 13 23",,"PREESCOLAR","-3",
"ANTIOQUIA","5","ANTIOQUIA","5004","ABRIAQUÍ","305004000191","COLEGIO IAUR                                                                                        ","URBANA","CL 9 123 A 101","853 28 92                            ","MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","1,2,3,4,5,6,7,8,9,10,11",
"ANTIOQUIA","5","ANTIOQUIA","5004","ABRIAQUÍ","105004000109","I. E.  LA MILAGROSA","RURAL,URBANA","CL 10 12 237","852 00 12","PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,6,7,8,9,10,11,21,22",
"META","50","META","50006","ACACÍAS","250006000246","CE BRISAS DEL GUAYURIBA","RURAL","VDA BRISAS DEL GUAYURIBA","3138859561","PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","0,1,2,3,4,5,21,23,24",
"META","50","META","50006","ACACÍAS","350006001956","COL CENTRO INTEGRAL DE CUIDADOS INFANTILES CAPULLITOS DEL LLANO","URBANA","CLL 9 NO 26-50",,"PREESCOLAR,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5",
"META","50","META","50006","ACACÍAS","350006001719","COLEGIO CAMPESTRE MONFORT","URBANA","IND FINCA VERDE MENTA","3183848557","PREESCOLAR,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5",
"META","50","META","50006","ACACÍAS","550006000001","COLEGIO CERVANTES SAAVEDRA","URBANA","KR 16 18 34 BR SAN CRISTOBAL ACACIAS",,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","21,22,23,24,25,26",
"META","50","META","50006","ACACÍAS","350006001930","COL GIMNASIO INTEGRADO JUAN PABLO II","URBANA","CL 15 22 57","3143745647","PREESCOLAR,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5",
"META","50","META","50006","ACACÍAS","250006001921","COL. LAS ACACIAS - PENITENCIARIA","RURAL","KM 5 VIA A VILLAVICENCIO","6566337","MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","21,22,23,24,25,26",
"META","50","META","50006","ACACÍAS","450006001748","COL MARIA REINA","URBANA","CL 16 A 26 40","6567603","PREESCOLAR,BÁSICA PRIMARIA","-2,-1,0,1,2,3,4,5",
"META","50","META","50006","ACACÍAS","350006001760","COL NIÑO JESUS","URBANA","CLL 10 NO 16 09","6560002","PREESCOLAR","-3",
