"c_digo_de_laboratorio","estado_de_la_acreditaci_n","matriz","componente","actividad","grupo","variable","t_cnica","m_todo","intervalo_de_medici_n_directa","nombre_de_la_estaci_n","ubicaci_n_de_la_estaci_n","latitud","longitud","identificaci_n_de_equipo","nombre_del_laboratorio","nit","contacto","ciudad","departamento","direcci_n","tel_fono","correo","actos_administrativos_que","desde","hasta","acogimiento_a_resoluci_n","canales_de_atenci_n_grupo"
"001","Vigente","Agua","Agua","Análisis","Iones","Cloruro","Cromatografía","SM 4110 B","---","No Aplica","No Aplica","No Aplica","No Aplica","No Aplica","LABORATORIO AMBIENTAL DE LA CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA – CORANTIOQUIA","811.000.231-7","Diana Patricia Jaramillo Ramírez","Medellín","Antioquia","Carrera 65 No. 44A-32 Piso 4","6044938888 Ext. 1323- 1288","laboratorioaguas@corantioquia.gov.co","0396 del 28 de marzo de 2022","2022-04-21T00:00:00.000","2026-04-21T00:00:00.000","No Aplica","www.ideam.gov.co; acreditacion@ideam.gov.co; atencionalciudadano@ideam.gov.co; 6013527160  Ext. 1606; 3214018587"
"001","Vigente","Agua","Agua","Análisis","Fisicoquímicos","Alcalinidad","Volumetría","SM 2320 B","---","No Aplica","No Aplica","No Aplica","No Aplica","No Aplica","LABORATORIO AMBIENTAL DE LA CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA – CORANTIOQUIA","811.000.231-7","Diana Patricia Jaramillo Ramírez","Medellín","Antioquia","Carrera 65 No. 44A-32 Piso 4","6044938888 Ext. 1323- 1288","laboratorioaguas@corantioquia.gov.co","0396 del 28 de marzo de 2022","2022-04-21T00:00:00.000","2026-04-21T00:00:00.000","No Aplica","www.ideam.gov.co; acreditacion@ideam.gov.co; atencionalciudadano@ideam.gov.co; 6013527160  Ext. 1606; 3214018587"
"001","Vigente","Agua","Agua","Análisis","Iones","Fluoruro","Cromatografía","SM 4110 B","---","No Aplica","No Aplica","No Aplica","No Aplica","No Aplica","LABORATORIO AMBIENTAL DE LA CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA – CORANTIOQUIA","811.000.231-7","Diana Patricia Jaramillo Ramírez","Medellín","Antioquia","Carrera 65 No. 44A-32 Piso 4","6044938888 Ext. 1323- 1288","laboratorioaguas@corantioquia.gov.co","0396 del 28 de marzo de 2022","2022-04-21T00:00:00.000","2026-04-21T00:00:00.000","No Aplica","www.ideam.gov.co; acreditacion@ideam.gov.co; atencionalciudadano@ideam.gov.co; 6013527160  Ext. 1606; 3214018587"
"001","Vigente","Agua","Agua","Análisis","Iones","Cianuro total","Electrometría","ISO 14403-2 Modificado","---","No Aplica","No Aplica","No Aplica","No Aplica","No Aplica","LABORATORIO AMBIENTAL DE LA CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA – CORANTIOQUIA","811.000.231-7","Diana Patricia Jaramillo Ramírez","Medellín","Antioquia","Carrera 65 No. 44A-32 Piso 4","6044938888 Ext. 1323- 1288","laboratorioaguas@corantioquia.gov.co","0396 del 28 de marzo de 2022","2022-04-21T00:00:00.000","2026-04-21T00:00:00.000","No Aplica","www.ideam.gov.co; acreditacion@ideam.gov.co; atencionalciudadano@ideam.gov.co; 6013527160  Ext. 1606; 3214018587"
"001","Vigente","Agua","Agua","Análisis","Iones","Cianuro Libre","Electrometría","ISO 14403-2 Modificado","---","No Aplica","No Aplica","No Aplica","No Aplica","No Aplica","LABORATORIO AMBIENTAL DE LA CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA – CORANTIOQUIA","811.000.231-7","Diana Patricia Jaramillo Ramírez","Medellín","Antioquia","Carrera 65 No. 44A-32 Piso 4","6044938888 Ext. 1323- 1288","laboratorioaguas@corantioquia.gov.co","0396 del 28 de marzo de 2022","2022-04-21T00:00:00.000","2026-04-21T00:00:00.000","No Aplica","www.ideam.gov.co; acreditacion@ideam.gov.co; atencionalciudadano@ideam.gov.co; 6013527160  Ext. 1606; 3214018587"
"001","Vigente","Agua","Agua","Análisis","Metales Totales","Aluminio","Espectroscopía de Absorción Atómica","SM 3030 K, SM 3111 D","---","No Aplica","No Aplica","No Aplica","No Aplica","No Aplica","LABORATORIO AMBIENTAL DE LA CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA – CORANTIOQUIA","811.000.231-7","Diana Patricia Jaramillo Ramírez","Medellín","Antioquia","Carrera 65 No. 44A-32 Piso 4","6044938888 Ext. 1323- 1288","laboratorioaguas@corantioquia.gov.co","0396 del 28 de marzo de 2022","2022-04-21T00:00:00.000","2026-04-21T00:00:00.000","No Aplica","www.ideam.gov.co; acreditacion@ideam.gov.co; atencionalciudadano@ideam.gov.co; 6013527160  Ext. 1606; 3214018587"
"001","Vigente","Agua","Agua","Análisis","Iones","Nitrato","Cromatografía","SM 4110 B","---","No Aplica","No Aplica","No Aplica","No Aplica","No Aplica","LABORATORIO AMBIENTAL DE LA CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA – CORANTIOQUIA","811.000.231-7","Diana Patricia Jaramillo Ramírez","Medellín","Antioquia","Carrera 65 No. 44A-32 Piso 4","6044938888 Ext. 1323- 1288","laboratorioaguas@corantioquia.gov.co","0396 del 28 de marzo de 2022","2022-04-21T00:00:00.000","2026-04-21T00:00:00.000","No Aplica","www.ideam.gov.co; acreditacion@ideam.gov.co; atencionalciudadano@ideam.gov.co; 6013527160  Ext. 1606; 3214018587"
"001","Vigente","Agua","Agua","Análisis","Iones","Nitrito","Cromatografía","SM 4110 B","---","No Aplica","No Aplica","No Aplica","No Aplica","No Aplica","LABORATORIO AMBIENTAL DE LA CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA – CORANTIOQUIA","811.000.231-7","Diana Patricia Jaramillo Ramírez","Medellín","Antioquia","Carrera 65 No. 44A-32 Piso 4","6044938888 Ext. 1323- 1288","laboratorioaguas@corantioquia.gov.co","0396 del 28 de marzo de 2022","2022-04-21T00:00:00.000","2026-04-21T00:00:00.000","No Aplica","www.ideam.gov.co; acreditacion@ideam.gov.co; atencionalciudadano@ideam.gov.co; 6013527160  Ext. 1606; 3214018587"
"001","Vigente","Agua","Agua","Análisis","Compuestos con Nitrógeno","Nitrógeno Orgánico","Volumetría","SM 4500-Norg C, 4500-NH3 B, C","---","No Aplica","No Aplica","No Aplica","No Aplica","No Aplica","LABORATORIO AMBIENTAL DE LA CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA – CORANTIOQUIA","811.000.231-7","Diana Patricia Jaramillo Ramírez","Medellín","Antioquia","Carrera 65 No. 44A-32 Piso 4","6044938888 Ext. 1323- 1288","laboratorioaguas@corantioquia.gov.co","0396 del 28 de marzo de 2022","2022-04-21T00:00:00.000","2026-04-21T00:00:00.000","No Aplica","www.ideam.gov.co; acreditacion@ideam.gov.co; atencionalciudadano@ideam.gov.co; 6013527160  Ext. 1606; 3214018587"
"001","Vigente","Agua","Agua","Análisis","Iones","Sulfato","Cromatografía","SM 4110 B","---","No Aplica","No Aplica","No Aplica","No Aplica","No Aplica","LABORATORIO AMBIENTAL DE LA CORPORACIÓN AUTÓNOMA REGIONAL DEL CENTRO DE ANTIOQUIA – CORANTIOQUIA","811.000.231-7","Diana Patricia Jaramillo Ramírez","Medellín","Antioquia","Carrera 65 No. 44A-32 Piso 4","6044938888 Ext. 1323- 1288","laboratorioaguas@corantioquia.gov.co","0396 del 28 de marzo de 2022","2022-04-21T00:00:00.000","2026-04-21T00:00:00.000","No Aplica","www.ideam.gov.co; acreditacion@ideam.gov.co; atencionalciudadano@ideam.gov.co; 6013527160  Ext. 1606; 3214018587"
