"_","t_tulo","autor","a_o","isbn","serie","ciudad","editor"
"1","Léxico documentado para la historia del negro en América (siglos xv-xix). Tomo VII: P.","Humberto Triana y Antorveza","2007","978-958-611-190-4","Biblioteca Ezequiel Uriocoechea","Bogotá","Instituto Caro y Cuervo"
"2","Obra completa",,"2007","978-958-611-172-0","Biblioteca Ezequiel Uriocoechea","Bogotá","Instituto Caro y Cuervo"
"3","Cultura Latinoamericana. Annali, número 8-9","Varios","2006-2007","978-958-611-250-5","Fuera de serie","Bogotá","Instituto Caro y Cuervo"
"4","Panorama de lingüistas del siglo xx","Jaime Bernal Leongómez","2008","978-958-611-247-5","Serie Minor","Bogotá","Instituto Caro y Cuervo"
"5","Léxico documentado para la historia del negro en América (siglos xv-xix). Tomo VIII: Q-R-S.","Humberto Triana y Antorveza","2008","978-958-611-248-2","Biblioteca Ezequiel Uriocoechea","Bogotá","Instituto Caro y Cuervo"
"6","Obra completa",,"2008","978-958-611-172-0","Biblioteca Ezequiel Uriocoechea","Bogotá","Instituto Caro y Cuervo"
"7","Léxico documentado para la historia del negro en América (siglos xv-xix). Tomo IX: T-U-V-W-Y-Z.","Humberto Triana y Antorveza","2008","978-958-611-247-9","Biblioteca Ezequiel Uriocoechea","Bogotá","Instituto Caro y Cuervo"
"8","Obra completa",,"2008","978-958-611-172-0","Biblioteca Ezequiel Uriocoechea","Bogotá","Instituto Caro y Cuervo"
"9","Dos genios femeninos","Hélène Pouliquen","2009","978-958-611-251-2","Breves","Bogotá","Instituto Caro y Cuervo"
"10","El pasado como refugio y esperanza: la historia eclesiástica y civil de nueva Granada de José Manuel Groot","Sergio Andrés Mejía Macía","2009","978-958-611-252-9","Serie Mayor","Bogotá","Instituto Caro y Cuervo"
"11","Interferencia y contacto de lenguas: español en fronteras bilingües de Colombia.","Héctor Ramírez Cruz","2009","978-958-611-253-6","Serie Mayor","Bogotá","Instituto Caro y Cuervo"
"12","Recopilación de textos sobre César Vallejo. Tomo II","Raúl Hernández Novás","2009","959-260-006-6; 958-260-004","Fuera de serie","Bogotá","Instituto Caro y Cuervo"
"13","Para una sociología del texto literario","Pierre Zima","2010","978-958-611-259-8","Minor","Bogotá","Instituto Caro y Cuervo"
