"unidad_policial","departamento","municipio","direcci_n","barrio","n_mero_telef_nico","correo_electr_nico"
"DIRECCIÓN DE INCORPORACIÓN","CUNDINAMARCA","BOGOTÁ D.C.","TRANSVERSAL 33 N° 47ª 35 SUR","FÁTIMA","(1) 5169333 EXT 50200","dinco.ateci@policia.gov.co"
"OFICINA DE ATENCIÓN AL CIUDADANO","CUNDINAMARCA","BOGOTÁ D.C.","TRANSVERSAL 33 N° 47ª 35 SUR","FÁTIMA","(1) 5169333 EXT 50215 -
50216","dinco.ateci@policia.gov.co"
"OFICINA PRINCIPAL - REGIONAL DE INCORPORACIÓN No. 1","CUNDINAMARCA","BOGOTÁ D.C.","CALLE 45A SUR N° 50A-91","MUZÚ","3102230786","dinco.rinco1@policia.gov.co"
"PUNTO DE ATENCIÓN AL CIUDADANO REGIONAL 1","CUNDINAMARCA","BOGOTÁ D.C.","CALLE 45A SUR N° 50A-91","MUZÚ","3102237086","dinco.rinco1-ac@policia.gov.co"
"GRUPO DE INCORPORACIÓN BOGOTÁ","CUNDINAMARCA","BOGOTÁ D.C.","TRANSVERSAL 33 N° 47ª 35 SUR","FÁTIMA","3102237086 - (1) 5169333 EXT. 50253","dinco.gibog@policia.gov.co"
"PUNTO DE ATENCIÓN PARA SERVICIO MILITAR (CAMPÍN)","CUNDINAMARCA","BOGOTÁ D.C.","CARRERA 30 N° 57A - 08 COSTADO NORTE DEL ESTADIO EL CAMPÍN","EL CAMPÍN","3504810900-5169333 EXT 50254","dinco.gibog@policia.gov.co"
"UNIDAD BÁSICA DE INCORPORACIÓN AMAZONAS","AMAZONAS","LETICIA","CARRERA 11 N° 12-32","VICTORIA REGIA","3143752559","dinco.uiama@policia.gov.co"
"GRUPO DE INCORPORACIÓN BOYACÁ","BOYACÁ","TUNJA","CALLE 23 Nº 8 - 57","PARQUE PINZÓN","3214313407 - 3505527642","dinco.giboy@policia.gov.co"
"PUNTO DE ATENCIÓN AL CIUDADANO - GRUPO BOYACÁ","BOYACÁ","TUNJA","CALLE 23 Nº 8 - 57","PARQUE PINZÓN","3214313407 - 3505527642","dinco.giboy-aci@policia.gov.co"
"GRUPO DE INCORPORACIÓN CUNDINAMARCA","CUNDINAMARCA","BOGOTÁ D.C.","CARRERA 58 N° 9-43 BARRIO","PUENTE ARANDA","3503119135 - 3143578949","dinco.gicun@policia.gov.co"
"UNIDAD BÁSICA DE INCORPORACIÓN GIRARDOT","CUNDINAMARCA","GIRARDOT","CALLE 22 N° 1-53","SAN ANTONIO (COMANDO DE POLICÍA GIRARDOT)","(1) 5169333 EXT. 50265 /
3503119102","dinco.uigir@policia.gov.co"
"UNIDAD BÁSICA DE INCORPORACIÓN FUSAGASUGÁ","CUNDINAMARCA","FUSAGASUGÁ","CARRERA 27 A Nº 2-35","SECTOR CUCHARAL","3504185607","dinco.gicun-uif@policia.gov.co"
"UNIDAD BÁSICA DE INCORPORACIÓN FACATATIVÁ","CUNDINAMARCA","FACATATIVÁ","CARRERA 5º N° 2-10","EL RESBALÓN","3503848570","dinco.uifaca@policia.gov.co"
"OFICINA PRINCIPAL - REGIONAL DE INCORPORACIÓN No. 2","TOLIMA","IBAGUÉ","CARRERA 3 CON CALLE 21 A ESQUINA","LA ESTACIÓN","3214259855","dinco.rinco2@policia.gov.co"
"PUNTO DE ATENCIÓN AL CIUDADANO REGIONAL 2","TOLIMA","IBAGUÉ","CARRERA 3 CON CALLE 21 A ESQUINA","LA ESTACIÓN","3503848563 - 3508400532
3503848576","dinco.r2-ateci@policia.gov.co"
"GRUPO DE INCORPORACIÓN TOLIMA","TOLIMA","IBAGUÉ","CARRERA 3 CON CALLE 21 A ESQUINA","LA ESTACIÓN","3503848563 - 3508400532
3503848576","dinco.gitol@policia.gov.co"
"UNIDAD BÁSICA DE INCORPORACIÓN HONDA","TOLIMA","HONDA","CALLE 23 N° 9-65","SANTA LUCÍA","3232766189","dinco.uihon@policia.gov.co"
"GRUPO DE INCORPORACIÓN HUILA","HUILA","NEIVA","CALLE 21 N° 12-50","TENERIFE (COMANDO POLICÍA METROPOLITANA DE NEIVA)","3158734200 - 3143619449","dinco.giuil@policia.gov.co"
"GRUPO INCORPORACIÓN ESPINAL","TOLIMA","ESPINAL","CARRERA 13 CALLE 6 ESQUINA","ISAIAS OLIVAR","3503119103 - 3505633954","dinco.giesp@policia.gov.co"
"UNIDAD BÁSICA DE INCORPORACIÓN CAQUETÁ","CAQUETÁ","FLORENCIA","CALLE 10 A N° 11-40","JUAN XXIII","3213947476","dinco.uicaq@policia.gov.co"
"UNIDAD BASICA DE INCORPORACION PUTUMAYO","PUTUMAYO","MOCOA","CARRERA 8 CALLE 8 ESQUINA","CENTRO","3202711932","dinco.uipuy@policia.gov.co"
"OFICINA PRINCIPAL - REGIONAL DE INCORPORACIÓN No. 3","CALDAS","MANIZALES","CARRERA 12A N° 64 C 67","LA TOSCANA","3214262320
8750910 - 8753368","dinco.rinco3@policia.gov.co"
