"geographic_area","county","gender","age","time_period","time_period_dates","year","admits","average_tcu_score","admits_w_reported_opioid_use","of_total_admits_w_opioid_use","admits_w_diagnosed_substance_abuse_problem","of_admits_w_diagnosed_substance_abuse","admits_w_opioid_use_in_past_12_months_before_admit_1","admits_w_opioid_use_in_past_12_months_before_admit_2","state_fips","county_fips","county_code_number","county_code","centroid","longitude","geocoded_column"
"County","Elk","Female","All (0 to 99 years)","2016 Annual","1/1/2016-12/31/2016","2016","21","0","0","0","0","0","0","0","42","047","47","47","41.42819416","-78.64947713","POINT (-78.64947713 41.42819416)"
"County","Elk","Female","All (0 to 99 years)","2016 Q4","10/1/2016-12/31/2016","2016","0","0","0","0","0","0","0","0","42","047","47","47","41.42819416","-78.64947713","POINT (-78.64947713 41.42819416)"
"State","Commonwealth","All","35 to 39 years","2016 Q4","10/1/2016-12/31/2016","2016","298","4.2","84","28.2","201","67.4","113","37.9","42","000","0","00","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Elk","Female","All (0 to 99 years)","2017 Q2","4/1/2017-6/30/2017","2017","0","0","0","0","0","0","0","0","42","047","47","47","41.42819416","-78.64947713","POINT (-78.64947713 41.42819416)"
"County","Beaver","Female","All (0 to 99 years)","2017 Q3","7/1/2017-9/30/2017","2017","0","0","0","0","0","0","0","0","42","007","7","07","40.68349245","-80.35107356","POINT (-80.35107356 40.68349245)"
"State","Commonwealth","Male","0 to 11 years","2017 Q3","7/1/2017-9/30/2017","2017","0","0","0","0","0","0","0","0","42","000","0","00","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Montour","Female","All (0 to 99 years)","2019 Q2","4/1/2019-9/30/2019","2019","0","0","0","0","0","0","0","0","42","093","93","93","41.02801824","-76.66470527","POINT (-76.66470527 41.02801824)"
"State","Commonwealth","All","0 to 11 years","2019 Q4","10/1/2019-12/31/2019","2019","0","0","0","0","0","0","0","0","42","000","0","00","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","Female","0 to 11 years","2020 Q3","7/1/2020-9/30/2020","2020","0","0.0","0","0.0","0","0.0","0","0.0","42","000","0","00","39.346129, -75","129, -75.167756",
"County","Crawford","All","All (0 to 99 years)","2017 Q4","10/1/2017-12/31/2017","2017","18","7.1","12","66.7","17","94.4","14","77.8","42","039","39","39","41.68546907","-80.11321083","POINT (-80.11321083 41.68546907)"
"County","Union","All","All (0 to 99 years)","2016 Q2","4/1/2016-6/30/2016","2016","16","5.1","5","31.3","13","81.3","7","43.8","42","119","119","119","40.96473131","-77.06415803","POINT (-77.06415803 40.96473131)"
"County","Wayne","Female","All (0 to 99 years)","2016 Q3","7/1/2016-9/30/2016","2016","0","0","0","0","0","0","0","0","42","127","127","127","41.64969805","-75.3051535","POINT (-75.3051535 41.64969805)"
"County","Elk","All","All (0 to 99 years)","2016 Annual","1/1/2016-12/31/2016","2016","21","3.5","6","28.6","13","61.9","8","38.1","42","047","47","47","41.42819416","-78.64947713","POINT (-78.64947713 41.42819416)"
"County","Allegheny","All","All (0 to 99 years)","2020 Q4","10/1/2020-12/31/2020","2020","30","6.2","20","66.0","29","96.0","11","36.0","42","003","3","03","40.46735543","-79.98619843","POINT (-79.98619843 40.46735543)"
