"geographic_area","geographic_name","gender","ethnicity","drug_type","age","year","time_period","time_period_dates","total_admissions"
"State","Commonwealth","All","All","All","All (0 to 99 years)","2017","2017 Q1","1/1/2017-3/31/2017","83"
"State","Commonwealth","All","All","All","0 to 11 years","2017","2017 Q1","1/1/2017-3/31/2017","0"
"State","Commonwealth","All","All","All","12 to 19 years","2017","2017 Q1","1/1/2017-3/31/2017","0"
"State","Commonwealth","All","All","All","20 to 24 years","2017","2017 Q1","1/1/2017-3/31/2017","1"
"State","Commonwealth","All","All","All","25 to 29 years","2017","2017 Q1","1/1/2017-3/31/2017","19"
"State","Commonwealth","All","All","All","30 to 34 years","2017","2017 Q1","1/1/2017-3/31/2017","19"
"State","Commonwealth","All","All","All","35 to 39 years","2017","2017 Q1","1/1/2017-3/31/2017","19"
"State","Commonwealth","All","All","All","40 to 44 years","2017","2017 Q1","1/1/2017-3/31/2017","11"
"State","Commonwealth","All","All","All","45 to 49 years","2017","2017 Q1","1/1/2017-3/31/2017","7"
"State","Commonwealth","All","All","All","50 to 55 years","2017","2017 Q1","1/1/2017-3/31/2017","5"
"State","Commonwealth","All","All","All","56 to 99 years","2017","2017 Q1","1/1/2017-3/31/2017","2"
"State","Commonwealth","Female","All","All","All (0 to 99 years)","2017","2017 Q1","1/1/2017-3/31/2017","19"
"State","Commonwealth","Male","All","All","All (0 to 99 years)","2017","2017 Q1","1/1/2017-3/31/2017","64"
"State","Commonwealth","All","Black/African American","All","All (0 to 99 years)","2017","2017 Q1","1/1/2017-3/31/2017","9"
"State","Commonwealth","All","Caucasian","All","All (0 to 99 years)","2017","2017 Q1","1/1/2017-3/31/2017","73"
"State","Commonwealth","All","Unidentified","All","All (0 to 99 years)","2017","2017 Q1","1/1/2017-3/31/2017","1"
"State","Commonwealth","All","Asian","All","All (0 to 99 years)","2017","2017 Q1","1/1/2017-3/31/2017","0"
"State","Commonwealth","All","All","Vivitrol","All (0 to 99 years)","2017","2017 Q1","1/1/2017-3/31/2017","75"
"State","Commonwealth","All","All","Suboxone","All (0 to 99 years)","2017","2017 Q1","1/1/2017-3/31/2017","0"
"State","Commonwealth","All","All","Sublocade","All (0 to 99 years)","2017","2017 Q1","1/1/2017-3/31/2017","0"
"State","Commonwealth","All","All","Revia","All (0 to 99 years)","2017","2017 Q1","1/1/2017-3/31/2017","8"
"State","Commonwealth","All","All","All","All (0 to 99 years)","2017","2017 Q2","4/1/2017-6/30/2017","143"
"State","Commonwealth","All","All","All","0 to 11 years","2017","2017 Q2","4/1/2017-6/30/2017","0"
"State","Commonwealth","All","All","All","12 to 19 years","2017","2017 Q2","4/1/2017-6/30/2017","0"
"State","Commonwealth","All","All","All","20 to 24 years","2017","2017 Q2","4/1/2017-6/30/2017","1"
"State","Commonwealth","All","All","All","25 to 29 years","2017","2017 Q2","4/1/2017-6/30/2017","25"
"State","Commonwealth","All","All","All","30 to 34 years","2017","2017 Q2","4/1/2017-6/30/2017","47"
"State","Commonwealth","All","All","All","35 to 39 years","2017","2017 Q2","4/1/2017-6/30/2017","23"
"State","Commonwealth","All","All","All","40 to 44 years","2017","2017 Q2","4/1/2017-6/30/2017","23"
"State","Commonwealth","All","All","All","45 to 49 years","2017","2017 Q2","4/1/2017-6/30/2017","14"
"State","Commonwealth","All","All","All","50 to 55 years","2017","2017 Q2","4/1/2017-6/30/2017","6"
"State","Commonwealth","All","All","All","56 to 99 years","2017","2017 Q2","4/1/2017-6/30/2017","4"
"State","Commonwealth","Female","All","All","All (0 to 99 years)","2017","2017 Q2","4/1/2017-6/30/2017","42"
"State","Commonwealth","Male","All","All","All (0 to 99 years)","2017","2017 Q2","4/1/2017-6/30/2017","101"
"State","Commonwealth","All","Black/African American","All","All (0 to 99 years)","2017","2017 Q2","4/1/2017-6/30/2017","19"
