"geographic_area","geographic_name","gender","age","year","time_period","time_period_dates","removal_rate","type_of_rate","number_of_removals","number_of_removals_notes","number_of_removals_description","total_number_of_children","total_number_of_children_1","total_number_of_children_2","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude_longitude","geocoded_column"
"County","Erie County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017","1.73","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","105",,"Number of dependent children removed where parental drug use was a factor","60540",,"Children in area, estimated by American Community Survey","25","25","42","049","(41.9941378702, -80.0407591036)","POINT (-80.0407591036 41.9941378702)"
"County","Lancaster County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019","0.42","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","54",,"Number of dependent children removed where parental drug use was a factor","128175",,"Children in area, estimated by American Community Survey","36","36","42","071","(40.0459079619, -76.2513876838)","POINT (-76.2513876838 40.0459079619)"
"County","Adams County","All","0 to 17 years","2018","2018 Federal Fiscal Year","10/1/2017-9/30/2018","1.68","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","35",,"Number of dependent children removed where parental drug use was a factor","20846",,"Children in area, estimated by American Community Survey","1","01","42","001","(39.8720956503, -77.2222427076)","POINT (-77.2222427076 39.8720956503)"
"County","Erie County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019","0.64","Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","38",,"Number of dependent children in kinship care where parental drug use was a factor","58915",,"Children in area, estimated by American Community Survey","25","25","42","049","(41.9941378702, -80.0407591036)","POINT (-80.0407591036 41.9941378702)"
"County","Allegheny County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017","1.27","Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","296",,"Number of dependent children in kinship care where parental drug use was a factor","233319",,"Children in area, estimated by American Community Survey","2","02","42","003","(40.4673554298, -79.9861984282)","POINT (-79.9861984282 40.4673554298)"
"County","Jefferson County","All","0 to 17 years","2018","2018 Federal Fiscal Year","10/1/2017-9/30/2018","1.39","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","13",,"Number of dependent children removed where parental drug use was a factor","9354",,"Children in area, estimated by American Community Survey","33","33","42","065","(41.1313909115, -79.0010181419)","POINT (-79.0010181419 41.1313909115)"
"County","Blair County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019","0.84","Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","21",,"Number of dependent children in kinship care where parental drug use was a factor","25132",,"Children in area, estimated by American Community Survey","7","07","42","013","(40.4855502384, -78.349076871)","POINT (-78.349076871 40.4855502384)"
"County","Venango County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019","3.54","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","36",,"Number of dependent children removed where parental drug use was a factor","10167",,"Children in area, estimated by American Community Survey","61","61","42","121","(41.4034125863, -79.7628656104)","POINT (-79.7628656104 41.4034125863)"
"County","Monroe County","All","0 to 17 years","2018","2018 Federal Fiscal Year","10/1/2017-9/30/2018","0.44","Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","15",,"Number of dependent children in kinship care where parental drug use was a factor","33787",,"Children in area, estimated by American Community Survey","45","45","42","089","(41.0609178653, -75.3408360302)","POINT (-75.3408360302 41.0609178653)"
"County","Greene County","All","0 to 17 years","2018","2018 Federal Fiscal Year","10/1/2017-9/30/2018","4.32","Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","31",,"Number of dependent children in kinship care where parental drug use was a factor","7179",,"Children in area, estimated by American Community Survey","30","30","42","059","(39.8548039342, -80.2294381655)","POINT (-80.2294381655 39.8548039342)"
"State","Commonwealth","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017","1.20","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","3228",,"Number of dependent children removed where parental drug use was a factor","2688917",,"Children in area, estimated by American Community Survey","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)"
"County","Crawford County","All","0 to 17 years","2018","2018 Federal Fiscal Year","10/1/2017-9/30/2018","2.47","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","45",,"Number of dependent children removed where parental drug use was a factor","18207",,"Children in area, estimated by American Community Survey","20","20","42","039","(41.6854690692, -80.1132108295)","POINT (-80.1132108295 41.6854690692)"
"County","Cameron County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","767",,"Children in area, estimated by American Community Survey","12","12","42","023","(41.4388026531, -78.2091693241)","POINT (-78.2091693241 41.4388026531)"
"County","Juniata County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","5538",,"Children in area, estimated by American Community Survey","34","34","42","067","(40.5343300836, -77.405775001)","POINT (-77.405775001 40.5343300836)"
"County","Montour County","All","0 to 17 years","2018","2018 Federal Fiscal Year","10/1/2017-9/30/2018",,"Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children removed where parental drug use was a factor","3681",,"Children in area, estimated by American Community Survey","47","47","42","093","(41.0280182438, -76.6647052668)","POINT (-76.6647052668 41.0280182438)"
"County","Carbon County","All","0 to 17 years","2018","2018 Federal Fiscal Year","10/1/2017-9/30/2018",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","12516",,"Children in area, estimated by American Community Survey","13","13","42","025","(40.9193670081, -75.7110703866)","POINT (-75.7110703866 40.9193670081)"
"County","Beaver County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019","0.34","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","11",,"Number of dependent children removed where parental drug use was a factor","32213",,"Children in area, estimated by American Community Survey","4","04","42","007","(40.6834924548, -80.3510735648)","POINT (-80.3510735648 40.6834924548)"
"County","Bedford County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017","1.31","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","13",,"Number of dependent children removed where parental drug use was a factor","9906",,"Children in area, estimated by American Community Survey","5","05","42","009","(40.0073753643, -78.4911647381)","POINT (-78.4911647381 40.0073753643)"
"County","Pike County","All","0 to 17 years","2018","2018 Federal Fiscal Year","10/1/2017-9/30/2018",,"Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children removed where parental drug use was a factor","10320",,"Children in area, estimated by American Community Survey","52","52","42","103","(41.332571995, -75.0327092448)","POINT (-75.0327092448 41.332571995)"
"County","Mercer County","All","0 to 17 years","2018","2018 Federal Fiscal Year","10/1/2017-9/30/2018",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","22321",,"Children in area, estimated by American Community Survey","43","43","42","085","(41.302377765, -80.2600941079)","POINT (-80.26009410790002 41.302377765)"
"County","Lehigh County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","82786",,"Children in area, estimated by American Community Survey","39","39","42","077","(40.6146479416, -75.6009948118)","POINT (-75.6009948118 40.6146479416)"
"County","Westmoreland County","All","0 to 17 years","2018","2018 Federal Fiscal Year","10/1/2017-9/30/2018","0.27","Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","18",,"Number of dependent children in kinship care where parental drug use was a factor","65987",,"Children in area, estimated by American Community Survey","65","65","42","129","(40.3103149985, -79.471341176)","POINT (-79.471341176 40.3103149985)"
"County","Wyoming County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","5605",,"Children in area, estimated by American Community Survey","66","66","42","131","(41.5189248803, -76.0181300338)","POINT (-76.0181300338 41.5189248803)"
"County","Butler County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017","1.32","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","51",,"Number of dependent children removed where parental drug use was a factor","38553",,"Children in area, estimated by American Community Survey","10","10","42","019","(40.9108318483, -79.9171177889)","POINT (-79.9171177889 40.9108318483)"
"County","Monroe County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019",,"Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)",,"Not displayed when total number of removals is less than 11","Number of dependent children in kinship care where parental drug use was a factor","33335",,"Children in area, estimated by American Community Survey","45","45","42","089","(41.0609178653, -75.3408360302)","POINT (-75.3408360302 41.0609178653)"
"County","Mifflin County","All","0 to 17 years","2019","2019 Federal Fiscal Year","10/1/2018-9/30/2019","3.75","Rate of dependent children in kinship care where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","39",,"Number of dependent children in kinship care where parental drug use was a factor","10390",,"Children in area, estimated by American Community Survey","44","44","42","087","(40.6127492804, -77.6200308901)","POINT (-77.6200308901 40.6127492804)"
"County","Somerset County","All","0 to 17 years","2017","2017 Federal Fiscal Year","10/1/2016-9/30/2017","2.45","Rate of dependent children removed where parental drug use was a factor per 1,000 children (not displayed if less than 11 children removed)","34",,"Number of dependent children removed where parental drug use was a factor","13854",,"Children in area, estimated by American Community Survey","56","56","42","111","(39.9714629901, -79.0310020611)","POINT (-79.0310020611 39.9714629901)"
