"geographic_area","geographic_name","gender","age","year","time_period","time_period_dates","rate_of_neonates_with","type_of_rate","number_of_neonates_with","number_of_neonates_with_1","number_of_neonates_with_2","total_number_of_hospital","total_number_of_hospital_1","total_number_of_hospital_2","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude_longitude","geocoded_column"
"State","Commonwealth","All","<90 days","2016","2016 Annual","1/1/2016-12/31/2016","68.19","Rate of neonates with withdrawal symptoms or maternal substance exposure in first 90 days of life per 1,000 live births","3592",,"Neonates diagnosed with withdrawal symptoms using ICD-10 code P96.1 or maternal substance exposure using ICD-10 code P04.49 in first 90 days of life","52680",,"Live births in hospitals","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)"
"County","Cumberland County","All","<90 days","2017","2017 Annual","1/1/2017-12/31/2017","58.28","Rate of neonates with withdrawal symptoms or maternal substance exposure in first 90 days of life per 1,000 live births","44",,"Neonates diagnosed with withdrawal symptoms using ICD-10 code P96.1 or maternal substance exposure using ICD-10 code P04.49 in first 90 days of life","755",,"Live births in hospitals","21","21","42","041","(40.167598388, -77.268662705)","POINT (-77.268662705 40.167598388)"
"State","Commonwealth","Male","<90 days","2019","2019 Annual","1/1/2019-12/31/2019","53.25","Rate of neonates with withdrawal symptoms or maternal substance exposure in first 90 days of life per 1,000 live births","1556",,"Neonates diagnosed with withdrawal symptoms using ICD-10 code P96.1 or maternal substance exposure using ICD-10 code P04.49 in first 90 days of life","29218",,"Live births in hospitals","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)"
"County","York County","All","<90 days","2016","2016 Annual","1/1/2016-12/31/2016","55.37","Rate of neonates with withdrawal symptoms or maternal substance exposure in first 90 days of life per 1,000 live births","101",,"Neonates diagnosed with withdrawal symptoms using ICD-10 code P96.1 or maternal substance exposure using ICD-10 code P04.49 in first 90 days of life","1824",,"Live births in hospitals","67","67","42","133","(39.9219253124, -76.7257605231)","POINT (-76.7257605231 39.9219253124)"
"County","Wyoming County","All","<90 days","2017","2017 Annual","1/1/2017-12/31/2017","100.00","Rate of neonates with withdrawal symptoms or maternal substance exposure in first 90 days of life per 1,000 live births","13",,"Neonates diagnosed with withdrawal symptoms using ICD-10 code P96.1 or maternal substance exposure using ICD-10 code P04.49 in first 90 days of life","130",,"Live births in hospitals","66","66","42","131","(41.5189248803, -76.0181300338)","POINT (-76.0181300338 41.5189248803)"
"County","Fulton County","All","<90 days","2017","2017 Annual","1/1/2017-12/31/2017",,"Rate of neonates with withdrawal symptoms or maternal substance exposure in first 90 days of life per 1,000 live births",,"Not displayed when total number of neonates with withdrawal symptoms or maternal substance exposure is less than 11","Neonates diagnosed with withdrawal symptoms using ICD-10 code P96.1 or maternal substance exposure using ICD-10 code P04.49 in first 90 days of life","66",,"Live births in hospitals","29","29","42","057","(39.9248751086, -78.1148504535)","POINT (-78.1148504535 39.9248751086)"
"County","Westmoreland County","All","<90 days","2020","2020 Annual","1/1/2020-12/31/2020","78.85","Rate of neonates with withdrawal symptoms or maternal substance exposure in first 90 days of life per 1,000 live births","82",,"Neonates diagnosed with withdrawal symptoms using ICD-10 code P96.1 or maternal substance exposure using ICD-10 code P04.49 in first 90 days of life","1040",,"Live births in hospitals","65","65","42","129","(40.3103149985, -79.471341176)","POINT (-79.471341176 40.3103149985)"
"County","Philadelphia County","All","<90 days","2020","2020 Annual","1/1/2020-12/31/2020","37.41","Rate of neonates with withdrawal symptoms or maternal substance exposure in first 90 days of life per 1,000 live births","450",,"Neonates diagnosed with withdrawal symptoms using ICD-10 code P96.1 or maternal substance exposure using ICD-10 code P04.49 in first 90 days of life","12029",,"Live births in hospitals","51","51","42","101","(40.0044435384, -75.140236002)","POINT (-75.140236002 40.0044435384)"
"County","Lawrence County","All","<90 days","2019","2019 Annual","1/1/2019-12/31/2019",,"Rate of neonates with withdrawal symptoms or maternal substance exposure in first 90 days of life per 1,000 live births",,"Not displayed when total number of neonates with withdrawal symptoms or maternal substance exposure is less than 11","Neonates diagnosed with withdrawal symptoms using ICD-10 code P96.1 or maternal substance exposure using ICD-10 code P04.49 in first 90 days of life","424",,"Live births in hospitals","37","37","42","073","(40.9932503514, -80.3375411446)","POINT (-80.3375411446 40.9932503514)"
"County","Dauphin County","All","<90 days","2019","2019 Annual","1/1/2019-12/31/2019",,"Rate of neonates with withdrawal symptoms or maternal substance exposure in first 90 days of life per 1,000 live births",,"Not displayed when total number of neonates with withdrawal symptoms or maternal substance exposure is less than 11","Neonates diagnosed with withdrawal symptoms using ICD-10 code P96.1 or maternal substance exposure using ICD-10 code P04.49 in first 90 days of life","1636",,"Live births in hospitals","22","22","42","043","(40.4197463597, -76.7796056802)","POINT (-76.7796056802 40.4197463597)"
