"geographic_area","geographic_name","gender","age","year","time_period","time_period_dates","estimated_lost_lifetime_wages","estimated_lost_lifetime_wages_1","lost_tax_revenue","lost_tax_revenue_description","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude_longitude","geocoded_column","latitude","longitude"
"County","Clearfield","All","All (0 to 64 years)","2017","2017 Annual","1/1/2017-12/31/2017","8244112.129","Lost lifetime wages due to mortality casued by opiod use","253094.24","Estimated lifetime state income tax revenue lost due to mortality caused by opioid use","17","17","42","033","(41.0004290024, -78.4755834299)","POINT (-78.4755834299 41.0004290024)","41.000429","-78.47558343"
"County","Juniata","All","All (0 to 64 years)","2018","2018 Annual","1/1/2018-12/31/2018","7654054.137","Lost lifetime wages due to mortality casued by opiod use","234979.46","Estimated lifetime state income tax revenue lost due to mortality caused by opioid use","34","34","42","067","(40.5343300836, -77.405775001)","POINT (-77.405775001 40.5343300836)","40.53433008","-77.405775"
"County","Erie","All","All (0 to 64 years)","2017","2017 Annual","1/1/2017-12/31/2017","8811903.781","Lost lifetime wages due to mortality casued by opiod use","270525.45","Estimated lifetime state income tax revenue lost due to mortality caused by opioid use","25","25","42","049","(41.9941378702, -80.0407591036)","POINT (-80.0407591036 41.9941378702)","41.99413787","-80.0407591"
"County","Warren","All","All (0 to 64 years)","2017","2017 Annual","1/1/2017-12/31/2017","8536357.832","Lost lifetime wages due to mortality casued by opiod use","262066.19","Estimated lifetime state income tax revenue lost due to mortality caused by opioid use","62","62","42","123","(41.8167523652, -79.278581578)","POINT (-79.278581578 41.8167523652)","41.81675237","-79.27858158"
"County","Susquehanna","All","All (0 to 64 years)","2018","2018 Annual","1/1/2018-12/31/2018","8859219.752","Lost lifetime wages due to mortality casued by opiod use","271978.05","Estimated lifetime state income tax revenue lost due to mortality caused by opioid use","58","58","42","115","(41.8205685982, -75.8025030296)","POINT (-75.8025030296 41.8205685982)","41.8205686","-75.80250303"
"State","Commonwealth","All","All (0 to 64 years)","2016","2016 Annual","1/1/2016-12/31/2016","708345799.02","Lost lifetime wages due to mortality casued by opiod use","21746216.03","Estimated lifetime state income tax revenue lost due to mortality caused by opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)","39.346129","-75.167756"
"County","Dauphin","All","All (0 to 64 years)","2016","2016 Annual","1/1/2016-12/31/2016","12870466.81","Lost lifetime wages due to mortality casued by opiod use","395123.33","Estimated lifetime state income tax revenue lost due to mortality caused by opioid use","22","22","42","043","(40.4197463597, -76.7796056802)","POINT (-76.7796056802 40.4197463597)","40.41974636","-76.77960568"
"County","McKean","All","All (0 to 64 years)","2018","2018 Annual","1/1/2018-12/31/2018","8984467.911","Lost lifetime wages due to mortality casued by opiod use","275823.16","Estimated lifetime state income tax revenue lost due to mortality caused by opioid use","42","42","42","083","(41.81037073600, -78.57122019980)","POINT (-78.57122019980001 41.810370736)","41.81037074","-78.5712202"
"County","Franklin","All","All (0 to 64 years)","2019","2019 Annual","1/1/2019-12/31/2019","9566176.025","Lost lifetime wages due to mortality casued by opiod use","293681.60","Estimated lifetime state income tax revenue lost due to mortality caused by opioid use","28","28","42","055","(39.9278619704, -77.7239884483)","POINT (-77.7239884483 39.9278619704)","39.92786197","-77.72398845"
"County","Schuylkill","All","All (0 to 64 years)","2017","2017 Annual","1/1/2017-12/31/2017","8778504.272","Lost lifetime wages due to mortality casued by opiod use","269500.08","Estimated lifetime state income tax revenue lost due to mortality caused by opioid use","54","54","42","107","(40.707512431, -76.223323851)","POINT (-76.223323851 40.707512431000005)","40.70751243","-76.22332385"
