"geographic_area","geographic_name","sex","age","year","time_period","time_period_dates","hepatitis_c_rate","type_of_rate","hepatitis_c_count","hepatitis_c_count_description","hepatitis_c_count_notes","oud_estimate","oud_description","oud_notes","county_code_number","county_code_text","state_fips_code","county_fips_code","geo_2"
"County","Warren","All","15-39 years","2016","2016 Annual","1/1/2016-12/31/2016",,"Rate suppressed due to small OUD estimate size","8","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6",,"Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","62","62","42","123","POINT (-79.278581578 41.8167523652)"
"County","Susquehanna","All","15-39 years","2020","2020 Annual","1/1/2020-12/31/2020",,"Rate suppressed due to small OUD estimate size","11","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6",,"Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","58","58","42","115","POINT (-75.8025030296 41.8205685982)"
"County","Somerset","All","15-39 years","2017","2017 Annual","1/1/2017-12/31/2017","152.48","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","154","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","1010","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","56","56","42","111","POINT (-79.0310020611 39.9714629901)"
"County","Columbia","All","15-39 years","2017","2017 Annual","1/1/2017-12/31/2017","114.04","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","52","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","456","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","19","19","42","037","POINT (-76.4100217975 41.0491208559)"
"County","Luzerne","All","15-39 years","2020","2020 Annual","1/1/2020-12/31/2020","30.83","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","143","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","4638","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","40","40","42","079","POINT (-75.991996098 41.1783643884)"
"County","Fayette","All","15-39 years","2020","2020 Annual","1/1/2020-12/31/2020","28.39","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","58","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","2043","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","26","26","42","051","POINT (-79.6518963464 39.919447803)"
"County","Clearfield","All","15-39 years","2019","2019 Annual","1/1/2019-12/31/2019","188.34","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","84","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","446","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","17","17","42","033","POINT (-78.4755834299 41.0004290024)"
"County","Allegheny","All","15-39 years","2019","2019 Annual","1/1/2019-12/31/2019","28.59","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","531","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","18570","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","2","02","42","003","POINT (-79.9861984282 40.4673554298)"
"State","Commonwealth","All","15-39 years","2016","2016 Annual","1/1/2016-12/31/2016","38.23","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","5988","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","156616","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","0","00","42","000","POINT (-75.167756 39.346129)"
"County","Berks","All","15-39 years","2017","2017 Annual","1/1/2017-12/31/2017","37.44","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","128","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","3419","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","6","06","42","011","POINT (-75.9307732705 40.4193963513)"
"County","Monroe","All","15-39 years","2020","2020 Annual","1/1/2020-12/31/2020","20.33","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","55","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","2706","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","45","45","42","089","POINT (-75.3408360302 41.0609178653)"
"County","Carbon","All","15-39 years","2018","2018 Annual","1/1/2018-12/31/2018","32.05","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","35","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","1092","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","13","13","42","025","POINT (-75.7110703866 40.9193670081)"
"County","Jefferson","All","15-39 years","2017","2017 Annual","1/1/2017-12/31/2017",,"Rate suppressed due to small OUD estimate size","17","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6",,"Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","33","33","42","065","POINT (-79.0010181419 41.1313909115)"
"County","Union","All","15-39 years","2018","2018 Annual","1/1/2018-12/31/2018",,"Rate suppressed due to small OUD estimate size","91","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6",,"Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","60","60","42","119","POINT (-77.0641580308 40.9647313096)"
"County","Mifflin","All","15-39 years","2019","2019 Annual","1/1/2019-12/31/2019",,"Rate suppressed due to small OUD estimate size","14","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6",,"Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","44","44","42","087","POINT (-77.6200308901 40.6127492804)"
"County","Adams","All","15-39 years","2020","2020 Annual","1/1/2020-12/31/2020","37.04","Rate of individuals with Hepatitis C per 1,000 individuals estimated to have OUD","23","Number of unique individuals with Hepatitis C","Not displayed when total number of unique individuals with Hepatitis C is less than 6","621","Number of unique individuals estimated to have Opioid Use Disorder (OUD)","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 6","1","01","42","001","POINT (-77.2222427076 39.8720956503)"
