"age_group","race_group","gender","county_name","rate","type_of_rate","overdose_type","time_measure","year","time_period","quarter_date_start","notes","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude_longitude","longitude","georeferenced_latitude_longitude"
"All Ages","All Races","Female","Pennsylvania","0.679","Rate of ED Visits per 10,000 Population (by home location)","Heroin Overdose","Quarterly","2019","2019 Q4","2019-10-01T00:00:00.000",,"0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"All Ages","All Races","Female","Pennsylvania","66.002","Rate of ED Visits per 10,000 Visits (by facility location)","Any Drug Overdose","Quarterly","2019","2019 Q2","2019-04-01T00:00:00.000",,"0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"65+","All Races","All Genders","Pennsylvania","0.144","Rate of ED Visits per 10,000 Population (by home location)","Any Opioid Overdose","Quarterly","2016","2016 Q3","2016-07-01T00:00:00.000",,"0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"35-44","All Races","All Genders","Pennsylvania","2.927","Rate of ED Visits per 10,000 Population (by home location)","Heroin Overdose","Quarterly","2019","2019 Q2","2019-04-01T00:00:00.000",,"0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"All Ages","All Races","All Genders","Clarion",,"Rate of ED Visits per 10,000 Population (by home location)","Any Opioid Overdose","Quarterly","2017","2017 Q4","2017-10-01T00:00:00.000","Not displayed when count is between 1 and 4.","16","16","42","031","41.19279129","-79.42483608","POINT (-79.42483608 41.19279129)"
"All Ages","All Races","All Genders","Snyder",,"Rate of ED Visits per 10,000 Visits (by facility location)","Any Drug Overdose","Quarterly","2021","2021 Q2","2021-04-01T00:00:00.000","Not displayed when count is between 1 and 4.","55","55","42","109","40.77113737","-77.07255968","POINT (-77.07255968 40.77113737)"
"All Ages","All Races","All Genders","Cameron",,"Rate of ED Visits per 10,000 Population (by home location)","Any Drug Overdose","Quarterly","2018","2018 Q3","2018-07-01T00:00:00.000","Not displayed when count is between 1 and 4.","12","12","42","023","41.43880265","-78.20916932","POINT (-78.20916932 41.43880265)"
"All Ages","All Races","All Genders","Clearfield",,"Rate of ED Visits per 10,000 Visits (by facility location)","Stimulant Overdose","Quarterly","2021","2021 Q3","2021-07-01T00:00:00.000","Not displayed when count is between 1 and 4.","17","17","42","033","41.000429","-78.47558343","POINT (-78.47558343 41.000429)"
"All Ages","All Races","All Genders","Columbia","4.926","Rate of ED Visits per 10,000 Population (by home location)","Any Drug Overdose","Quarterly","2019","2019 Q2","2019-04-01T00:00:00.000",,"19","19","42","037","41.04912086","-76.4100218","POINT (-76.4100218 41.04912086)"
"All Ages","All Races","All Genders","Union","5.487","Rate of ED Visits per 10,000 Population (by home location)","Any Drug Overdose","Quarterly","2016","2016 Q3","2016-07-01T00:00:00.000",,"60","60","42","119","40.96473131","-77.06415803","POINT (-77.06415803 40.96473131)"
"All Ages","All Races","All Genders","Juniata",,"Rate of ED Visits per 10,000 Visits (by facility location)","Heroin Overdose","Quarterly","2017","2017 Q2","2017-04-01T00:00:00.000","Not displayed when count is between 1 and 4.","34","34","42","067","40.53433008","-77.405775","POINT (-77.405775 40.53433008)"
"55-64","All Races","All Genders","Pennsylvania","0.105","Rate of ED Visits per 10,000 Population (by home location)","Stimulant Overdose","Quarterly","2016","2016 Q4","2016-10-01T00:00:00.000",,"0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"All Ages","All Races","All Genders","Armstrong",,"Rate of ED Visits per 10,000 Population (by home location)","Stimulant Overdose","Quarterly","2018","2018 Q2","2018-04-01T00:00:00.000","Not displayed when count is between 1 and 4.","3","03","42","005","40.81509526","-79.47316899","POINT (-79.47316899 40.81509526)"
"25-34","All Races","All Genders","Pennsylvania","181.983","Rate of ED Visits per 10,000 Visits (by facility location)","Any Drug Overdose","Quarterly","2017","2017 Q3","2017-07-01T00:00:00.000",,"0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"All Ages","All Races","All Genders","Cameron","0","Rate of ED Visits per 10,000 Population (by home location)","Stimulant Overdose","Quarterly","2017","2017 Q4","2017-10-01T00:00:00.000",,"12","12","42","023","41.43880265","-78.20916932","POINT (-78.20916932 41.43880265)"
"All Ages","All Races","All Genders","Dauphin","16.483","Rate of ED Visits per 10,000 Visits (by facility location)","Any Opioid Overdose","Quarterly","2020","2020 Q1","2020-01-01T00:00:00.000",,"22","22","42","043","40.41974636","-76.77960568","POINT (-76.77960568 40.41974636)"
"All Ages","All Races","All Genders","Huntingdon",,"Rate of ED Visits per 10,000 Visits (by facility location)","Heroin Overdose","Quarterly","2020","2020 Q3","2020-07-01T00:00:00.000","Not displayed when count is between 1 and 4.","31","31","42","061","40.416105","-77.9827661","POINT (-77.9827661 40.416105)"
"All Ages","All Races","All Genders","Northampton",,"Rate of ED Visits per 10,000 Visits (by facility location)","Stimulant Overdose","Quarterly","2018","2018 Q2","2018-04-01T00:00:00.000","Not displayed when count is between 1 and 4.","48","48","42","095","40.7545954","-75.31263726","POINT (-75.31263726 40.7545954)"
"25-34","All Races","All Genders","Pennsylvania","5.579","Rate of ED Visits per 10,000 Population (by home location)","Any Opioid Overdose","Quarterly","2017","2017 Q4","2017-10-01T00:00:00.000",,"0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"All Ages","All Races","All Genders","Butler","50.81","Rate of ED Visits per 10,000 Visits (by facility location)","Any Drug Overdose","Quarterly","2019","2019 Q4","2019-10-01T00:00:00.000",,"10","10","42","019","40.91083185","-79.91711779","POINT (-79.91711779 40.91083185)"
"All Ages","All Races","All Genders","Venango","2.566","Rate of ED Visits per 10,000 Population (by home location)","Any Opioid Overdose","Quarterly","2020","2020 Q2","2020-04-01T00:00:00.000",,"61","61","42","121","41.40341259","-79.76286561","POINT (-79.76286561 41.40341259)"
