"geographic_area","geographic_name","gender","age","year","time_period","time_period_dates","rate_of_neonatal_hospital","type_of_rate","number_of_neonatal_hospital","number_of_neonatal_hospital_1","number_of_neonatal_hospital_2","total_number_of_birth","total_number_of_birth_1","total_number_of_birth_2","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude_longitude","geocoded_column"
"County","Carbon","All","<1 month","2017","2017 Annual","1/1/2017-12/31/2017","17.79","Rate of neonatal hospital stays with withdrawal symptoms during birth hospitalization (first 28 days of life) per 1,000 livebirths","10","Not displayed when total number of neonatal hospital stays with withdrawal symptoms is less than 11","Neonatal hospital stays with diagnosis of withdrawal symptoms using ICD-10 code P96.1 during birth hospitalization (first 28 days of life)","562",,"Live births in hospitals","13","13","42","025","(40.9193670081, -75.7110703866)","POINT (-75.7110703866 40.9193670081)"
"County","York","All","<1 month","2016","2016 Q1","1/1/2016-3/31/2016","13.08","Rate of neonatal hospital stays with withdrawal symptoms during birth hospitalization (first 28 days of life) per 1,000 livebirths","15",,"Neonatal hospital stays with diagnosis of withdrawal symptoms using ICD-10 code P96.1 during birth hospitalization (first 28 days of life)","1147",,"Live births in hospitals","67","67","42","133","(39.9219253124, -76.7257605231)","POINT (-76.7257605231 39.9219253124)"
"County","York","All","<1 month","2017","2017 Q4","10/1/2017-12/31/2017","14.11","Rate of neonatal hospital stays with withdrawal symptoms during birth hospitalization (first 28 days of life) per 1,000 livebirths","16",,"Neonatal hospital stays with diagnosis of withdrawal symptoms using ICD-10 code P96.1 during birth hospitalization (first 28 days of life)","1134",,"Live births in hospitals","67","67","42","133","(39.9219253124, -76.7257605231)","POINT (-76.7257605231 39.9219253124)"
"County","Carbon","All","<1 month","2017","2017 Q1","1/1/2017-3/31/2017","7.35","Rate of neonatal hospital stays with withdrawal symptoms during birth hospitalization (first 28 days of life) per 1,000 livebirths","1","Not displayed when total number of neonatal hospital stays with withdrawal symptoms is less than 11","Neonatal hospital stays with diagnosis of withdrawal symptoms using ICD-10 code P96.1 during birth hospitalization (first 28 days of life)","136",,"Live births in hospitals","13","13","42","025","(40.9193670081, -75.7110703866)","POINT (-75.7110703866 40.9193670081)"
"County","Wyoming","All","<1 month","2016","2016 Q2","4/1/2016-6/30/2016","16.95","Rate of neonatal hospital stays with withdrawal symptoms during birth hospitalization (first 28 days of life) per 1,000 livebirths","1","Not displayed when total number of neonatal hospital stays with withdrawal symptoms is less than 11","Neonatal hospital stays with diagnosis of withdrawal symptoms using ICD-10 code P96.1 during birth hospitalization (first 28 days of life)","59",,"Live births in hospitals","66","66","42","131","(41.5189248803, -76.0181300338)","POINT (-76.0181300338 41.5189248803)"
"County","Fulton","All","<1 month","2016","2016 Q2","4/1/2016-6/30/2016","47.62","Rate of neonatal hospital stays with withdrawal symptoms during birth hospitalization (first 28 days of life) per 1,000 livebirths","1","Not displayed when total number of neonatal hospital stays with withdrawal symptoms is less than 11","Neonatal hospital stays with diagnosis of withdrawal symptoms using ICD-10 code P96.1 during birth hospitalization (first 28 days of life)","21",,"Live births in hospitals","29","29","42","057","(39.9248751086, -78.1148504535)","POINT (-78.1148504535 39.9248751086)"
"County","Sullivan","All","<1 month","2017","2017 Q2","4/1/2017-6/30/2017",,"Rate of neonatal hospital stays with withdrawal symptoms during birth hospitalization (first 28 days of life) per 1,000 livebirths","0","Not displayed when total number of neonatal hospital stays with withdrawal symptoms is less than 11","Neonatal hospital stays with diagnosis of withdrawal symptoms using ICD-10 code P96.1 during birth hospitalization (first 28 days of life)","7","Not displayed when total number of birth hospitalizations is less than 11","Live births in hospitals","57","57","42","113","(41.4480993958, -76.5147922046)","POINT (-76.5147922046 41.4480993958)"
"County","Westmoreland","All","<1 month","2016","2016 Annual","1/1/2016-12/31/2016","25.20","Rate of neonatal hospital stays with withdrawal symptoms during birth hospitalization (first 28 days of life) per 1,000 livebirths","74",,"Neonatal hospital stays with diagnosis of withdrawal symptoms using ICD-10 code P96.1 during birth hospitalization (first 28 days of life)","2936",,"Live births in hospitals","65","65","42","129","(40.3103149985, -79.471341176)","POINT (-79.471341176 40.3103149985)"
"County","Philadelphia","All","<1 month","2016","2016 Annual","1/1/2016-12/31/2016","13.69","Rate of neonatal hospital stays with withdrawal symptoms during birth hospitalization (first 28 days of life) per 1,000 livebirths","289",,"Neonatal hospital stays with diagnosis of withdrawal symptoms using ICD-10 code P96.1 during birth hospitalization (first 28 days of life)","21103",,"Live births in hospitals","51","51","42","101","(40.0044435384, -75.140236002)","POINT (-75.140236002 40.0044435384)"
"County","Wyoming","All","<1 month","2017","2017 Q4","10/1/2017-12/31/2017","33.90","Rate of neonatal hospital stays with withdrawal symptoms during birth hospitalization (first 28 days of life) per 1,000 livebirths","2","Not displayed when total number of neonatal hospital stays with withdrawal symptoms is less than 11","Neonatal hospital stays with diagnosis of withdrawal symptoms using ICD-10 code P96.1 during birth hospitalization (first 28 days of life)","59",,"Live births in hospitals","66","66","42","131","(41.5189248803, -76.0181300338)","POINT (-76.0181300338 41.5189248803)"
