"geographic_area","geographic_name","gender","age","year","time_period","time_period_dates","rate_of_neonatal_hospital","type_of_rate","number_of_neonatal_hospital","number_of_neonatal_hospital_1","number_of_neonatal_hospital_2","total_number_of_birth","total_number_of_birth_1","total_number_of_birth_2","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude_longitude","geocoded_column"
"County","Delaware","All","<1 month","2020","2020 Q1","1/1/2020-3/31/2020","27.37850787","Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births","40",,"Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life)","1461",,"Live births in hospitals","23","23","42","045","(39.9165786652, -75.4062771212)","POINT (-75.4062771212 39.9165786652)"
"County","Lackawanna","All","<1 month","2020","2020 Q1","1/1/2020-3/31/2020","24.19354839","Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births","12",,"Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life)","496",,"Live births in hospitals","35","35","42","069","(41.4391006428, -75.6121834524)","POINT (-75.6121834524 41.4391006428)"
"County","Allegheny","All","<1 month","2020","2020 Q3","7/1/2020-9/30/2020","13.14924392","Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births","40",,"Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life)","3042",,"Live births in hospitals","2","02","42","003","(40.4673554298, -79.9861984282)","POINT (-79.9861984282 40.4673554298)"
"County","Montgomery","All","<1 month","2020","2020 Q3","7/1/2020-9/30/2020","8.932769158","Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births","19",,"Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life)","2127",,"Live births in hospitals","46","46","42","091","(40.209898739, -75.3725200072)","POINT (-75.3725200072 40.209898739)"
"County","Schuylkill","All","<1 month","2020","2020 Q3","7/1/2020-9/30/2020","55.38461538","Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births","18",,"Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life)","325",,"Live births in hospitals","54","54","42","107","(40.707512431, -76.223323851)","POINT (-76.223323851 40.707512431)"
"County","Dauphin","All","<1 month","2020","2020 Q4","10/1/2020-12/31/2020","14.34159061","Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births","11",,"Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life)","767",,"Live births in hospitals","22","22","42","043","(40.4197463597, -76.7796056802)","POINT (-76.7796056802 40.4197463597)"
"County","Wayne","All","<1 month","2020","2020 Annual","1/1/2020-12/31/2020",,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,"Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11","Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life)","363",,"Live births in hospitals","64","64","42","127","(41.6496980525, -75.3051535022)","POINT (-75.3051535022 41.6496980525)"
"County","Clinton","All","<1 month","2020","2020 Annual","1/1/2020-12/31/2020",,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,"Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11","Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life)","309",,"Live births in hospitals","18","18","42","035","(41.2328627374, -77.6428376046)","POINT (-77.6428376046 41.2328627374)"
"County","York","All","<1 month","2017","2017 Q2","4/1/2017-6/30/2017","13.04","Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births","15",,"Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life)","1150",,"Live births in hospitals","67","67","42","133","(39.9219253124, -76.7257605231)","POINT (-76.7257605231 39.9219253124)"
"County","Dauphin","All","<1 month","2019","2019 Q3","7/1/2019-9/30/2019",,"Rate of neonatal hospital stays with withdrawal symptoms or maternal substance exposure  per 1,000 live births",,"Not displayed when total number of neonatal hospital stays with withdrawal symptoms or maternal substance exposure is less than 11","Neonatal hospital stays with a diagnosis of withdrawal symptoms using ICD-10 code P96.1 or a diagnosis of maternal substance exposure using ICD-10 code P04.49 during birth hospitalization (first 28 days of life)","831",,"Live births in hospitals","22","22","42","043","(40.4197463597, -76.7796056802)","POINT (-76.7796056802 40.4197463597)"
