"the_geom","x","y","name","address","city_1","state","zip","phone","directions"
"POINT (-77.512111061699 40.338305951385)","-77.512111000000004","40.338306000000003","BLAIN SPORTING GOODS","15 E MAIN ST","BLAIN","PA","17006","7175363264","http://maps.google.com/maps?q=40.338306,-77.512111"
"POINT (-77.298597002924 41.589825001288)","-77.298597000000001","41.589824999999998","NESSMUKS SPORTING GOODS","1803 ROUTE 287","MEADVILLE","PA","16938","5707245323","http://maps.google.com/maps?q=41.589825,-77.298597"
"POINT (-79.146446410374 41.842512217822)","41.84277866","-79.14644758","PENNWILD OUTDOORS","20 CLARK ST STE D","WARREN","PA","16365","8147300092","http://maps.google.com/maps?q=-79.14644758,41.84277866"
"POINT (-79.098833872245 40.952838571116)","-79.098833870000007","40.952838569999997","BEVERLY GUNS & SUPPLY","1798 ST JACOBS CHURCH RD","PUNXSUTAWNEY","PA","15767","8149387831","http://maps.google.com/maps?q=40.95283857,-79.09883387"
"POINT (-78.788171817886 41.247188275234)","-78.788173","41.247186999999997","RPC GUNS AMMO & MORE","1301 MAIN ST","BROCKWAY","PA","15824","8142656389","http://maps.google.com/maps?q=41.247187,-78.788173"
"POINT (-79.112239018903 41.168054078719)","-79.112239020000004","41.168054079999997","LEGACY ARCHERY SHOP","5328 ROUTE 322","BROOKVILLE","PA","15825","8148491200","http://maps.google.com/maps?q=41.16805408,-79.11223902"
"POINT (-77.752710930681 41.326227774928)","-77.752710930000006","41.326227780000004","TONYS HARDWARE","621-627 HURON AVENUE","RENOVO","PA","17764","5709231509","http://maps.google.com/maps?q=41.32622778,-77.75271093"
"POINT (-77.166010840386 39.852035920631)","-77.166010999999997","39.852035999999998","GETTYSBURG TRADING POST","2222 YORK RD","GETTYSBURG","PA","17325","7173343979","http://maps.google.com/maps?q=39.852036,-77.166011"
"POINT (-75.333645001785 40.32359399829)","-75.333645000000004","40.323594","DB FIREARMS","261 W BROAD ST","TELFORD","PA","18969","2674165252","http://maps.google.com/maps?q=40.323594,-75.333645"
"POINT (-75.69081557557 41.377617211863)","-75.690815999999998","41.377617999999998","AUTOBAHN TITLE & TAG","711 DAVIS STREET #3A","SCRANTON","PA","18505","5704683529","http://maps.google.com/maps?q=41.377618,-75.690816"
"POINT (-77.650309000716 39.914476998883)","-77.650308999999993","39.914476999999998","CHAMBERSBURG RURAL KING","1005 WAYNE AVE","CHAMBERSBURG","PA","17201","2232203346","http://maps.google.com/maps?q=39.914477,-77.650309"
"POINT (-76.181033003903 41.937628000581)","-76.181032999999999","41.937627999999997","JONES STORE","5968 JACKSON VALLEY RD","WARREN CENTER","PA","18851","5703950900","http://maps.google.com/maps?q=41.937628,-76.181033"
"POINT (-77.539726003863 41.918830998572)","-77.539726000000002","41.918830999999997","ROBBINS BUCK RUN","108 WEST MAIN ST","WESTFIELD","PA","16950","8143678235","http://maps.google.com/maps?q=41.918831,-77.539726"
"POINT (-77.033822005393 41.145719998998)","-77.033822000000001","41.145719999999997","NATIONAL ARCHERY & OUTDOORS","14325 S ST ROUTE 44","ALLENWOOD","PA","17810","5705470440","http://maps.google.com/maps?q=41.14572,-77.033822"
"POINT (-76.448373990534 41.0012075654)","-76.448374000000001","41.001207999999998","BLOOMSBURG TITLE TAG & NOTARY","550 EAST ST","BLOOMSBURG","PA","17815","5704160878","http://maps.google.com/maps?q=41.001208,-76.448374"
"POINT (-75.845530000485 41.835860997618)","-75.845529999999997","41.835861000000001","THE OUTDOOR INSIDERS","17120 PA 706","MONTROSE","PA","18801","5704320019","http://maps.google.com/maps?q=41.835861,-75.84553"
"POINT (-80.214741687801 41.396801607286)","-80.214749999999995","41.396805999999998","WAGLERS CAMP PERRY","2560 PERRY HWY","CLARKS MILLS","PA","16114","7242533047","http://maps.google.com/maps?q=41.396806,-80.21475"
