"geographic_area","geographic_name","gender","age","year","time_period","time_period_dates","number_of_days_hospitalized","number_of_days_hospitalized_1","number_of_days_hospitalized_notes","estimated_lost_wages","estimated_lost_wages_desc","estimated_lost_state_income_tax","estimated_lost_state_income_tax_desc","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude_longitude","geocoded_column"
"State","Commonwealth","Male","All (21 to 64 years)","2016","2016 Q1","1/1/2016-3/31/2016","8702","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","1268541.00","Lost wages dues to hospitalization for opioid use","38944.21","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)"
"State","Commonwealth","Female","All (21 to 64 years)","2016","2016 Q1","1/1/2016-3/31/2016","5671","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","831982.71","Lost wages dues to hospitalization for opioid use","25541.87","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)"
"State","Commonwealth","Male","All (21 to 64 years)","2016","2016 Q2","4/1/2016-6/30/2016","8596","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","1211161.43","Lost wages dues to hospitalization for opioid use","37182.66","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)"
"State","Commonwealth","Female","All (21 to 64 years)","2016","2016 Q2","4/1/2016-6/30/2016","6277","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","882290.00","Lost wages dues to hospitalization for opioid use","27086.30","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)"
"State","Commonwealth","Male","All (21 to 64 years)","2016","2016 Q3","7/1/2016-9/30/2016","8674","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","1291213.14","Lost wages dues to hospitalization for opioid use","39640.24","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)"
"State","Commonwealth","Female","All (21 to 64 years)","2016","2016 Q3","7/1/2016-9/30/2016","5909","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","866355.71","Lost wages dues to hospitalization for opioid use","26597.12","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)"
"State","Commonwealth","Male","All (21 to 64 years)","2016","2016 Q4","10/1/2016-12/31/2016","8374","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","1272682.86","Lost wages dues to hospitalization for opioid use","39071.36","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)"
"State","Commonwealth","Female","All (21 to 64 years)","2016","2016 Q4","10/1/2016-12/31/2016","4912","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","739448.29","Lost wages dues to hospitalization for opioid use","22701.06","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)"
"State","Commonwealth","Male","All (21 to 64 years)","2017","2017 Q1","1/1/2017-3/31/2017","8698","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","1368564.00","Lost wages dues to hospitalization for opioid use","42014.91","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)"
"State","Commonwealth","Female","All (21 to 64 years)","2017","2017 Q1","1/1/2017-3/31/2017","5776","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","908978.14","Lost wages dues to hospitalization for opioid use","27905.63","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)"
