"layername","the_geom","name","address","city","state","zip","phonenumber","latitude","longitude","info_link","revenuelottery_comments","directions"
"Revenue or Lottery","POINT (-75.451535 40.621931)","Allentown Taxpayer Assistance Office","555 Union Blvd., Allentown PA 18109",,,,,,,"Click Here (https://www.revenue.pa.gov/ContactUs/Pages/District-Offices.aspx)","Taxpayer Assistance- Appointments recommended, does accept walk in","Get Directions (http://maps.apple.com/?daddr=40.621931,-75.451535(MyDestination))"
"Revenue or Lottery","POINT (-80.025962 40.450258)","Pittsburgh  PA Lottery Office","1424 Western Ave, Pittsburgh PA 15233",,,,,,,"Click Here (https://www.palottery.state.pa.us/About-PA-Lottery/Contact-Us.aspx)","Customer Service for Lottery Claims, Appointments preferred","Get Directions (http://maps.apple.com/?daddr=40.450258,-80.025962(MyDestination))"
"Revenue or Lottery","POINT (-74.993255 40.080748)","Philadelphia Taxpayer Assistance Office","Academy Plaza Shopping Center, 3240 Red Lion Rd, Philadelphia PA 19114",,,,,,,"Click Here (https://www.revenue.pa.gov/ContactUs/Pages/District-Offices.aspx)","Taxpayer Assistance- Appointments recommended, does accept walk in","Get Directions (http://maps.apple.com/?daddr=40.080748,-74.993255(MyDestination))"
"Revenue or Lottery","POINT (-78.410282 41.024436)","Clearfield  PA Lottery Office","1000 Leonard St., Clearfield PA 16830",,,,,,,"Click Here (https://www.palottery.state.pa.us/About-PA-Lottery/Contact-Us.aspx)","Customer Service for Lottery Claims, Appointments preferred","Get Directions (http://maps.apple.com/?daddr=41.024436,-78.410282(MyDestination))"
"Revenue or Lottery","POINT (-76.76062 40.227651)","Middletown  PA Lottery Office","1200 Fulling Mill Rd, Middletown, PA 17057",,,,,,,"Click Here (https://www.palottery.state.pa.us/About-PA-Lottery/Contact-Us.aspx)","Customer Service for Lottery Claims, Appointments preferred","Get Directions (http://maps.apple.com/?daddr=40.227651,-76.76062(MyDestination))"
"Revenue or Lottery","POINT (-80.039496 40.457192)","Pittsburgh - Greentree Taxpayer Assistance Office","11 Parkway Center, Suite 175, 875 Greentree Rd. , Pittsburgh PA 15220",,,,,,,"Click Here (https://www.revenue.pa.gov/ContactUs/Pages/District-Offices.aspx)","Taxpayer Assistance- Appointments recommended, does accept walk in","Get Directions (http://maps.apple.com/?daddr=40.457192,-80.039496(MyDestination))"
"Revenue or Lottery","POINT (-75.881816 41.24407)","Wilkes Barre  PA Lottery Office","49 S Washington St, Wilkes Barre PA 18701",,,,,,,"Click Here (https://www.palottery.state.pa.us/About-PA-Lottery/Contact-Us.aspx)","Customer Service for Lottery Claims, Appointments preferred","Get Directions (http://maps.apple.com/?daddr=41.24407,-75.881816(MyDestination))"
"Revenue or Lottery","POINT (-80.111443 42.074947)","Erie  PA Lottery Office","4802 Pittsburgh Ave., Erie PA 16509",,,,,,,"Click Here (https://www.palottery.state.pa.us/About-PA-Lottery/Contact-Us.aspx)","Customer Service for Lottery Claims, Appointments preferred","Get Directions (http://maps.apple.com/?daddr=42.074947,-80.111443(MyDestination))"
"Revenue or Lottery","POINT (-75.341699 40.144722)","Norristown Taxpayer Assistance Office - 2nd Floor","Stoney Creek Office Center, Suite 201, 151 W Marshall St., Suite 210, Norristown PA 19401",,,,,,,"Click Here (https://www.revenue.pa.gov/ContactUs/Pages/District-Offices.aspx)","Taxpayer Assistance- Appointments recommended, does accept walk in","Get Directions (http://maps.apple.com/?daddr=40.144722,-75.341699(MyDestination))"
"Revenue or Lottery","POINT (-75.673891 41.484572)","Scranton Taxpayer Assistance Office","Bank Tower, Suite 207, 207 Wyoming Ave, Scranton PA 18503",,,,,,,"Click Here (https://www.revenue.pa.gov/ContactUs/Pages/District-Offices.aspx)","Taxpayer Assistance- Appointments recommended, does accept walk in","Get Directions (http://maps.apple.com/?daddr=41.484572,-75.673891(MyDestination))"
