"filer_identification_number","election_year","election_cycle","amended_report_indicator","termination_indicator","filer_type","filer_name","office","district","party","filer_address_1","filer_address_2","filer_city","filer_state","filer_zip_code","county","phone_number","beginning_balance","monetary","in_kind","filer_location_1","filer_location_2"
"8600065","2017","1","N","N","2","INDEPENDENT STATE STORE UNION PAC",,,,"C/O TREAS: HINKLE, ALISON","PO BOX 863","HARRISBURG","PA","171080000",,"7172342568","4275.43","928.75","0.00","C/O TREAS: HINKLE, ALISON
HARRISBURG, PA 171080000","PO BOX 863
HARRISBURG, PA 171080000"
"2007173","2017","1","Y","N","2","PPG INDUSTRIES, INC. PAC",,,,"ONE PPG PLACE","ATTN: GABE PELLATHY","PITTSBURGH","PA","15272",,"4124342753","133833.29","6038.00","0.00","ONE PPG PLACE
PITTSBURGH, PA 15272","ATTN: GABE PELLATHY
PITTSBURGH, PA 15272"
"20160326","2017","1","Y","N","2","FRIENDS OF JUDGE MCLAUGHLIN",,,"DEM","1500 JFK BLVD.","PO BOX 58381","PHILADELPHIA","PA","19102",,"2152062626","104862.79","500.00","0.00","1500 JFK BLVD.
PHILADELPHIA, PA 19102","PO BOX 58381
PHILADELPHIA, PA 19102"
"2017C0213","2017","1","Y","N","1","MARIA MCLAUGHLIN","SPR","-1","DEM","1501 JFK BLVD.","PO BOX 58381","PHILADELPHIA","PA","19102",,"2152510585","0.00","0.00","0.00","1501 JFK BLVD.
PHILADELPHIA, PA 19102","PO BOX 58381
PHILADELPHIA, PA 19102"
"8800343","2017","2","N","N","2","BEAVER LAWRENCE CLC COPE        ",,,,"PO BOX A","217 SASSAFRAS LN               ","BEAVER           ","PA","15009-0000",,,"3453.20","0.00","0.00","PO BOX A
BEAVER, PA 15009-0000","217 SASSAFRAS LN
BEAVER, PA 15009-0000"
"8200066","2017","2","N","N","2","TUCKER ARENSBURG PAC",,,,"C/O TREAS: J. KENT CULLEY","1500 ONE PPG PLACE","PITTSBURGH","PA","152220000",,"4125661212","4945.46","0.00","0.00","C/O TREAS: J. KENT CULLEY
PITTSBURGH, PA 152220000","1500 ONE PPG PLACE
PITTSBURGH, PA 152220000"
"8200409","2017","2","N","N","2","DICKIE, MCCAMEY & CHILCOTE, POLITICAL ACTION COMMITTEE",,,,"TWO PPG PLACE","SUITE 400","PITTSBURGH","PA","152225402",,"3925215","1469.00","75.00","0.00","TWO PPG PLACE
PITTSBURGH, PA 152225402","SUITE 400
PITTSBURGH, PA 152225402"
"8500236","2017","1","N","Y","2","Friends for Dwight Evans",,,,"PO Box 19097","c/o: Terri Grantham-Peebles","Philadelphia,","PA","19138",,"2152423213","11588.76","0.00","0.00","PO Box 19097
Philadelphia,, PA 19138","c/o: Terri Grantham-Peebles
Philadelphia,, PA 19138"
"7900729","2017","1","N","Y","2","Citizens to Elect Dwight Evans",,,,"PO Box 19097","c/o: Terri Grantham-Peebles","Philadelphia,","PA","19138",,"2152423213","9217.50","0.00","0.00","PO Box 19097
Philadelphia,, PA 19138","c/o: Terri Grantham-Peebles
Philadelphia,, PA 19138"
"8600215","2017","1","N","N","2","PAC PARD PHILPAC C/O FRANK A. RUBINO, TREASURER",,,,"200 MICHENER STREET","SUITE 10","PHILADELPHIA","PA","19115",,"2677844517","12306.79","2950.00","0.00","200 MICHENER STREET
PHILADELPHIA, PA 19115","SUITE 10
PHILADELPHIA, PA 19115"
"8600065","2017","2","N","N","2","INDEPENDENT STATE STORE UNION",,,,"C/O TREAS: HINKLE, ALISON","PO BOX 863","HARRISBURG","PA","171080000",,"7172342568","3454.18","714.50","0.00","C/O TREAS: HINKLE, ALISON
HARRISBURG, PA 171080000","PO BOX 863
HARRISBURG, PA 171080000"
"20150057","2017","2","N","N","2","COMMITTEE TO ELECT STELLA TSAI JUDGE",,,"DEM","1500 JFK BLVD","PO BOX 58381","PHILADELPHIA","PA","19102",,"5716435043","529.86","658.00","0.00","1500 JFK BLVD
PHILADELPHIA, PA 19102","PO BOX 58381
PHILADELPHIA, PA 19102"
"20160326","2017","2","N","N","2","FRIENDS OF JUDGE MCLAUGHLIN",,,"DEM","1500 JFK BLVD","PO BOX 58381","PHILADELPHIA","PA","19102",,"2152062626","94281.03","235.00","0.00","1500 JFK BLVD
PHILADELPHIA, PA 19102","PO BOX 58381
PHILADELPHIA, PA 19102"
"2017C0213","2017","2","N","N","1","MARIA MCLAUGHLIN","SPR","-1","DEM","1500 JFK BLVD.","PO BOX 58381","PHILADELPHIA","PA","19102",,,"-2983.80","0.00","0.00","1500 JFK BLVD.
PHILADELPHIA, PA 19102","PO BOX 58381
PHILADELPHIA, PA 19102"
"2007173","2017","2","Y","N","2","PPG INDUSTRIES, INC. PAC",,,,"ONE PPG PLACE","ATTN: GABE PELLATHY","PITTSBURGH","PA","15272",,"4124342753","125277.29","6269.00","0.00","ONE PPG PLACE
PITTSBURGH, PA 15272","ATTN: GABE PELLATHY
PITTSBURGH, PA 15272"
"8600215","2017","2","N","N","2","PAC PARD PHILPAC C/O FRANK A. RUBINO, TREASURER",,,,"200 MICHENER STREET","SUITE 10","PHILADELPHIA","PA","19115",,"2677844517","16082.14","1075.00","0.00","200 MICHENER STREET
PHILADELPHIA, PA 19115","SUITE 10
PHILADELPHIA, PA 19115"
"9000035","2017","1","N","N","2","WESTERN PENNSYLVANIA PAC C/O: ROBERT L. KMECAK, JR. SEC/TREASURER",,,,"12-EIGHTH STREET","6TH FLOOR","PITTSBURGH","PA","15222",,"4123911712","219392.41","0.00","0.00","12-EIGHTH STREET
PITTSBURGH, PA 15222","6TH FLOOR
PITTSBURGH, PA 15222"
"8200409","2017","1","N","N","2","DICKIE MCCAMEY & CHILCOTE, POLITICAL ACTION COMMITTEE",,,,"TWO PPG PLACE","SUITE 400","PITTSBURGH","PA","152225402",,"4123925215","7444.00","75.00","0.00","TWO PPG PLACE
PITTSBURGH, PA 152225402","SUITE 400
PITTSBURGH, PA 152225402"
"8200066","2017","1","N","N","2","TUCKER ARENSBURG PAC",,,,"C/O TREAS: J. KENT CULLEY","1500 ONE PPG PLACE","PITTSBURGH","PA","152220000",,"4125661212","10101.76","0.00","0.00","C/O TREAS: J. KENT CULLEY
PITTSBURGH, PA 152220000","1500 ONE PPG PLACE
PITTSBURGH, PA 152220000"
"20160315","2017","1","N","N","2","FRIENDS OF JENN FOR JUDGE",,,"DEM","85 HENRY AVENUE","SUITE 45-38","PHILADELPHIA","PA","19128",,"2674495656","63.00","2015.00","56.65","85 HENRY AVENUE
PHILADELPHIA, PA 19128","SUITE 45-38
PHILADELPHIA, PA 19128"
"8300236","2017","1","N","N","2","TWO ELEVEN PAC",,,,"C/O TREAS: CARL D BUCHHOLZ","WIDENER BL-1 S PENN SQ","PHILADELPHIA","PA","191070000",,"2155754235","3401.00","0.00","0.00","C/O TREAS: CARL D BUCHHOLZ
PHILADELPHIA, PA 191070000","WIDENER BL-1 S PENN SQ
PHILADELPHIA, PA 191070000"
"7900333","2017","1","N","N","2","BIPARTISAN POLITICAL ACTION COMMITTEE/THE BANK OF NEW YORK MELLON CORPORATION BIPAC/BNYMC",,,,"BNY MELLON CENTER","ROOM 3225","PITTSBURGH","PA","152580001",,"4122343890","166115.42","10562.80","0.00","BNY MELLON CENTER
PITTSBURGH, PA 152580001","ROOM 3225
PITTSBURGH, PA 152580001"
"2009291","2017","2","N","N","2","BAYADA HOME HEALTH CARE PAC",,,,"1880 JFK BLVD","SUITE 720","PHILADELPHIA","PA","19103",,"6109273900","31017.89","3293.02","0.00","1880 JFK BLVD
PHILADELPHIA, PA 19103","SUITE 720
PHILADELPHIA, PA 19103"
"20150154","2017","2","N","N","2","GT COMMONWEALTH PAC",,,,"ONE PPG PLACE","ATTN: GABE PELLATHY","PITTSBURGH","PA","15272",,"4124342753","125277.29","0.00","0.00","ONE PPG PLACE
PITTSBURGH, PA 15272","ATTN: GABE PELLATHY
PITTSBURGH, PA 15272"
"7900333","2017","2","N","N","2","BIPARTISAN POLITICAL ACTION COMMITTEE/THE BANK OF NEW YORK MELLON CORPORATION BIPAC/BNYMC",,,,"BNYMELLON CENTER","ROOM 3225","PITTSBURGH","PA","152580001",,"4122343840","113340.22","6948.08","0.00","BNYMELLON CENTER
PITTSBURGH, PA 152580001","ROOM 3225
PITTSBURGH, PA 152580001"
"20170025","2017","2","Y","N","2","SHERMAN TOPPIN",,,"DEM","1800 JFK BOULEVARD","SUITE 300","PHILADELPHIA","PA","19103",,"2155643600","0.00","0.00","0.00","1800 JFK BOULEVARD
PHILADELPHIA, PA 19103","SUITE 300
PHILADELPHIA, PA 19103"
"8200066","2017","3","N","N","2","TUCKER ARENSBURG PAC",,,,"C/O TREAS: J. KENT CULLEY","1500 ONE PPG PLACE","PITTSBURGH","PA","152220000",,"4125661212","4692.76","0.00","0.00","C/O TREAS: J. KENT CULLEY
PITTSBURGH, PA 152220000","1500 ONE PPG PLACE
PITTSBURGH, PA 152220000"
"8600215","2017","3","N","N","2","PAC PARD PHILPAC C/O FRANK A. RUBINO, TREASURER",,,,"200 MICHENER STREET","SUITE 10","PHILADELPHIA","PA","19115",,"2677844517","15860.06","925.00","0.00","200 MICHENER STREET
PHILADELPHIA, PA 19115","SUITE 10
PHILADELPHIA, PA 19115"
"8800343","2017","3","N","N","2","BEAVER LAWRENCE CLC COPE        ",,,,"PO BOX A","217 SASSAFRAS LN               ","BEAVER           ","PA","15009-0000",,,"2803.20","0.00","0.00","PO BOX A
BEAVER, PA 15009-0000","217 SASSAFRAS LN
BEAVER, PA 15009-0000"
