"geographic_area","geographic_name","gender","age","year","time_period","time_period_dates","drug_use_disorder_estimate","drug_use_disorder_description","drug_use_disorder_estimate_notes","estimated_lost_wages","estimated_lost_wages_description","estimated_lost_state_income_tax","estimated_lost_state_income_tax_description","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude_longitude","geocoded_column","latitude","longitude"
"County","Wayne","All","All (21 to 64 years)","2016","2016 Annual","1/1/2016-12/31/2016","927","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","5965727.04","Estimated lost wages due to opioid use","183147.82","Estimated state income tax revenue lost due to opioid use","64","64","42","127","(41.64969805250, -75.30515350220)","POINT (-75.3051535022 41.6496980525)","41.649698053","-75.3051535"
"County","Union","All","All (21 to 64 years)","2017","2017 Annual","1/1/2017-12/31/2017",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed",,"Estimated lost wages due to opioid use",,"Estimated state income tax revenue lost due to opioid use","60","60","42","119","(40.96473130960, -77.06415803080)","POINT (-77.0641580308 40.9647313096)","40.96473131","-77.06415803"
"County","Delaware","All","All (21 to 64 years)","2017","2017 Annual","1/1/2017-12/31/2017","13929","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","137908243.20","Estimated lost wages due to opioid use","4233783.07","Estimated state income tax revenue lost due to opioid use","23","23","42","045","(39.91657866520, -75.40627712120)","POINT (-75.40627712120002 39.9165786652)","39.916578665","-75.40627712"
"County","Erie","All","All (21 to 64 years)","2019","2019 Annual","1/1/2019-12/31/2019","4426","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","32670076.40","Estimated lost wages due to opioid use","1002971.35","Estimated state income tax revenue lost due to opioid use","25","25","42","049","(41.99413787020, -80.04075910360)","POINT (-80.0407591036 41.9941378702)","41.99413787","-80.0407591"
"County","Butler","All","All (21 to 64 years)","2019","2019 Annual","1/1/2019-12/31/2019","4784","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","43178661.76","Estimated lost wages due to opioid use","1325584.92","Estimated state income tax revenue lost due to opioid use","10","10","42","019","(40.91083184830, -79.91711778890)","POINT (-79.9171177889 40.9108318483)","40.910831848","-79.91711779"
"State","Commonwealth","All","All (21 to 64 years)","2016","2016 Annual","1/1/2016-12/31/2016","280929","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","2505763071.24","Estimated lost wages due to opioid use","76926926.29","Estimated state income tax revenue lost due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)","39.346129","-75.167756"
"County","Butler","All","All (21 to 64 years)","2017","2017 Annual","1/1/2017-12/31/2017","5444","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","46392461.44","Estimated lost wages due to opioid use","1424248.57","Estimated state income tax revenue lost due to opioid use","10","10","42","019","(40.91083184830, -79.91711778890)","POINT (-79.9171177889 40.9108318483)","40.910831848","-79.91711779"
"County","Columbia","All","All (21 to 64 years)","2018","2018 Annual","1/1/2018-12/31/2018","1227","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","8449563.72","Estimated lost wages due to opioid use","259401.61","Estimated state income tax revenue lost due to opioid use","19","19","42","037","(41.04912085590, -76.41002179750)","POINT (-76.4100217975 41.0491208559)","41.049120856","-76.4100218"
"County","Lawrence","All","All (21 to 64 years)","2017","2017 Annual","1/1/2017-12/31/2017","3127","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","21284863.60","Estimated lost wages due to opioid use","653445.31","Estimated state income tax revenue lost due to opioid use","37","37","42","073","(40.99325035140, -80.33754114460)","POINT (-80.3375411446 40.9932503514)","40.993250351","-80.33754114"
"County","Wyoming","All","All (21 to 64 years)","2018","2018 Annual","1/1/2018-12/31/2018","1032","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","8703227.52","Estimated lost wages due to opioid use","267189.08","Estimated state income tax revenue lost due to opioid use","66","66","42","131","(41.51892488030, -76.01813003380)","POINT (-76.0181300338 41.5189248803)","41.51892488","-76.01813003"
"County","Pike","All","All (21 to 64 years)","2019","2019 Annual","1/1/2019-12/31/2019","1106","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","6550616.80","Estimated lost wages due to opioid use","201103.94","Estimated state income tax revenue lost due to opioid use","52","52","42","103","(41.33257199500, -75.03270924480)","POINT (-75.0327092448 41.332571995)","41.332571995","-75.03270924"
"State","Commonwealth","All","50 to 64 years","2016","2016 Annual","1/1/2016-12/31/2016","67676","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","603640142.56","Estimated lost wages due to opioid use","18531752.38","Estimated state income tax revenue lost due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)","39.346129","-75.167756"
"County","McKean","All","All (21 to 64 years)","2017","2017 Annual","1/1/2017-12/31/2017",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed",,"Estimated lost wages due to opioid use",,"Estimated state income tax revenue lost due to opioid use","42","42","42","083","(41.81037073600, -78.57122019980)","POINT (-78.57122019980001 41.810370736)","41.810370736","-78.5712202"
"County","Delaware","All","All (21 to 64 years)","2019","2019 Annual","1/1/2019-12/31/2019","12978","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","134114132.88","Estimated lost wages due to opioid use","4117303.88","Estimated state income tax revenue lost due to opioid use","23","23","42","045","(39.91657866520, -75.40627712120)","POINT (-75.40627712120002 39.9165786652)","39.916578665","-75.40627712"
"County","Monroe","All","All (21 to 64 years)","2019","2019 Annual","1/1/2019-12/31/2019","2871","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","21623453.28","Estimated lost wages due to opioid use","663840.02","Estimated state income tax revenue lost due to opioid use","45","45","42","089","(41.06091786530, -75.34083603020)","POINT (-75.3408360302 41.0609178653)","41.060917865","-75.34083603"
"County","Philadelphia","All","All (21 to 64 years)","2018","2018 Annual","1/1/2018-12/31/2018","63765","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","713622171.60","Estimated lost wages due to opioid use","21908200.67","Estimated state income tax revenue lost due to opioid use","51","51","42","101","(40.00444353840, -75.14023600200)","POINT (-75.140236002 40.0044435384)","40.004443538","-75.140236"
"County","Bedford","All","All (21 to 64 years)","2016","2016 Annual","1/1/2016-12/31/2016",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed",,"Estimated lost wages due to opioid use",,"Estimated state income tax revenue lost due to opioid use","5","05","42","009","(40.00737536430, -78.49116473810)","POINT (-78.4911647381 40.0073753643)","40.007375364","-78.49116474"
"County","Philadelphia","All","All (21 to 64 years)","2016","2016 Annual","1/1/2016-12/31/2016","47112","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","501429976.32","Estimated lost wages due to opioid use","15393900.27","Estimated state income tax revenue lost due to opioid use","51","51","42","101","(40.00444353840, -75.14023600200)","POINT (-75.140236002 40.0044435384)","40.004443538","-75.140236"
"County","Wayne","All","All (21 to 64 years)","2017","2017 Annual","1/1/2017-12/31/2017","811","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","5326745.32","Estimated lost wages due to opioid use","163531.08","Estimated state income tax revenue lost due to opioid use","64","64","42","127","(41.64969805250, -75.30515350220)","POINT (-75.3051535022 41.6496980525)","41.649698053","-75.3051535"
"County","Allegheny","All","All (21 to 64 years)","2018","2018 Annual","1/1/2018-12/31/2018","30125","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","311310545.00","Estimated lost wages due to opioid use","9557233.73","Estimated state income tax revenue lost due to opioid use","2","02","42","003","(40.46735542980, -79.98619842820)","POINT (-79.9861984282 40.4673554298)","40.46735543","-79.98619843"
"County","Delaware","All","All (21 to 64 years)","2018","2018 Annual","1/1/2018-12/31/2018","12692","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","129139069.28","Estimated lost wages due to opioid use","3964569.43","Estimated state income tax revenue lost due to opioid use","23","23","42","045","(39.91657866520, -75.40627712120)","POINT (-75.40627712120002 39.9165786652)","39.916578665","-75.40627712"
"County","Juniata","All","All (21 to 64 years)","2018","2018 Annual","1/1/2018-12/31/2018",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed",,"Estimated lost wages due to opioid use",,"Estimated state income tax revenue lost due to opioid use","34","34","42","067","(40.53433008360, -77.40577500100)","POINT (-77.405775001 40.5343300836)","40.534330084","-77.405775"
"County","Lawrence","All","All (21 to 64 years)","2016","2016 Annual","1/1/2016-12/31/2016","2641","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","17346404.92","Estimated lost wages due to opioid use","532534.63","Estimated state income tax revenue lost due to opioid use","37","37","42","073","(40.99325035140, -80.33754114460)","POINT (-80.3375411446 40.9932503514)","40.993250351","-80.33754114"
"County","Columbia","All","All (21 to 64 years)","2016","2016 Annual","1/1/2016-12/31/2016","871","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","5720832.52","Estimated lost wages due to opioid use","175629.56","Estimated state income tax revenue lost due to opioid use","19","19","42","037","(41.04912085590, -76.41002179750)","POINT (-76.4100217975 41.0491208559)","41.049120856","-76.4100218"
"County","Wayne","All","All (21 to 64 years)","2019","2019 Annual","1/1/2019-12/31/2019","1405","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","9886479.20","Estimated lost wages due to opioid use","303514.91","Estimated state income tax revenue lost due to opioid use","64","64","42","127","(41.64969805250, -75.30515350220)","POINT (-75.3051535022 41.6496980525)","41.649698053","-75.3051535"
"County","Indiana","All","All (21 to 64 years)","2016","2016 Annual","1/1/2016-12/31/2016","3034","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","22100141.44","Estimated lost wages due to opioid use","678474.34","Estimated state income tax revenue lost due to opioid use","32","32","42","063","(40.65295497480, -79.09333492860)","POINT (-79.0933349286 40.6529549748)","40.652954975","-79.09333493"
"County","Crawford","All","All (21 to 64 years)","2016","2016 Annual","1/1/2016-12/31/2016","2107","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","13392007.72","Estimated lost wages due to opioid use","411134.64","Estimated state income tax revenue lost due to opioid use","20","20","42","039","(41.68546906920, -80.11321082950)","POINT (-80.1132108295 41.6854690692)","41.685469069","-80.11321083"
"County","Jefferson","All","All (21 to 64 years)","2019","2019 Annual","1/1/2019-12/31/2019","897","Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed","6097770.12","Estimated lost wages due to opioid use","187201.54","Estimated state income tax revenue lost due to opioid use","33","33","42","065","(41.13139091150, -79.00101814190)","POINT (-79.0010181419 41.1313909115)","41.131390912","-79.00101814"
"County","Montour","All","All (21 to 64 years)","2016","2016 Annual","1/1/2016-12/31/2016",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when inputs to model estimate are suppressed",,"Estimated lost wages due to opioid use",,"Estimated state income tax revenue lost due to opioid use","47","47","42","093","(41.02801824380, -76.66470526680)","POINT (-76.6647052668 41.0280182438)","41.028018244","-76.66470527"
