"geographic_area","geographic_name","gender","age","year","time_period","time_period_dates","deliveries_with_oud_diagnosis","type_of_rate","deliveries_with_oud_diagnosis_receiving_mat_percent","type_of_percent","number_of_women_with_a","number_of_women_with_a_1","number_of_women_with_a_2","number_of_women_with_a_3","number_of_women_with_a_4","number_of_women_with_a_5","county_code_number","county_code_text","state_fips_code","county_fips_code","geocoded_column"
"County","Delaware County","Female","12 to 55 years","2016","2016 Q1","1/1/2016-3/31/2016","448.28","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","44.83","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","13",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","29",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","23","23","42","045","POINT (-75.40627712 39.91657867)"
"County","Philadelphia County","Female","12 to 55 years","2016","2016 Q1","1/1/2016-3/31/2016","435.29","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","43.53","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","37",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","85",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","51","51","42","101","POINT (-75.140236 40.00444354)"
"County","Delaware County","Female","12 to 55 years","2016","2016 Q2","4/1/2016-6/30/2016","608.70","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","60.87","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","14",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","23",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","23","23","42","045","POINT (-75.40627712 39.91657867)"
"State","Commonwealth","Female","20 to 24 years","2016","2016 Q3","7/1/2016-9/30/2016","492.19","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","49.22","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","63",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","128",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","0","00","42","000","POINT (-75.167756 39.346129)"
"County","Fayette County","Female","12 to 55 years","2016","2016 Q3","7/1/2016-9/30/2016","656.25","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","65.63","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","21",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","32",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","26","26","42","051","POINT (-79.65189635 39.9194478)"
"County","Lancaster County","Female","12 to 55 years","2016","2016 Q3","7/1/2016-9/30/2016","750.00","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","75.00","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","15",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","20",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","36","36","42","071","POINT (-76.25138768 40.04590796)"
"County","Northampton County","Female","12 to 55 years","2016","2016 Q3","7/1/2016-9/30/2016",,"Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries",,"Percent of women with OUD diagnoses and deliveries receiving MAT for OUD",,"Not displayed when total number of women receiving Medication-Assisted Treatment for Opioid Use Disorder with deliveries is less than 11","Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","11",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","48","48","42","095","POINT (-75.31263726 40.7545954)"
"County","Blair County","Female","12 to 55 years","2016","2016 Q4","10/1/2016-12/31/2016","785.71","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","78.57","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","11",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","14",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","7","07","42","013","POINT (-78.34907687 40.48555024)"
"County","Fayette County","Female","12 to 55 years","2016","2016 Q4","10/1/2016-12/31/2016","640.00","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","64.00","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","16",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","25",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","26","26","42","051","POINT (-79.65189635 39.9194478)"
"State","Commonwealth","Female","35 to 39 years","2017","2017 Q2","4/1/2017-6/30/2017","534.25","Rate of women receiving MAT for OUD per 1,000 women with OUD diagnoses and deliveries","53.42","Percent of women with OUD diagnoses and deliveries receiving MAT for OUD","39",,"Women with a delivery diagnosed with Opioid Use Disorder and receiving Medication-Assisted Treatment in Medicaid","73",,"Women with a delivery diagnosed with Opioid Use Disorder in Medicaid","0","00","42","000","POINT (-75.167756 39.346129)"
