"layername","the_geom","name","address","city","state","zip","phonenumber","latitude","longitude","directions","more_info","sthealthcntr_fax_number","child_care_provider_mpi_id","child_care_provider_mpi_location_id","child_care_provider_type","child_care_provider_facility_address_continued","child_care_providers_facility_state_fips_code","child_care_provider_facility_county","child_care_providers_facility_county_fips_code","child_care_providers_facility_fax","child_care_providers_facility_email","child_care_provider_responsible_person_first_name","child_care_provider_responsible_person_last_name","child_care_provider_responsible_person_title","child_care_provider_license_number","child_care_provider_license_issue_date","child_care_provider_license_expiration_date","child_care_provider_capacity","child_care_provider_elrc","child_care_provider_star_level","child_care_provider_star_level_effective_date","child_care_provider_negative_sanctions","child_care_provider_pa_pre_k_counts","child_care_provider_head_start_state_supplemental","child_care_provider_school_age_provider","child_care_provider_legal_entity_name","child_care_provider_legal_entity_address","child_care_provider_legal_entity_address_continued","child_care_provider_legal_entity_city","child_care_provider_legal_entity_state","child_care_provider_legal_entity_state_fips_code","child_care_provider_legal_entity_zip_code","child_care_provider_legal_entity_county","child_care_provider_legal_entity_county_fips","child_care_provider_legal_entity_location","education_aun","education_school","education_addressline2","edcuation_zipcodeextn","education_webaddress","education_grades","licensed_personal_care_home_object_id","licensed_personal_care_home_type_served","licensed_personal_care_home_total_capacity","licensed_personal_care_home_street_additional","licensed_personal_care_home_program_office","licensed_personal_care_home_accuracy","aging_address_2","aging_website","aging_county","aging_additional_information","aging_modified","aging_item_type","aging_path","elrc_county","elrc_additional_address","elrc_website","elrc_fax_number","dispensaries_object_id","dispensaries_facility_id","dispensaries_facility_url","dispensaries_geocoding_certainty","dispensaries_marijuana_available_beginning","dispensaries_available_on_10_04_19","dispensaries_open_on","nursing_object_id","nursing_facility_id_number","nursing_facility_url","nursing_county","nursing_cheif_executive_name","nursing_chief_executive_title","nursing_contact_name","nursing_contact_number","nursing_contact_email","drugtakebackbox_state_fips","drugtakebackbox_county","drugtakebackbox_hours_of_availability","drugtakebackbox_location_1","drugtakebackbox_latitude","drugtakebackbox_longitude","drugtakebackbox_attention","drugtakebackbox_grant_owned","drugtakebackbox_box_status","drugtakebackbox_status","ddap_county","ddap_longitude","ddap_latitude_"
"State Health Center","POINT (-79.11970363 41.82689605)","Warren County","2027 Pennsylvania Ave.","Warren","PA","16365","814-728-3566","41.82689605","-79.11970363","Get Directions (http://maps.apple.com/?daddr=41.82689605,-79.11970363(MyDestination))","Click Here (https://www.health.pa.gov/About/pages/state%20health%20centers.aspx)","814-728-3570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Child Care Provider","POINT (-79.837311 40.277666)","ANGELS BABIES INC","314 SCENERY DR","ELIZABETH","Pennsylvania","15037","(412) 872-5260",,,"Get Directions (http://maps.apple.com/?daddr=40.277666,-79.837311(MyDestination))","Click Here (https://www.compass.state.pa.us/Compass.Web/ProviderSearch/Home#/BasicSearch)",,"103344438","1","Child Care Center",,"42","Allegheny","003",,"ANGEL1006@COMCAST.NET","ANGEL","STRICKLER","PRESIDENT","CER-00186014","2022-01-30T00:00:00.000","2023-01-30T00:00:00.000","39","Early Learning Resource Center for Region 5","STAR 1","2020-02-12T00:00:00.000","No","No","No","Yes","ANGELS BABIES INC","314 SCENERY DR",,"ELIZABETH","Pennsylvania","42","15037","Allegheny","003","POINT (-79.837311 40.277666)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Child Care Provider","POINT (-80.066762 40.443383)","CHERYLS DAYCARE","35 INGRAM AVE","PITTSBURGH","Pennsylvania","15205","(412) 921-9229",,,"Get Directions (http://maps.apple.com/?daddr=40.443383,-80.066762(MyDestination))","Click Here (https://www.compass.state.pa.us/Compass.Web/ProviderSearch/Home#/BasicSearch)",,"103242821","2","Child Care Center",,"42","Allegheny","003","(412) 921-9229","HLGENDL@GMAIL.COM","ASHLEY","THIEL","OWNER","CER-00183163","2022-01-20T00:00:00.000","2023-01-20T00:00:00.000","29","Early Learning Resource Center for Region 5","STAR 1","2020-03-26T00:00:00.000","No","No","No","Yes","CHERYLS DAYCARE INC","5487 STEUBENVILLE PIKE",,"MC KEES ROCKS","Pennsylvania","42","15136","Allegheny","003","POINT (-80.126091 40.449802)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Child Care Provider","POINT (-75.115851 40.02477)","SAVANNAH ODOM FAMILY CHILD CARE HOME","4947 D ST","PHILADELPHIA","Pennsylvania","19120","(215) 324-7184",,,"Get Directions (http://maps.apple.com/?daddr=40.02477,-75.115851(MyDestination))","Click Here (https://www.compass.state.pa.us/Compass.Web/ProviderSearch/Home#/BasicSearch)",,"100124575","1","Family Child Care Home",,"42","Philadelphia","101",,"odomelias@yahoo.com","SAVANNAH","ODOM","OWNER","CER-00179209","2021-10-07T00:00:00.000","2022-10-07T00:00:00.000","6","Early Learning Resource Center for Region 18","STAR 1","2019-10-18T00:00:00.000","No","No","No","Yes","SAVANNAH ODOM","4947 D ST",,"PHILADELPHIA","Pennsylvania","42","19120","Philadelphia","101","POINT (-75.115851 40.02477)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Child Care Provider",,"HASSAN DOCKERY FCCH","411 SAMSON ST","UPPER DARBY","Pennsylvania","19082","(267) 210-0912",,,,"Click Here (https://www.compass.state.pa.us/Compass.Web/ProviderSearch/Home#/BasicSearch)",,"103465620","1","Family Child Care Home",,"42","Delaware","045",,"DOCKERY19082@GMAIL.COM","HASSAN","DOCKERY","OWNER","CER-00194560","2022-04-24T00:00:00.000","2023-04-24T00:00:00.000","6","Early Learning Resource Center for Region 15","STAR 1","2019-05-28T00:00:00.000","No","No","No","No","HASSAN DOCKERY","411 SAMSON ST",,"UPPER DARBY","Pennsylvania","42","19082","Delaware","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Child Care Provider",,"LITTLE BLESSINGS DAY CARE","20 MEMORY ROW LN","OLIVER","Pennsylvania","15472","(724) 430-1444",,,,"Click Here (https://www.compass.state.pa.us/Compass.Web/ProviderSearch/Home#/BasicSearch)",,"100791122","2","Child Care Center",,"42","Fayette","051",,"DANA1966@ATLANTICBB.NET","DANA","HUGHES","OWNER","CER-00189359","2022-05-05T00:00:00.000","2023-05-05T00:00:00.000","50","Early Learning Resource Center for Region 4","STAR 4","2021-09-30T00:00:00.000","No","No","No","Yes","DANA HUGHES/ROXANN PRIESTER","20 MEMORY ROW LN",,"OLIVER","Pennsylvania","42","15472","Fayette","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Child Care Provider","POINT (-79.942899 40.44489)","CYERT CENTER FOR EARLY EDUCATION","1060 MOREWOOD AVE","PITTSBURGH","Pennsylvania","15213","(412) 268-1515",,,"Get Directions (http://maps.apple.com/?daddr=40.44489,-79.942899(MyDestination))","Click Here (https://www.compass.state.pa.us/Compass.Web/ProviderSearch/Home#/BasicSearch)",,"100209556","1","Child Care Center",,"42","Allegheny","003",,"cfreund@andrew.cmu.edu","CARLA","FREUND","DIRECTOR","CER-00185750","2022-01-16T00:00:00.000","2023-01-16T00:00:00.000","183","Early Learning Resource Center for Region 5","STAR 1","2019-06-04T00:00:00.000","No","No","No","No","CARNEGIE MELLON UNIVERSITY","1060 MOREWOOD AVE",,"PITTSBURGH","Pennsylvania","42","15213","Allegheny","003","POINT (-79.942899 40.44489)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Child Care Provider",,"LINDA NALE GROUP DAY CARE HOME","REAR 868 COOPER AVENUE","JOHNSTOWN","Pennsylvania","15906","(814) 539-1497",,,,"Click Here (https://www.compass.state.pa.us/Compass.Web/ProviderSearch/Home#/BasicSearch)",,"102209027","1","Group Child Care Home",,"42","Cambria","021",,,"LINDA","NALE","OWNER","CER-00191547","2022-05-11T00:00:00.000","2023-05-11T00:00:00.000","12","Early Learning Resource Center for Region 6","STAR 1","2019-08-01T00:00:00.000","Yes","No","No","Yes","LINDA & SARA NALE","REAR 868 COOPER AVENUE",,"JOHNSTOWN","Pennsylvania","42","15906","Cambria","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Child Care Provider",,"Jersey Shore Elementary School","Locust Street","Jersey Shore","Pennsylvania","17740","(570) 398-3024",,,,"Click Here (https://www.compass.state.pa.us/Compass.Web/ProviderSearch/Home#/BasicSearch)",,"100137715","5","Child Care Center",,"42","Lycoming","081",,"loril@rvrymca.org","Diane","Oliva","CHILD CARE Resource Coordinator","CER-00186686","2022-03-22T00:00:00.000","2023-03-22T00:00:00.000","School Age Provider","Early Learning Resource Center for Region 7","STAR 2","2021-09-11T00:00:00.000","Yes","No","No","Yes","RIVER VALLEY REGIONAL YMCA","641 WALNUT ST",,"WILLIAMSPORT","Pennsylvania","42","17701","Lycoming","081","POINT (-77.01433 41.244777)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Child Care Provider","POINT (-75.814184 41.322685)","ABC KIDDIE KAMPUS","1069 WYOMING AVE","EXETER","Pennsylvania","18643","(570) 299-5823",,,"Get Directions (http://maps.apple.com/?daddr=41.322685,-75.814184(MyDestination))","Click Here (https://www.compass.state.pa.us/Compass.Web/ProviderSearch/Home#/BasicSearch)",,"100130750","3","Child Care Center",,"42","Luzerne","079",,"INFO@ABCKIDDIEKAMPUS.COM","KELLEY","JOYCE","VICE PRESIDENT US","CER-00192166","2022-05-24T00:00:00.000","2023-02-24T00:00:00.000","85","Early Learning Resource Center for Region 11","STAR 4","2021-12-01T00:00:00.000","No","Yes","No","Yes","ABC KIDDIE KAMPUS INC","701 S MAIN ST",,"OLD FORGE","Pennsylvania","42","18518","Lackawanna","069","POINT (-75.741237 41.364576)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
