"county","age","count"
"ADAMS","Age unknown",
"LYCOMING","80-89","1264"
"CLARION","90-99","147"
"CHESTER","90-99","1256"
"ERIE","30-39","10458"
"MONTOUR","10-19","598"
"PENNSYLVANIA","20-29","534007"
"JUNIATA","40-49","692"
"COLUMBIA","70-79","1135"
"BEDFORD","20-29","1708"
"TIOGA","60-69","1084"
"FOREST","10-19","212"
"MONTGOMERY","30-39","28820"
"LACKAWANNA","40-49","6806"
"SNYDER","30-39","1287"
"SUSQUEHANNA","10-19","1277"
"MONTOUR","50-59","703"
"BUTLER","0-9","3051"
"POTTER","20-29","467"
"NORTHUMBERLAND","60-69","2896"
"BEAVER","50-59","6659"
"BEDFORD","Age unknown",
"SNYDER","70-79","714"
"LANCASTER","40-49","17989"
"FOREST","0-9","32"
"CLINTON","40-49","1376"
"CUMBERLAND","50-59","7968"
"MONTOUR","100-109","8"
"DAUPHIN","40-49","9190"
"CUMBERLAND","70-79","3639"
"COLUMBIA","60-69","1825"
"CENTRE","50-59","4215"
"JEFFERSON","10-19","1002"
"WARREN","0-9","412"
"BLAIR","Age unknown",
"SCHUYLKILL","20-29","5502"
"CLINTON","100-109",
"ERIE","0-9","4701"
"BEAVER","90-99","613"
"LEBANON","60-69","4633"
"JEFFERSON","40-49","1359"
"BEAVER","80-89","1737"
"ERIE","10-19","7710"
"CARBON","20-29","2544"
"MCKEAN","0-9","587"
"INDIANA","50-59","2849"
"CLINTON","0-9","610"
"DELAWARE","80-89","3719"
"ERIE","90-99","817"
"FULTON","70-79","357"
"LEBANON","0-9","2584"
"WESTMORELAND","Age unknown","5"
"INDIANA","20-29","3454"
"UNION","60-69","1380"
"PERRY","10-19","1075"
"LYCOMING","40-49","4348"
"MCKEAN","10-19","1065"
"LAWRENCE","100-109","15"
"CENTRE","40-49","3926"
"BUTLER","60-69","5911"
"ARMSTRONG","10-19","1757"
"CAMBRIA","20-29","5501"
"WESTMORELAND","20-29","13738"
"COLUMBIA","80-89","655"
"BEAVER","60-69","5829"
"ELK","10-19","817"
"BRADFORD","40-49","2233"
"ALLEGHENY","50-59","39715"
"BEDFORD","0-9","539"
"UNION","30-39","1893"
"ARMSTRONG","90-99","212"
"PENNSYLVANIA","60-69","338157"
"CAMERON","100-109",
"CARBON","Age unknown",
"MCKEAN","50-59","1184"
"PERRY","80-89","314"
"SULLIVAN","80-89","82"
"MONTGOMERY","10-19","22020"
"CLINTON","30-39","1418"
"BERKS","10-19","13437"
"CENTRE","Age unknown",
"FULTON","60-69","581"
"TIOGA","100-109","5"
"LACKAWANNA","20-29","8697"
"BEDFORD","30-39","1590"
"WAYNE","50-59","1764"
"TIOGA","30-39","1358"
"JEFFERSON","80-89","470"
"CUMBERLAND","80-89","2087"
"CLINTON","20-29","1750"
"JUNIATA","60-69","699"
"PHILADELPHIA","Age unknown","104"
"SOMERSET","50-59","3239"
"FAYETTE","Age unknown",
"BLAIR","60-69","3904"
"PIKE","60-69","1326"
"MIFFLIN","50-59","2087"
"ELK","90-99","132"
"CAMBRIA","30-39","5568"
"ADAMS","100-109","11"
"PHILADELPHIA","90-99","2694"
"CLARION","70-79","670"
"POTTER","80-89","180"
"LUZERNE","40-49","11795"
"SNYDER","90-99","103"
"CLARION","100-109",
"YORK","50-59","19330"
"CHESTER","80-89","2917"
"SULLIVAN","0-9","62"
"BERKS","60-69","11627"
"MIFFLIN","40-49","1779"
"VENANGO","70-79","1036"
"MIFFLIN","10-19","1358"
"CLINTON","Age unknown",
"COLUMBIA","Age unknown","5"
