"county_name","rate_or_count","type_of_drug_class","type_of_rate_or_count_measure","age_group","gender","time_measure","year","time_period","quarter_date_start","notes","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude","longitude","geocoded_column"
"Pennsylvania","284090","Opioids (All Schedules) - excluding Buprenorphine","Number of Prescriptions (by patient location)","45-54","All Genders","Quarterly Counts","2019","2019 Q3","2019-07-01T00:00:00.000",,"0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"Elk","2370","Opioids (All Schedules) - excluding Buprenorphine","Number of Prescriptions (by patient location)","65+","All Genders","Quarterly Counts","2018","2018 Q2","2018-04-01T00:00:00.000",,"24","24","42","047","41.42819416","-78.64947713","POINT (-78.64947713 41.42819416)"
"Pike","804","Opioids (All Schedules) - excluding Buprenorphine","Number of Prescriptions (by patient location)","35-44","All Genders","Quarterly Counts","2018","2018 Q2","2018-04-01T00:00:00.000",,"52","52","42","103","41.332572","-75.03270924","POINT (-75.03270924 41.332572)"
"Elk","709","Opioids (All Schedules) - excluding Buprenorphine","Number of Dispensations (by pharmacy location)","45-54","All Genders","Quarterly Counts","2019","2019 Q1","2019-01-01T00:00:00.000",,"24","24","42","047","41.42819416","-78.64947713","POINT (-78.64947713 41.42819416)"
"Pike","711","Opioids (All Schedules) - excluding Buprenorphine","Number of Prescriptions (by patient location)","35-44","All Genders","Quarterly Counts","2018","2018 Q4","2018-10-01T00:00:00.000",,"52","52","42","103","41.332572","-75.03270924","POINT (-75.03270924 41.332572)"
"Pennsylvania","6800","Opioids (All Schedules) - excluding Buprenorphine","Number of Prescriptions (by patient location)","0-14","All Genders","Quarterly Counts","2020","2020 Q1","2020-01-01T00:00:00.000",,"0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"Forest","0","Opioids (All Schedules) - excluding Buprenorphine","Number of Prescriptions (by patient location)","0-14","All Genders","Quarterly Counts","2019","2019 Q3","2019-07-01T00:00:00.000",,"27","27","42","053","41.51357876","-79.23780995","POINT (-79.23780995 41.51357876)"
"Warren","156","Opioids (All Schedules) - excluding Buprenorphine","Number of Dispensations (by pharmacy location)","15-24","All Genders","Quarterly Counts","2017","2017 Q4","2017-10-01T00:00:00.000",,"62","62","42","123","41.81675237","-79.27858158","POINT (-79.27858158 41.81675237)"
"Carbon","3017.03","Opioids (All Schedules) - excluding Buprenorphine","Rate of Prescriptions (by patient location) per 10,000 Population","35-44","All Genders","Quarterly Rates","2016","2016 Q3","2016-07-01T00:00:00.000",,"13","13","42","025","40.91936701","-75.71107039","POINT (-75.71107039 40.91936701)"
"Monroe","28610","Opioids (All Schedules) - excluding Buprenorphine","Number of Dispensations (by pharmacy location)","All Ages","All Genders","Quarterly Counts","2017","2017 Q2","2017-04-01T00:00:00.000",,"45","45","42","089","41.06091787","-75.34083603","POINT (-75.34083603 41.06091787)"
