"county","race","count"
"Adams","Asian",
"Adams","African American",
"Lackawanna","Multiple/Other","21"
"Adams","Multiple/Other",
"Sullivan","White","35"
"Carbon","White","304"
"Armstrong","Asian","0.0"
"Armstrong","African American",
"Berks","Multiple/Other","92"
"Beaver","Asian",
"Fayette","African American","31"
"Warren","White","219"
"Beaver","Multiple/Other",
"Bedford","Asian","0.0"
"Bedford","African American","0.0"
"Bedford","Multiple/Other",
"Franklin","African American","22"
"Blair","Asian",
"Allegheny","Asian","20"
"Washington","Multiple/Other","5"
"Blair","Multiple/Other",
"Bradford","Asian","0.0"
"Bradford","African American",
"Bradford","Multiple/Other",
"Butler","Asian",
"Erie","Asian","7"
"Butler","Multiple/Other",
"Cambria","Asian",
"Erie","African American","49"
"Cambria","Multiple/Other",
"Cameron","Asian","0.0"
"Cameron","African American","0.0"
"Cameron","Multiple/Other","0.0"
"Carbon","Asian",
"Carbon","African American",
"Carbon","Multiple/Other",
"Centre","Asian",
"Centre","African American",
"Centre","Multiple/Other",
"Lehigh","Multiple/Other","118"
"Juniata","African American",
"Clarion","Asian","0.0"
"Clarion","African American","0.0"
"Clarion","Multiple/Other","0.0"
"Clearfield","Asian",
"Clearfield","African American",
"Franklin","Multiple/Other","17"
"Clearfield","Multiple/Other",
"Clinton","Asian","0.0"
"Clinton","African American","0.0"
"Clinton","Multiple/Other","0.0"
"Columbia","Asian",
"Columbia","African American",
"Cumberland","Asian","9"
"Columbia","Multiple/Other",
"Crawford","Asian","0.0"
"Crawford","African American",
"Lawrence","African American","24"
"Crawford","Multiple/Other",
"Bucks","African American","78"
"Fayette","Asian",
"Montour","Asian",
"Venango","White","246"
"Elk","Asian","0.0"
"Elk","African American","0.0"
"Washington","White","640"
"Mercer","White","484"
"Greene","White","108"
"Delaware","African American","442"
"Bedford","White","280"
"Huntingdon","White","250"
"Chester","African American","100"
"Montgomery","Multiple/Other","76"
"Clarion","White","210"
"Elk","Multiple/Other","0.0"
"Schuylkill","Multiple/Other","9"
"Luzerne","African American","27"
"Chester","Multiple/Other","29"
"Forest","Asian","0.0"
"Forest","African American",
"Forest","Multiple/Other","0.0"
"Franklin","Asian",
"Fulton","Asian","0.0"
"Fulton","African American","0.0"
"York","African American","84"
"Fulton","Multiple/Other","0.0"
"Greene","Asian","0.0"
"Greene","African American",
"Luzerne","Multiple/Other","49"
"Huntingdon","Asian",
"Huntingdon","African American","6.0"
"Huntingdon","Multiple/Other",
"Indiana","Asian",
"Indiana","African American",
"Armstrong","Multiple/Other",
"Indiana","Multiple/Other",
"Jefferson","Asian","0.0"
"Jefferson","African American","0.0"
"Jefferson","Multiple/Other","0.0"
"Juniata","Asian","0.0"
"Forest","White","33"
"Juniata","Multiple/Other","0.0"
"Northampton","Multiple/Other","46"
"Cumberland","Multiple/Other","17"
"Westmoreland","African American","40"
"York","Multiple/Other","35"
"Lawrence","Asian",
"Delaware","Multiple/Other","51"
"Lawrence","Multiple/Other",
"Lebanon","Asian",
"Lebanon","African American",
"Bucks","Multiple/Other","53"
"Wayne","Multiple/Other","0"
"Lehigh","African American","52"
"Luzerne","Asian",
"Lebanon","Multiple/Other","24"
"Lycoming","Asian","0.0"
"Lancaster","Asian","29"
"Lycoming","Multiple/Other",
"McKean","Asian","0.0"
"McKean","African American",
"Lycoming","African American","21"
"McKean","Multiple/Other","0.0"
"Mercer","Asian",
"Mercer","Multiple/Other",
"Mifflin","Asian","0.0"
"Mifflin","African American",
"Allegheny","African American","503"
"Mifflin","Multiple/Other","0.0"
"Philadelphia","Asian","216"
"Fulton","White","66"
"Allegheny","Multiple/Other","37"
"Chester","Asian","20"
"Montour","African American","0.0"
"Cameron","White","21"
"Montour","Multiple/Other",
"Mifflin","White","283"
"Schuylkill","African American","7"
"Northampton","Asian","18"
"Northumberland","Asian","0.0"
"Greene","Multiple/Other",
"Columbia","White","249"
"Northumberland","Multiple/Other",
"Perry","Asian","0.0"
"Perry","African American","0.0"
"Perry","Multiple/Other",
"Cambria","White","734"
"Wayne","White","174"
"Pike","Asian","0.0"
"Pike","African American",
"Pike","Multiple/Other",
"Potter","Asian","0.0"
"Potter","African American","0.0"
"Potter","Multiple/Other","0.0"
"Schuylkill","Asian",
"Berks","African American","78"
"Adams","White","379"
"Snyder","Asian","0.0"
"Snyder","African American",
"Snyder","Multiple/Other","0.0"
"Somerset","Asian","0.0"
"Somerset","African American",
"Somerset","Multiple/Other","0.0"
"Sullivan","Asian","0.0"
"Sullivan","African American",
"Elk","White","108"
"Sullivan","Multiple/Other","0.0"
"Susquehanna","Asian","0.0"
"Susquehanna","African American","0.0"
"Centre","White","359"
"Cumberland","White","869"
"Tioga","Asian","0.0"
"Tioga","African American","0.0"
"Dauphin","White","727"
"Tioga","Multiple/Other","0.0"
"Union","Asian","0.0"
"Union","African American",
"Lehigh","Asian","12"
"Union","Multiple/Other","0.0"
"Lackawanna","White","772"
"Venango","African American",
"Venango","Multiple/Other",
"Warren","Asian","0.0"
"Warren","African American","0.0"
"Allegheny","White","2923"
"Warren","Multiple/Other","0.0"
"Washington","Asian",
"Pennsylvania","Asian","624"
"Juniata","White","182"
"Wayne","Asian","0.0"
"Wayne","African American",
"Union","White","154"
"Montgomery","White","1937"
"Luzerne","White","1376"
"Bucks","White","1818"
"Pennsylvania","African American","5092"
"Wyoming","Asian","0.0"
"Wyoming","African American","0.0"
"Dauphin","Asian","19"
"Wyoming","Multiple/Other",
"York","Asian","5.0"
"Butler","White","761"
"Lancaster","Multiple/Other","76"
"Pike","White","96"
"Dauphin","Multiple/Other","57"
"Lebanon","White","504"
"Lehigh","White","1110"
"Montgomery","Asian","95"
"Armstrong","White","357"
"Beaver","White","707"
"Bradford","White","211"
"Blair","White","629"
"Washington","African American","33"
"Lackawanna","African American","14"
"Monroe","African American","64"
"Philadelphia","White","1877"
"Monroe","White","443"
"Northampton","African American","38"
"Pennsylvania","White","39415"
"Tioga","White","200"
"Westmoreland","Multiple/Other","5"
"Monroe","Multiple/Other","36"
"Northumberland","African American","6"
"Cambria","African American","16"
"Butler","African American","5"
"Berks","White","1467"
"Philadelphia","Multiple/Other","540"
"Clinton","White","131"
"Lawrence","White","408"
"Snyder","White","159"
"York","White","1427"
"Susquehanna","Multiple/Other",
"Indiana","White","368"
"Franklin","White","683"
"Lackawanna","Asian","9"
"Monroe","Asian","10"
"Lycoming","White","530"
"Potter","White","94"
"Somerset","White","415"
"Beaver","African American","56"
"Erie","Multiple/Other","8"
"Crawford","White","332"
"Westmoreland","White","1383"
"Westmoreland","Asian","5"
"Schuylkill","White","690"
"Clearfield","White","356"
"Fayette","White","660"
"Erie","White","740"
"Chester","White","1061"
"Susquehanna","White","114"
"Fayette","Multiple/Other","6"
"Venango","Asian",
"McKean","White","152"
"Delaware","Asian","46"
"Lancaster","African American","57"
"Wyoming","White","113"
"Berks","Asian","12"
"Pennsylvania","Multiple/Other","1465"
"Lancaster","White","1793"
"Northumberland","White","547"
"Philadelphia","African American","2613"
"Northampton","White","1049"
"Delaware","White","1379"
"Mercer","African American","28"
"Bucks","Asian","50"
"Jefferson","White","248"
"Perry","White","190"
"Dauphin","African American","200"
"Cumberland","African American","25"
"Blair","African American","7"
"Montgomery","African American","317"
"Montour","White","91"
