"geographic_area","geographic_name","gender","age","ethnicity","year","time_period","time_period_dates","hiv_incidence_rate","hiv_incidence_rate_description","newly_diagnosed_hiv_count","newly_diagnosed_hiv_count_1","population_estimate","population_estimate_1","population_estimate_notes","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude_longitude","longitude","geocoded_column"
"State","Commonwealth","All","45 to 49 years","All","2017","2017 Q1","1/1/2017-3/31/2017",,"Rate of new HIV diagnoses per 100,000 individuals","15","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"State","Commonwealth","All","All (0 to 99 years)","Asian/Pacific","2016","2016 Q1","1/1/2016-3/31/2016",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Erie","All","All (0 to 99 years)","All","2017","2017 Q3","7/1/2017-9/30/2017",,"Rate of new HIV diagnoses per 100,000 individuals","3","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","25","25","42","49","41.99413787","-80.0407591","POINT (-80.0407591 41.99413787)"
"County","Centre","All","All (0 to 99 years)","All","2018","2018 Q1","1/1/2018-3/31/2018",,"Rate of new HIV diagnoses per 100,000 individuals","1","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","14","14","42","27","40.9193135","-77.82500112","POINT (-77.82500112 40.9193135)"
"County","Philadelphia","All","All (0 to 99 years)","All","2016","2016 Q1","1/1/2016-3/31/2016",,"Rate of new HIV diagnoses per 100,000 individuals","112","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","51","51","42","101","40.00444354","-75.140236","POINT (-75.140236 40.00444354)"
"County","Huntingdon","All","All (0 to 99 years)","All","2016","2016 Q1","1/1/2016-3/31/2016",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","1","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","31","31","42","61","40.416105","-77.9827661","POINT (-77.9827661 40.416105)"
"State","Commonwealth","All","50 to 54 years","All","2018","2018 Q1","1/1/2018-3/31/2018",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","1","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Centre","All","All (0 to 99 years)","All","2019","2019 Q1","1/1/2019-3/31/2019",,"Rate of new HIV diagnoses per 100,000 individuals","2","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","14","14","42","27","40.9193135","-77.82500112","POINT (-77.82500112 40.9193135)"
"County","Carbon","All","All (0 to 99 years)","All","2019","2019 Annual","1/1/2019-12/31/2019","4.7","Rate of new HIV diagnoses per 100,000 individuals","3","New HIV diagnoses","63887","Pennsylvania population estimate from Census Bureau's American Community Survey","Not displayed when total number of individuals estimated is less than 11","13","13","42","25","40.91936701","-75.71107039","POINT (-75.71107039 40.91936701)"
"State","Commonwealth","All","12 to 19 years","All","2018","2018 Q3","7/1/2018-9/30/2018",,"Rate of new HIV diagnoses per 100,000 individuals","12","New HIV diagnoses",,"Pennsylvania population estimate from Census Bureau's American Community Survey","Population estimate not available for specified combination","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Pike","All","All (0 to 99 years)","All","2017","2017 Q3","7/1/2017-9/30/2017",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","52","52","42","103","41.332572","-75.03270924","POINT (-75.03270924 41.332572)"
"County","Indiana","All","All (0 to 99 years)","All","2017","2017 Q1","1/1/2017-3/31/2017",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","32","32","42","63","40.65295498","-79.09333493","POINT (-79.09333493 40.65295498)"
"State","Commonwealth","All","0 to 11 years","All","2020","2020 Q1","1/1/2020-3/31/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","0","0","42","0","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","McKean","All","All (0 to 99 years)","All","2020","2020 Q4","10/1/2020-12/31/2020",,"Rate of new HIV diagnoses among individuals using injection drugs per 100,000 estimated with Drug Use Disorder","0","New HIV diagnoses among individuals using injection drugs",,"Number of unique individuals estimated with Drug Use Disorder","Not displayed when total number of unique individuals estimated with Drug Use Disorder is less than 11","42","42","42","83","41.81037074","-78.5712202","POINT (-78.5712202 41.81037074)"
