"county","sex","count"
"CLARION","M","4045"
"CLEARFIELD","F","11409"
"LYCOMING","F","18073"
"HUNTINGDON","F","5690"
"ARMSTRONG","F","9131"
"ERIE","M","30027"
"BEAVER","U","193"
"SCHUYLKILL","F","20076"
"BERKS","U","217"
"WASHINGTON","F","31468"
"BEAVER","M","20683"
"FOREST","M","1719"
"ALLEGHENY","F","168387"
"SOMERSET","F","10456"
"WYOMING","F","3127"
"CHESTER","O","20"
"LEHIGH","F","55039"
"INDIANA","U","89"
"WYOMING","M","2729"
"BRADFORD","F","10014"
"DAUPHIN","U","288"
"WARREN","M","3856"
"UNION","F","6115"
"BEDFORD","M","5454"
"MIFFLIN","U","24"
"COLUMBIA","U","21"
"BERKS","F","62019"
"SCHUYLKILL","U","84"
"PIKE","M","5578"
"DELAWARE","O","10"
"LACKAWANNA","F","28185"
"CARBON","O",
"CUMBERLAND","F","30100"
"WYOMING","U","14"
"BUCKS","U","548"
"INDIANA","O",
"CAMERON","M","430"
"WESTMORELAND","F","48463"
"ARMSTRONG","U","39"
"WESTMORELAND","O","8"
"SNYDER","M","4118"
"COLUMBIA","F","9582"
"CLEARFIELD","U","83"
"BEAVER","F","24503"
"FAYETTE","O",
"CENTRE","F","20661"
"PENNSYLVANIA","F","1722849"
"BLAIR","U","193"
"LEBANON","U","118"
"FULTON","O",
"CARBON","U","20"
"FRANKLIN","U","114"
"CLARION","U","9"
"WARREN","F","4630"
"JEFFERSON","F","5603"
"VENANGO","O",
"PENNSYLVANIA","M","1469440"
"CRAWFORD","F","12647"
"MCKEAN","U","29"
"MONROE","M","19696"
"BERKS","O","10"
"WESTMORELAND","U","158"
"YORK","F","71950"
"FRANKLIN","M","20991"
"FAYETTE","M","16191"
"NORTHUMBERLAND","U","63"
"VENANGO","U","23"
"WARREN","U","15"
"DELAWARE","M","58023"
"LEHIGH","M","46224"
"SULLIVAN","U",
"SUSQUEHANNA","F","4855"
"FULTON","M","2172"
"FOREST","F","649"
"ARMSTRONG","M","7764"
"CAMBRIA","O",
"VENANGO","F","7000"
"LYCOMING","U","117"
"TIOGA","M","4098"
"LANCASTER","F","73479"
"SUSQUEHANNA","U","24"
"NORTHUMBERLAND","M","11957"
"CHESTER","M","50433"
"WAYNE","U","69"
"MONTGOMERY","O","67"
"WASHINGTON","M","27144"
"CRAWFORD","M","9631"
"POTTER","U","17"
"NORTHUMBERLAND","F","13870"
"JUNIATA","U","13"
"PHILADELPHIA","U","1720"
"WASHINGTON","O","6"
"CLARION","F","5117"
"BUCKS","M","66028"
"POTTER","M","1605"
"PENNSYLVANIA","U","10299"
"SOMERSET","M","10127"
"MIFFLIN","M","6149"
"FULTON","F","2428"
"LYCOMING","M","13705"
"NORTHAMPTON","U","177"
"FRANKLIN","F","24745"
"CUMBERLAND","M","27209"
"PIKE","U","63"
"ELK","M","3643"
"TIOGA","O",
"CLINTON","U","32"
"FOREST","U","56"
"LYCOMING","O","6"
"MONTGOMERY","U","762"
"COLUMBIA","M","7928"
"LUZERNE","U","209"
"CENTRE","M","19563"
"HUNTINGDON","U","125"
"FAYETTE","F","19299"
"BLAIR","M","14600"
"MERCER","F","14233"
"FAYETTE","U","137"
"MIFFLIN","F","7455"
"CLINTON","M","4652"
"MONROE","F","23263"
"PERRY","M","4497"
"ALLEGHENY","U","6"
"JUNIATA","F","2870"
"BUCKS","O","10"
"PERRY","F","5124"
"SOMERSET","U","61"
"TIOGA","F","4997"
"WESTMORELAND","M","42362"
"NORTHAMPTON","F","48570"
"WAYNE","F","5633"
"ADAMS","O",
"ALLEGHENY","M","144933"
"PIKE","O",
