"geographic_area","geographic_name","gender","age","year","time_period","time_period_dates","court_of_common_pleas_opioid","court_of_common_pleas_opioid_1","court_of_common_pleas_cases","court_of_common_pleas_cases_1","rate_of_court_of_common_pleas","type_of_rate","percent_of_court_of_common","percent_of_court_of_common_1","drug_court_cases","drug_court_cases_description","successfully_completed_drug","successfully_completed_drug_1","opioid_drug_court_cases","opioid_drug_court_cases_1","successfully_completed_opioid","successfully_completed_opioid_1","percent_of_drug_court_cases","percent_of_drug_court_cases_1","percent_of_drug_court_cases_2","percent_of_drug_court_cases_3","percent_of_drug_court_cases_4","percent_of_drug_court_cases_5","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude","longitude","geocoded_column"
"County","Beaver","All","All (18+ years)","2019","2019 Q4","10/1/2019-12/31/2019","6","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","4","04","42","007","40.68349245480","-80.35107356480","POINT (-80.3510735648 40.6834924548)"
"State","Commonwealth","All","20 to 24 years","2018","2018 Q4","10/1/2018-12/31/2018","103","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","576","Total Court of Common Pleas cases are not available",,"Rates by age are not available","0.17900","Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","0","00","42","000","39.346129","-75.167756","POINT (-75.167756 39.346129)"
"County","Jefferson","All","All (18+ years)","2017","2017 Q1","1/1/2017-3/31/2017","5","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","33","33","42","065","41.13139091150","-79.00101814190","POINT (-79.0010181419 41.1313909115)"
"County","Indiana","All","All (18+ years)","2018","2018 Q4","10/1/2018-12/31/2018","1","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","32","32","42","063","40.65295497480","-79.09333492860","POINT (-79.0933349286 40.6529549748)"
"County","Montgomery","All","All (18+ years)","2016","2016 Q1","1/1/2016-3/31/2016","24","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","46","46","42","091","40.20989873900","-75.37252000720","POINT (-75.3725200072 40.209898739)"
"County","Indiana","All","All (18+ years)","2018","2018 Annual","1/1/2018-12/31/2018","27","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","1155","Total number of annual Court of Common Pleas cases","23.38","Rate of Court of Common Pleas opioid cases per 1,000 total court cases",,"Percent of Court of Common Pleas cases with opioid use not available","6","Count of discharged drug court cases","4","Count of successfully completed discharged drug court cases","5","Count of discharged drug court cases with an opioid as the drug of choice","3","Count of successfully completed discharged drug court cases with an opioid as the drug of choice","0.8333333333333334","Percent of drug court cases list an opioid as the drug of choice","0.6666666666666666","Percent of drug court cases discharged graduating successfully from the program","0.6","Percent of drug court cases with an opioid as the drug of choice discharged and graduated successfully from the program","32","32","42","063","40.65295497480","-79.09333492860","POINT (-79.0933349286 40.6529549748)"
"County","Westmoreland","All","All (18+ years)","2016","2016 Annual","1/1/2016-12/31/2016","146","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","6051","Total number of annual Court of Common Pleas cases","24.13","Rate of Court of Common Pleas opioid cases per 1,000 total court cases",,"Percent of Court of Common Pleas cases with opioid use not available","9","Count of discharged drug court cases","0","Count of successfully completed discharged drug court cases","7","Count of discharged drug court cases with an opioid as the drug of choice","0","Count of successfully completed discharged drug court cases with an opioid as the drug of choice","0.7777777777777778","Percent of drug court cases list an opioid as the drug of choice","0","Percent of drug court cases discharged graduating successfully from the program","0","Percent of drug court cases with an opioid as the drug of choice discharged and graduated successfully from the program","65","65","42","129","40.31031499850","-79.47134117600","POINT (-79.471341176 40.3103149985)"
"County","Jefferson","All","All (18+ years)","2019","2019 Annual","1/1/2019-12/31/2019","4","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","611","Total number of annual Court of Common Pleas cases","6.55","Rate of Court of Common Pleas opioid cases per 1,000 total court cases",,"Percent of Court of Common Pleas cases with opioid use not available","16","Count of discharged drug court cases","7","Count of successfully completed discharged drug court cases","7","Count of discharged drug court cases with an opioid as the drug of choice","2","Count of successfully completed discharged drug court cases with an opioid as the drug of choice","0.4375","Percent of drug court cases list an opioid as the drug of choice","0.4375","Percent of drug court cases discharged graduating successfully from the program","0.2857142857142857","Percent of drug court cases with an opioid as the drug of choice discharged and graduated successfully from the program","33","33","42","065","41.13139091150","-79.00101814190","POINT (-79.0010181419 41.1313909115)"
"County","Warren","All","All (18+ years)","2018","2018 Annual","1/1/2018-12/31/2018","1","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug","427","Total number of annual Court of Common Pleas cases","2.34","Rate of Court of Common Pleas opioid cases per 1,000 total court cases",,"Percent of Court of Common Pleas cases with opioid use not available","18","Count of discharged drug court cases","6","Count of successfully completed discharged drug court cases","5","Count of discharged drug court cases with an opioid as the drug of choice","1","Count of successfully completed discharged drug court cases with an opioid as the drug of choice","0.2777777777777778","Percent of drug court cases list an opioid as the drug of choice","0.3333333333333333","Percent of drug court cases discharged graduating successfully from the program","0.2","Percent of drug court cases with an opioid as the drug of choice discharged and graduated successfully from the program","62","62","42","123","41.81675236520","-79.27858157800","POINT (-79.278581578 41.8167523652)"
"County","Luzerne","All","All (18+ years)","2018","2018 Q3","7/1/2018-9/30/2018","20","Number of Court of Common Pleas cases with offense code 35 P.S. Â§ 780-113(a)(30) and a specified opioid drug",,"Total Court of Common Pleas cases are not available",,"Quarterly rates are not available",,"Percent of total Court of Common Pleas opioid cases are not available",,"Count not available",,"Count not available",,"Count not available",,"Count not available",,"Percent not available",,"Percent not available",,"Percent not available","40","40","42","079","41.17836438840","-75.99199609800","POINT (-75.991996098 41.178364388400006)"
