"geographic_area","geographic_name","gender","age","year","time_period","time_period_dates","number_of_days_hospitalized","number_of_days_hospitalized_1","number_of_days_hospitalized_notes","estimated_lost_wages","estimated_lost_wages_desc","estimated_lost_state_income_tax","estimated_lost_state_income_tax_desc","county_code_number","county_code_text","state_fips_code","county_fips_code","latitude_longitude","geocoded_column","latitude","longitude"
"County","Sullivan","All","All (21 to 64 years)","2016","2016 Q4","10/1/2016-12/31/2016",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","57","57","42","113","(41.4480993958, -76.5147922046)","POINT (-76.5147922046 41.4480993958)","41.4480994","-76.5147922"
"County","Lancaster","All","All (21 to 64 years)","2017","2017 Q4","10/1/2017-12/31/2017","518","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","66748.00","Lost wages dues to hospitalization for opioid use","2049.16","Estimated state income tax revenue lost during hospitalizations due to opioid use","36","36","42","071","(40.0459079619, -76.2513876838)","POINT (-76.2513876838 40.0459079619)","40.04590796","-76.25138768"
"State","Commonwealth","All","21 to 34 years","2019","2019 Annual","1/1/2019-12/31/2019","20462","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","3336124.43","Lost wages dues to hospitalization for opioid use","102419.02","Estimated state income tax revenue lost during hospitalizations due to opioid use","0","00","42","000","(39.346129, -75.167756)","POINT (-75.167756 39.346129)","39.346129","-75.167756"
"County","Wayne","All","All (21 to 64 years)","2019","2019 Q2","4/1/2019-6/30/2019",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","64","64","42","127","(41.6496980525, -75.3051535022)","POINT (-75.3051535022 41.6496980525)","41.64969805","-75.3051535"
"County","Montgomery","All","All (21 to 64 years)","2018","2018 Q2","4/1/2018-6/30/2018","1023","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","182094.00","Lost wages dues to hospitalization for opioid use","5590.29","Estimated state income tax revenue lost during hospitalizations due to opioid use","46","46","42","091","(40.209898739, -75.3725200072)","POINT (-75.3725200072 40.209898739)","40.20989874","-75.37252001"
"County","Crawford","All","All (21 to 64 years)","2017","2017 Q3","7/1/2017-9/30/2017","151","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","16070.71","Lost wages dues to hospitalization for opioid use","493.37","Estimated state income tax revenue lost during hospitalizations due to opioid use","20","20","42","039","(41.6854690692, -80.1132108295)","POINT (-80.1132108295 41.6854690692)","41.68546907","-80.11321083"
"County","Cameron","All","All (21 to 64 years)","2019","2019 Q3","7/1/2019-9/30/2019",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","12","12","42","023","(41.4388026531, -78.2091693241)","POINT (-78.2091693241 41.4388026531)","41.43880265","-78.20916932"
"County","Columbia","All","All (21 to 64 years)","2019","2019 Q4","10/1/2019-12/31/2019","16","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","1892.57","Lost wages dues to hospitalization for opioid use","58.10","Estimated state income tax revenue lost during hospitalizations due to opioid use","19","19","42","037","(41.0491208559, -76.4100217975)","POINT (-76.4100217975 41.0491208559)","41.04912086","-76.4100218"
"County","Lycoming","All","All (21 to 64 years)","2016","2016 Q4","10/1/2016-12/31/2016","36","Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11","4196.57","Lost wages dues to hospitalization for opioid use","128.83","Estimated state income tax revenue lost during hospitalizations due to opioid use","41","41","42","081","(41.3445979226, -77.069424568)","POINT (-77.069424568 41.3445979226)","41.34459792","-77.06942457"
"County","Juniata","All","All (21 to 64 years)","2018","2018 Q2","4/1/2018-6/30/2018",,"Days hospitalized due to opioid use","Number of days hospitalized not displayed when total is less than 11",,"Lost wages dues to hospitalization for opioid use",,"Estimated state income tax revenue lost during hospitalizations due to opioid use","34","34","42","067","(40.5343300836, -77.405775001)","POINT (-77.405775001 40.5343300836)","40.53433008","-77.405775"
