"title_id","title","title_acronym","record_type","topic_subset","source","second_source","search_strategy","sample_design","survey_type","media","file_size","data_format","spec_software","restrictions","purpose","interval","years_availab","sample_size","population","region","unit_of_analysis","method_tech","related_tools","keywords","comments_on_price","description","pop_age","pop_racial","pop_ethnic","pop_sex","variables","validity","reliability","special_notes","record_originator","reference","language","record_id_variables","url"
"2155","Mental Health Inventory: RAND Medical Outcomes Study",,"Instrument",,"RAND Health",,"https://www.ncbi.nlm.nih.gov/pubmed?term=%22Mental%20Health%20Inventory%22[All%20Fields]%20AND%20RAND[All%20Fields]&cmd=DetailsSearch",,,,,,,,,,,,,,,,,"Anxiety Disorders ||  Depressive Disorder ||  Health Surveys ||  Mental Disorders ||  Personality Assessment ||  Psychometrics ||  Patient Reported Outcomes ||  Patient-Reported Outcomes ||  PROs",,"The 37 measures in the Mental Health Inventory are part of the 116 core measures of functioning and well-being from the Medical Outcomes Study (MOS), a two-year study of patients with chronic conditions.",,,,,,,,,"InfoPac",,,,"https://hsrr.nlm.nih.gov/hsrr_search/record_details/2155"
"2378","Vision Impairment",,"DataSet",,"Agency For Healthcare Research and Quality (AHRQ)",,"https://www.ncbi.nlm.nih.gov/pubmed?term=MEPS%5BAll%20Fields%5D%20AND%20%22vision%20impairment%22%5BAll%20Fields%5D&cmd=DetailsSearch",,,,,,,,,,,,,,,,,"Blindness ||  Health Care Costs ||    Health Services Accessibility ||  Health Services Research ||    Healthcare Disparities ||  Insurance Coverage ||    Vision Disorders ||  Visually Impaired Persons",,"Vision impairment, or low vision, means not seeing well even with eyeglasses, contact lenses, medicine, or surgery. Vision impairment can range from mild to severe. The leading causes of vision impairment in the U.S. are age-related eye diseases. Other disorders, eye injuries, and birth defects can also cause vision loss.",,,,,,,,,"InfoPac",,,,"https://hsrr.nlm.nih.gov/hsrr_search/record_details/2378"
"2587","B.R.I.D.G.E. to Data",,"DataSet",,"Bridge to Data",,"https://www.ncbi.nlm.nih.gov/pubmed?term=%22b%20r%20i%20d%20g%20e%22%5BTitle/Abstract%5D%20AND%20data%5BTitle/Abstract%5D&cmd=DetailsSearch",,,,,,,,"B.R.I.D.G.E. TO DATA is a unique non-profit online reference describing population healthcare databases for use in epidemiology and health outcomes research. (NOTE: This site does not contain any proprietary data or actual datasets from any healthcare database.)  This tool allows users to identify key features and compare database profiles. This resource also serves as an educational tool for public health research and as a template for health systems planners to design or refine their healthcare data.",,,,,,,,,"Databases, Pharmaceutical",,"B.R.I.D.G.E. TO DATA® (B.R.I.D.G.E., which stands for Benefit-Risk Information for DruG Evaluation) is a web-accessible subscription resource of database profiles that provides in-depth information on population healthcare databases, which are continuously updated. B.R.I.D.G.E. is continually optimized for database acquisition, efficiency, and user-friendliness. It is designed to allow easy update of information, so that it is based on the most relevant and current data. B.R.I.D.G.E. contains supplemental research and professional features such as search, report, edit, and comparison functions.     A subscription to B.R.I.D.G.E. allows a user to search, compare, and read in-depth information about what data are being collected by various population healthcare databases. Each profile also contains the database manager’s contact information, which allows users to contact them and discuss access to datasets. The Administrative Data section of each database profile includes a brief summary of the format in which data may be provided to researchers, as well as the cost to access data.    At present B.R.I.D.G.E. includes database profiles from the following countries: Australia, Belgium, Bosnia and Herzegovina, Brazil, Canada, China, Croatia, Denmark, Estonia, Faroe Islands, Finland, France, Germany, Hungary, Iceland, India, Israel, Italy, Japan, Malta, Mexico, South Korea, The Netherlands, New Zealand, Nigeria, Norway, Republic of Serbia, Russia, Singapore, Spain, Sweden, Switzerland, Taiwan, Ukraine, United Kingdom and United States of America.",,,,,,,,,"InfoPac",,,,"https://hsrr.nlm.nih.gov/hsrr_search/record_details/2587"
"2325","Elderly Health Care",,"DataSet",,"Agency For Healthcare Research and Quality (AHRQ)",,"https://www.ncbi.nlm.nih.gov/pubmed?term=%22Elderly%20Health%20Care%22%5BTitle/Abstract%5D&cmd=DetailsSearch",,,,,,,,,,,,,,,,,"Aged ||   Data Collection ||   Surveys",,"As with other population groups, the elderly can be identified in MEPS-HC; and their expenditures, prescription drug usage, and utilization can be analyzed. In addition to the tables and publications below, data files can be downloaded for further analyses.  MEPS stopped collecting institutionalized care information after the 1996 Nursing Home Component was fielded. However, data for all home health events are collected as one type of medical event.",,,,,,,,,"InfoPac",,,,"https://hsrr.nlm.nih.gov/hsrr_search/record_details/2325"
"2383","Womens Health",,"DataSet",,"Agency For Healthcare Research and Quality (AHRQ)",,"https://www.ncbi.nlm.nih.gov/pubmed?term=MEPS%5BAll%20Fields%5D%20AND%20%22women%27s%20health%22%5BAll%20Fields%5D&cmd=DetailsSearch",,,,,,,,,,,,,,,,,"Health Care Surveys ||    Socioeconomic Factors ||    Women's Health ||  Health Care Costs ||  Health Expenditures ||  Health Services Accessibility ||  Health Status ||    Socioeconomic Factors",,"The MEPS-HC collects some questions specific to women related to preventive care (had a hysterectomy, time since last pap smear test, time since last breast exam, time since last mammogram). The type of medical conditions associated with events are collected, enabling identification of conditions specific to women. In addition to the publications listed below, many of the statistical briefs and other analytical reports using MEPS-HC data include breakouts and analysis by gender.",,,,,,,,,"InfoPac",,,,"https://hsrr.nlm.nih.gov/hsrr_search/record_details/2383"
"1243","Hospital Cost Report",,"DataSet",,"Centers for Medicare & Medicaid Services  (CMS)",,"https://www.ncbi.nlm.nih.gov/pubmed?term=hospital%20cost%20report[tiab]&cmd=DetailsSearch",,,,,,,,"These data files contain the highest level of cost report status for cost reports.  For example, if the Healthcare Cost Report Information System (HCRIS) department has both an as submitted report and a final settled report for a hospital for a particular year, the data files will only contain the final settled report. If HCRIS has both a final settled report and a reopened report, the data files will only have the reopened report.","annually","Ongoing",,,,,,,"Financial Management ||  Hospital ||  Hospital Costs ||  Hospitals ||  Medicare ||  Centers for Medicare and Medicaid Services (U.S.) ||  Reimbursement Mechanisms","1070",,,,,,,,,,"Sheps Center, UNC-CH",,,,"https://hsrr.nlm.nih.gov/hsrr_search/record_details/1243"
"2009","Health Literacy and Patient Activation",,"DataSet",,"American Association of Retired Persons Foundation",,"https://www.ncbi.nlm.nih.gov/pubmed?term=%22health%20literacy%22%5BTitle/Abstract%5D%20AND%20patient%5BTitle/Abstract%5D%20AND%20activation%5BTitle/Abstract%5D&cmd=DetailsSearch",,,,,,,,"This study examines the independent influence of health literacy and patient activation in areas in which older adults must have skill or knowledge to manage their health and health care. These areas include Medicare decision making, health-care-related behaviors, healthy behaviors, and chronic disease self-management behaviors. The examination of health literacy and patient activation and their relative contribution to health-related behaviors and health care choices will inform the types of strategies that are likely to be most effective in supporting consumer engagement.",,,,,,,,,"Aged ||  Choice Behavior ||    Comprehension ||    Literacy ||    Consumer Health Information ||   Consumer Satisfaction ||    Educational Status",,,,,,,,,,,"InfoPac",,,,"https://hsrr.nlm.nih.gov/hsrr_search/record_details/2009"
"1340","Adoption and Foster Care Analysis and Reporting System","AFCARS","DataSet",,"Administration for Children and Families",,"https://www.ncbi.nlm.nih.gov/pubmed?term=((%22adoption%22%5BMeSH+Terms%5D+OR+%22adoption%22%5BAll+Fields%5D)+AND+(%22foster+home+care%22%5BMeSH+Terms%5D+OR+(%22foster%22%5BAll+Fields%5D+AND+%22home%22%5BAll+Fields%5D+AND+%22care%22%5BAll+Fields%5D)+OR+%22foster+home+care%22%5BAll+Fields%5D+OR+%22foster%22%5BAll+Fields%5D)+AND+Care%5BAll+Fields%5D+AND+(%22analysis%22%5BSubheading%5D+OR+%22analysis%22%5BAll+Fields%5D)+AND+Reporting%5BAll+Fields%5D+AND+System%5BAll+Fields%5D++OR+AFCARS+%5Btiab%5D)",,,,,,,"AFCARS data tables are available on the Children's Bureau's (CB) homepage. Generally, within six months after the data submission period closes, tables should be available on the CB homepage. The data are always available for in-house analysis within a month of the close of the submission period. These data are not based on sampling, but rather represent all children served by the State public child welfare agency, during a semi-annual period.","AFCARS was developed in response to a need for national data on children in State foster care and on children who have been adopted through State agencies. Until 1994 there had not been a consistent, national data collection system on the characteristics of children in foster care, foster parents, adopted children and adoptive parents.","semi-annual reporting periods which alternately close on March 31 and September 30 of each year.","Implemented on October 1, 1994",,,"States","case level data","States are required to electronically submit their AFCARS data in an ASCII text format within 45 calendar days (submission period) after the close of each reporting period.",,,"0","AFCARS is a system for collecting data on children in foster care and children who have been adopted under the  auspices of the State child welfare agency. There are two components, the State component and the Federal component. The State component consists of the information             system used to collect case management information, and transmit the AFCARS data to the Federal system. The Federal system consists of the information system that receives                the data, process the data and checks it for compliance and quality, and the development of reports.","Newborn: birth - 1 month, Infant: 1- 23 months, Preschool child: 2 to 5 years, Child: 6 to 12 years","American Indian or Alaska Native, Asian , Black or African American, White , Native Hawaiian or Other Pacific Islander","Hispanic  or  Latino, Not Hispanic  or  Latino",,,,,,"DHHS/NLM/CRS",,,,"https://hsrr.nlm.nih.gov/hsrr_search/record_details/1340"
"1338","Emergency Temporary Assistance for Needy Families Data Report System","ETDR","DataSet",,"Administration for Children and Families",,"https://www.ncbi.nlm.nih.gov/pubmed?term=(%22needy%20families%22)%20AND%20%22data%20report%22",,,,,,,,,,,,,,,,,"Aid to Families with Dependent Children ||  Child ||    Child Rearing ||    Child Welfare ||    Social Welfare","0","The purpose of this activity is to collect the race of each family member as a part of the demographic characteristics data of families receiving assistance under the State's Temporary Assistance for Needy Families (TANF) program in order to report annually to the Congress, as required by section 411 of the Social Security Act. The disaggregated TANF case record information which contains the race of each family member is reported to the national TANF database by a State on a quarterly basis. A State has an option of submitting either sample cases or the universe. The data collection was started from the period of July - September 1997.  This periodic data collection is active. Data are obtained annually from the national TANF database. The data file for a fiscal year is available within 12 months of the end of the fiscal year.",,,,,,,,,,,,,"https://hsrr.nlm.nih.gov/hsrr_search/record_details/1338"
"1339","Federal Child Care Information System","FCCIS","DataSet",,"Administration for Children and Families",,"https://www.ncbi.nlm.nih.gov/pubmed?term=%22federal%20child%20care%22%5BAll%20Fields%5D%20AND%20%22information%20system%22%5BTitle/Abstract%5D&cmd=DetailsSearch",,,,,,,"Requests for access to the data are handled on a request by request basis in accordance with appropriate confidentiality provisions. The requestor is required to sign an agreement regarding the use of the data and publication of results.",,,,,,,,,,,"0","The purpose of this activity is to collect demographic data on families receiving child care provided/funded by the Child Care and Development Fund. This is an active continuous data collection system of monthly case-level data. It is used for program planning and management. This CCB-developed system was first implemented in FY 1998. The first month for which most states and territories submitted data was April 1998. The data can be analyzed to the county level and by any age group.","All child: birth to 18 years","American Indian or Alaska Native, Asian , Black or African American, White , Native Hawaiian or Other Pacific Islander","Hispanic  or  Latino, Not Hispanic  or  Latino","Male and Female",,,,"Agency/Program of the Child Care Bureau (CCB), Administration for Children and Families.",,,,,"https://hsrr.nlm.nih.gov/hsrr_search/record_details/1339"
