"propertyid","tax_year","quickrefid","propertynumber","propertynumbersearch","propertyaddress","abstractblock","acres","propertytypekey","propertystatuscode","propertystatusdesc","propertystatuskey","propertytypedesc","propertytypecode","datecreated","datelastchanged","inactivedate","inactivereason","propertycomment","routingnumber","schooltaxingunits","taxingunitgroupcode","taxingunitgroupdesc","taxingunitgroupid","taxingunitlist","neighborhoodid","neighborhoodcode","neighborhooddesc","leaseid","leasenumber","mapnumber","propertyflags","totalagusevalue","totalassessedvalue","totalimpmktvalue","totallandmktvalue","totalpropmktvalue","totalsqftlivingarea","legaldescription","mhmodel","mhspace","mhtitle","subblock","sublotrange","sublot","subsection","subunit","propertylegaltype","township","townshiprange","townshipsection","tract","legallocationcode","legallocationdesc","serial","label","hudnumber","homeid","mhmake","mhmakedesc","propertylegallocid","situsaddress","address","streetnumber","unittypekey","unitnumber","streetdirectional","streetname","streetsuffix","city","streetsuffixdirectional","zip","state","dba","condobuilding","condopercentage","condounit","squarefeet","nonstandardaddress","datadate"
"180931","2023","R347808","R-17-W349-912A-E049-0005","R17W349912AE0490005","3612 FLORA VISTA LOOP, ROUND ROCK, TX  78681",,,"RP","A","Active","A","Residential","RES","2003-10-30T19:44:39.000","2022-07-19T21:57:04.557",,,"'96 SUB (8/18/95) PLAT L/373 4/27/95, 19.636 AC FROM W001-5000-0004-0A05 (R310961), 0.246 AC FROM 4-0B05 (R346056) & 5.528 AC FROM W349-900A-0001-0005 (R318155) PER M/KH,KG.",,"SLE","TUG29","CAD,F09,GWI,J01,M21,RFM,SLE,W09","407482","CAD,GWI,J01,M21,RFM,SLE,W09,F09","397146","L491593F","L491593F - Vista Oaks Sec 1, 2A, 2B, Buffington  - Wilshire",,,"4-4208","2013R1OLP,2014R1OLP,2015R1OLP,2016INQ3,2016R1OLP,2017INQ3,2017R1OLP,2018INQ2,2018R1OLP,2019INQ2,2019R1OLP,2020INQ1,2020R1OLP,2021R1OLP,2022R1OLP,22NOTICEGRID","0.000000","IN PROGRESS","IN PROGRESS","IN PROGRESS","IN PROGRESS","1757.000000","S6061 - Vista Oaks Sec 2a Phase 1, BLOCK E, Lot 49",,,,"E",,"49",,,"S",,,,,"S6061","S6061 - Vista Oaks Sec 2a Phase 1",,,,,,,"404482","3612 FLORA VISTA LOOP, ROUND ROCK, TX  78681",,"3612",,,,"FLORA VISTA","LOOP","ROUND ROCK",,"78681","TX",,,"0",,,"0","2022-09-10T02:00:03.210"
"180943","2023","R347821","R-17-W349-912A-E083-0005","R17W349912AE0830005","3508 FLORA VISTA LOOP, ROUND ROCK, TX  78681",,,"RP","A","Active","A","Residential","RES","2003-10-30T19:44:39.000","2022-07-19T21:24:43.340",,,"'96 SUB (8/18/95) PLAT L/373 4/27/95, 19.636 AC FROM W001-5000-0004-0A05 (R310961), 0.246 AC FROM 4-0B05 (R346056) & 5.528 AC FROM W349-900A-0001-0005 (R318155) PER M/KH,KG.",,"SLE","TUG29","CAD,F09,GWI,J01,M21,RFM,SLE,W09","407482","CAD,GWI,J01,M21,RFM,SLE,W09,F09","397146","L491593F","L491593F - Vista Oaks Sec 1, 2A, 2B, Buffington  - Wilshire",,,"4-4208","2013R1OLP,2014R1OLP,2015R1OLP,2016INQ1,2016R1OLP,2017INQ3,2017R1OLP,2018INQ2,2018R1OLP,2019INQ2,2019R1OLP,2020INQ1,2020R1OLP,2021R1OLP,2022R1.5PS,2022R1OLP,22NOTICEGRID","0.000000","IN PROGRESS","IN PROGRESS","IN PROGRESS","IN PROGRESS","2053.000000","S6061 - Vista Oaks Sec 2a Phase 1, BLOCK E, Lot 83",,,,"E",,"83",,,"S",,,,,"S6061","S6061 - Vista Oaks Sec 2a Phase 1",,,,,,,"404482","3508 FLORA VISTA LOOP, ROUND ROCK, TX  78681",,"3508",,,,"FLORA VISTA","LOOP","ROUND ROCK",,"78681","TX",,,"0",,,"0","2022-09-10T02:00:03.210"
"181001","2023","R347889","R-20-1300-070C-0013","R201300070C0013","31105 LA QUINTA DR, GEORGETOWN, TX  78628",,,"RP","A","Active","A","Residential","RES","2003-10-30T19:44:39.000","2022-07-19T23:27:14.067",,,"NEW SUBD'96 (8/29/95) SPLIT 6.774 ACRES FROM ACCTS 1300-0016-0001 THRU 1300-0016-0006 (BLOCK D, LOTS 8-13), AND 1300-0016-0020 THRU 1300-0016-0030 (BLOCK E, LOTS 1-11), AND 1300-0016-0070 THRU 1300-0016-0074 (BLOCK G, LOTS 17-21) BERRY CREEK SEC 7 (S3191)",,"SGT","TUG7","CAD,CGT,GWI,RFM,SGT","407937","CAD,CGT,GWI,RFM,SGT","397545","G110693B","G110693B - Berry Creek Sec 1,3, & 10",,,"2-0816","2013R1OLP,2014R1OLP,2015R1OLP,2016INQ1,2016R1OLP,2017HB3630,2017INQ3,2017R1OLNC,2018HB3630,2018INQ2,2018R1OLNC,2019HB3630,2019INQ1,2019R1OLP,2020INQ2,2020R1OLNC,2021R1OLNC,2022R1OLP,22NOTICEGRID,HS0916","0.000000","IN PROGRESS","IN PROGRESS","IN PROGRESS","IN PROGRESS","5655.000000","S6086 - Berry Creek Sec 7 Ph 1 Resub, BLOCK C, Lot 13",,,,"C",,"13",,,"S",,,,,"S6086","S6086 - Berry Creek Sec 7 Ph 1 Resub",,,,,,,"404512","31105 LA QUINTA DR, GEORGETOWN, TX  78628","31105 LA QUINTA DR GEORGETOWN, TX 78628","31105",,,,"LA QUINTA","DR","GEORGETOWN",,"78628","TX",,,"0",,,"0","2022-09-10T02:00:03.210"
"181028","2023","R347920","R-11-0244-0000-0019B","R11024400000019B","CR 239, GEORGETOWN, TX  78633",,"0.041","RP","A","Active","A","Land","L","2003-10-30T19:44:39.000","2022-03-24T07:33:50.447",,,"ADD ENITIY F02, CLEAN-UP PER MRKH (4-1-04 AMU)./// SEE EVENT FOR COMMENTS. SPLIT'96 (9/13/95) ACRES 118.15 FROM ACCT 0244-0000-0019 (R012206) LAND DIVIDED BY CR 239, PER D/MKG/ARM.",,"SJA","TUG10","CAD,F02,GWI,RFM,SJA","407272","CAD,F02,GWI,RFM,SJA","395920","J001LLLI","J001LLLI - JARRELL ISD VACANT LAND",,,"2-4026","2013R1OLNC,2014R1OLNC,2015R1OLNC,2016INQ2,2016R1OLNC,2017INQ1,2017R1OLNC,2018INQ1,2018R1OLNC,2019INQ2,2019R1OLNC,2020INQ1,2020R1OLNC,2021R1OLNC,2022R1OLNC","0.000000","IN PROGRESS","IN PROGRESS","IN PROGRESS","IN PROGRESS",,"AW0244 AW0244 - Gravis, J.a.f. Sur., ACRES 0.041",,,,,,"(RDWY)",,,"A",,,,,"AW0244","AW0244 - Gravis, J.a.f. Sur.",,,,,,,"398677","CR 239, GEORGETOWN, TX  78633",,,,,,"CR 239",,"GEORGETOWN",,"78633","TX",,,"0",,,"0","2022-09-10T02:00:03.210"
"181061","2023","R347957","R-20-0481-0000-0028JM1","R20048100000028JM1","557 CR 155, GEORGETOWN, TX  78626",,"7","RP","A","Active","A","Residential","RES","2003-10-30T19:44:39.000","2022-08-09T16:51:36.203",,,"See events./.  (10.19.06 fc mh appr, rdm).  SUPP #10 HS98. SITUS ADDRS CHG PER 911 MAP 2-0848 8/26/98. ADDED'95 (9/20/95) AS MOBILE HOME WAS ERRONEOUSLY PUT ON THE BISHOP PROPERTY AND PER ARB REMOVED IT FROM THE BISHOP'S NAME AND SET UP AN ACCOUNT FOR ADR",,"SGT","TUG23","CAD,F03,GWI,RFM,SGT","407416","CAD,F03,GWI,RFM,SGT","423750","AM20SLXI","AM20SLXI - MH - SGT/SHU/SRR",,,"2-0848","2013R1OLNC,2014R1OLNC,2015R1OLNC,2016INQ2,2016R1OLNC,2017INQ2,2017R1OLNC,2018INQ2,2018R1OLNC,2019INQ1,2019R1OLNC,2020INQ2,2020R1OLNC,2021R1OLNC,2022R1OLNC,21NOCOMPNOT","0.000000","IN PROGRESS","IN PROGRESS","IN PROGRESS","IN PROGRESS","1680.000000","Mobile home only AW0481 - Nimmo, S. Sur., SERIAL # CW2010528TXA, TITLE # 00213823, LABEL # HWC0369631, ACRES 7, [R040185 land]","32HER28563AH06",,"00213823",,,,,,"A",,,,,"AW0481","AW0481 - Nimmo, S. Sur.","CW2010528TXA","HWC0369631",,,,,"398959","557 CR 155, GEORGETOWN, TX  78626","557 CR 155 GEORGETOWN, TX 78626","557",,,,"CR 155",,"GEORGETOWN",,"78626","TX",,,"0",,,"0","2022-09-10T02:00:03.210"
"187612","2023","R360154","R-17-W322-505F-0025-0009","R17W322505F00250009","1320 ROADRUNNER DR, CEDAR PARK, TX  78613",,,"RP","A","Active","A","Residential","RES","2003-10-30T19:44:39.000","2022-07-19T23:09:19.717",,,"MAIL TCTC TO NESHEIM 2.8.17 LJ///FOR 97 HS APPL IN NO-IMP SUSPENSE FILE. = SUB'97 PLAT M/283 2/21/96 (9/25/96) FROM W055-1000-0011-A009 (R097918) 16.942 AC PER M/KH.",,"SLE","TUG19","CAD,CCP,GWI,J01,RFM,SLE,W09","407371","CAD,CCP,GWI,J01,RFM,SLE,W09","397220","L334592F","L334592F - OAKWOOD GLEN/CYPRESS MILL",,,"4-7428","2013R1OLP,2014R1OLP,2015R1OLP,2016INQ1,2016R1OLP,2017HB3630,2017INQ1,2017R1OLNC,2018INQ2,2018R1OLP,2019INQ2,2019R1OLP,2020INQ1,2020R1OLP,2021R1OLP,2022R1OLP,22NOTICEGRID,HS0117","0.000000","IN PROGRESS","IN PROGRESS","IN PROGRESS","IN PROGRESS","1912.000000","S6258 - Cypress Mill 1 Sec 5, BLOCK F, Lot 25",,,,"F",,"25",,,"S",,,,,"S6258","S6258 - Cypress Mill 1 Sec 5",,,,,,,"404707","1320 ROADRUNNER DR, CEDAR PARK, TX  78613","1320 ROADRUNNER DR CEDAR PARK, TX 78613","1320",,,,"ROADRUNNER","DR","CEDAR PARK",,"78613","TX",,,"0",,,"0","2022-09-10T02:00:03.210"
"450927","2023","P504493","P-11-P576-5975","P11P5765975","CJA Jarrell",,,"PP","A","Active","A","BPP7-Lease","BPP7","2022-04-21T13:42:04.743","2022-07-14T16:14:18.167",,,"NEW 2022",,,"TUG816","CJA","426162","CJA",,,,,,,"PPXW,R22E,WK22",,"IN PROGRESS","IN PROGRESS","IN PROGRESS","IN PROGRESS",,"LEASED EQUIPMENT IN CJA Jarrell",,,,,,,,,"PP",,,,,,,,,,,,,,"CJA Jarrell","CJA Jarrell",,,,,,,,,,,,,,,,"1","2022-09-10T02:00:03.210"
"315126","2023","P470738","P-14-P194-2040-3953-68","P14P1942040395368","HUTTO ISD",,,"PP","A","Active","A","BPP2-CAG","BPP2","2011-05-17T12:29:49.740","2022-06-13T11:40:50.823",,,"NEW 2011 PER RE-SURVEY OF PIPELINE",,"SHU","TUG108","CAD,GWI,J02,RFM,SHU","407281","CAD,GWI,RFM,SHU,J02",,,,,,,"2013R2PP,2013R4PP,2013R5PP,2014R3PP,2014R5PP,2014XNOS,2015R3PP,2015XNOS,2016XN,2016XNOS,2017R1CAG,2017XNOS,2018R1CAG,2018XNOS,2019R1CAG,2019XNOS,2020R1CAG,2020XNOS,2021R1CAG,2022R1CAG,CAP,R13,R14,R15,R16,R17,R18,R19,R1REND14,R1REND15,R1REND16,R1REND17,R1REND18,R1REND19,R1REND20,R1REND21,R1REND22,R20,R21,R22,WK13,WK14,WK17,WK18,WK19,WK20,WK21,WK22",,"IN PROGRESS","IN PROGRESS","IN PROGRESS","IN PROGRESS",,"0.510 MI 20 IN 1964 T F P (SOUTH) IN HUTTO ISD",,,,,,,,,"PP",,,,,,,,,,,,,,"HUTTO ISD","HUTTO ISD",,,,,,,,,,,,,,,,"1","2022-09-10T02:00:03.210"
"315134","2023","P470746","P-14-P194-2040-3953-76","P14P1942040395376","HUTTO ISD",,,"PP","A","Active","A","BPP2-CAG","BPP2","2011-05-17T14:03:55.183","2022-06-13T11:40:52.327",,,"NEW 2011 PER RE-SURVEY OF PIPELINE",,"SHU","TUG108","CAD,GWI,J02,RFM,SHU","407281","CAD,GWI,RFM,SHU,J02",,,,,,,"2013R2PP,2013R4PP,2013R5PP,2014R3PP,2014R5PP,2014XNOS,2015R3PP,2015XNOS,2016XN,2016XNOS,2017R1CAG,2017XNOS,2018R1CAG,2018XNOS,2019R1CAG,2019XNOS,2020R1CAG,2020XNOS,2021R1CAG,2022R1CAG,CAP,R13,R14,R15,R16,R17,R18,R19,R1REND14,R1REND15,R1REND16,R1REND17,R1REND18,R1REND19,R1REND20,R1REND21,R1REND22,R20,R21,R22,WK13,WK14,WK17,WK18,WK19,WK20,WK21,WK22",,"IN PROGRESS","IN PROGRESS","IN PROGRESS","IN PROGRESS",,"0.270 MI 30 IN 1969 T F P (2ND) IN HUTTO ISD",,,,,,,,,"PP",,,,,,,,,,,,,,"HUTTO ISD","HUTTO ISD",,,,,,,,,,,,,,,,"1","2022-09-10T02:00:03.210"
"298163","2023","P463982","P-16-P575-1315","P16P5751315","WMSN CO ESD #9",,,"PP","A","Active","A","BPP8-Lease Vehicle","BPP8","2008-05-29T16:56:10.923","2022-06-08T09:46:35.150",,,"NEW 2008",,,"TUG884","F09","428695","F09",,,,,,,"2013R2PP,2013R3PP,2014R2PP,2014R3PP,2014R5PP,2015R3PP,2016R6PP,2017R5PP,2018R4PP,2019R4PP,2020R4PP,2021R2PP,2022R2PP,R13,R14,R15,R15E,R16,R17,R17E,R18E,R19E,R1REND14,R1REND15,R1REND16,R1REND17,R1REND18,R1REND19,R1REND20,R1REND21,R1REND22,R20E,R21E,R22,WK12,WK13,WK16,WK17,WK18,WK19,WK20,WK21,WK22",,"IN PROGRESS","IN PROGRESS","IN PROGRESS","IN PROGRESS",,"LEASED VEHICLES IN WILLIAMSON ESD #9",,,,,,,,,"PP",,,,,,,,,,,,,,"WMSN CO ESD #9","WMSN CO ESD #9",,,,,,,,,,,,,,,,"1","2022-09-10T02:00:03.210"
