"service_type","agency_name","health_needs_targeted","street_address","mailing_address_if_different","phone","fax","website","e_mail","hours","description_of_services","fees","eligibility_requirements","area_served","non_english_languages","wheelchair_accessibility"
"Local Health Department","Bear River Health Department Cache County","Public Health","655 East 1300 North  Logan UT 84321",,"435-792-6500","435-792-6495","www.brhd.org",,"M-F 8:00am-5:00pm Closed holidays","Baby your baby, Cancer Screening, Diabetes, Family Planning, Physicals, Immunizations, Infant development, Infectious Disease Control, School Health, Well child physicals, WIC, Family Health, Cholesterol Screening, Blood Pressure Checks, Adult physical exam","Dependant on services provided",,"Box Elder, Rich, Park Valley, Cache Counties","Spanish","x"
,"Randolph WIC Location","Public Health","275 N Main Street  Randolph UT  84064-0392","PO Box 392 Randolph UT 84064","435-793-2445",,,,,"WIC ","Dependant on services provided",,"Randolph Area",,"x"
,"Tremonton","Public Health","125 South 100 West Tremonton UT  84337",,"435-257-3318",,,,,,,,"Tremonton Area",,
,"Brigham City ","Public Health","817 West 950 South Brigham City UT  84302",,"435-734-0845",,,,,,,,"Brigham City Area",,
,"Park Valley","Public Health","PO Box 57                Park Valley UT  84329            ",,"435-871-4411 or                  435-871-4157",,,,,,,,"Pine Valley Area",,
"Hospitals/ Clinics","Bear Lake Community Health Center, Inc. ","Primary Medical Care","325 W Logan Hwy Suite 3              Garden City UT  84025","PO Box 328  Garden City UT  84025","435-946-3660","435-946-8215","www.auch.org","Access on web site",,"Primary/Urgent health care to residents & visitors of Bear Lake Valley.  Including, Pediatric/Adolescent care, Adult Primary & Urgent Care, Dental Care, Mental Health Care. ","Sliding Fee, ability to pay basis",,"Bear Lake Valley, surrounding community & Bear Lake Visitors",,
,"Cache Valley Specialty Hospital (CVSH)","Full Hospital Care ","2380 N 400 E       Logan UT 84341",,"435-713-9700",,"www.cvsh.com","Access on web site"," 24 Hour Emergency, Other departments vary","Serves Full Range of Health Care Needs","Dependant on services provided",,"Statewide","Yes","x"
,"Community Nursing Service, Hospice","Home Health Nursing and Hospice","221 N Spring Creek,  Parkway # G      Providence UT 84341",,"435-752-3355 or 1-800-501-0014","435-753-1185","www.cnsvna.org","Access on web site",,"Home Health Care, including rehab, home nursing, IV services, immunizations, home health education, Hospice Care","Dependant on services provided","Home health care must be ordered by attending physician","Box Elder, Cache and Rich counties",,"x"
,"Logan Regional Hospital","Full Hospital Care (IHC)","1400 N 500 E       Logan UT  84321",,"435-716-1000",,"http://intermountainhealthcare.org/xp/public/","Access on web site","24 Hour Emergency, Other departments vary","Serves Full Range of Health Care Needs","Dependant on services provided",,"Statewide","Yes","x"
,"Intermountain Cache Valley Community Health Clinic","Primary Health Care to Uninsured residents in Logan ","272 1/2 North Main St Logan UT  84321",,"435-752-7060",,"http://intermountainhealthcare.org/xp/public/about-intermountain/chp/chpclinics.xml","Access on web site",,"Provide Primary Health Care needs to under/un-insured residents of Logan","Sliding Fee scale, based on income",,"Logan area",,"x"
,"Sunshine Terrace Foundation","Rehabilitative & long term care services","225 N 200 W        Logan UT  84321-3805",,"435-752-0411 or toll free 1-866-752-0411",,"www.sunshineterrace.com","Access on web site",,"Rehabilitation and Long-term care services, Assisted Living Center, Adult Day Care Center, Referral and Information resources, Caregiver resources",,,"Logan area",,"x"
"Mental Health/ Counseling","Bear River Mental Health","Mental Health Services ","90 E 200 N   Logan UT  84321",,"435-752-0750",,"www.ubhn.org","Access on web site",,"Adult Substance Abuse, Adult Mental Health, Youth Services, Emergency Services, Education and Referral information",,,"Box Elder, Cache, & Rich counties",,
,"Bear River Substance Abuse","Substance Abuse Treatment Services","655 E 1300 N  Logan UT  84321",,"435-752-1799",,"www.ubhn.org",,,"Adult Substance Abuse, Adult Mental Health, Youth Services, Emergency Services, Education and Referral information",,,"Box Elder, Cache, & Rich counties",,
,"Child and Family Support Center","Counseling, Parenting classes","380 W 1400 N     Logan UT  84321",,"24 Hour Crisis line 435-752-8880 or toll free 1-877-900-cfsc","435-752-8884","www.cachefsc.org","info@capsa.org",,"Counseling for individuals, children, families, Group therapy, Women's workshop and Victims of abuse. Classes, Education, and Referral information provided.  Crisis/respite nursery, 24 hour Crisis line.",,,"Logan & surrounding areas",,
,"Family Institute Of Northern Utah","Mental Health Services ","965 S. 100 W. Suite 203  Logan UT  84321",,"435-752-1976","435-755-6707","www.finu.org",,"M-H 9:00am - 6:00pm by appointment only","Outpatient Substance Abuse treatment, including adolescents, DUI/DWI offenders, Domestic Violence Victims and Offenders, Marriage Counseling","Dependant on services provided/sliding fee scale","Eligibility requirements determined by assessment","Logan & surrounding areas","Spanish","x"
,"LDS Family Services/ Logan Agency","Counseling, Resource and Support Group services, Adoption Services","175 W 1400 N Suite A Logan UT  84321-6816",,"435-752-5302","435-753-9007","www.providentliving.org","Access on web site",,"Counseling and Resources for individuals, couples and families. Assistance for birth parents facing unplanned pregnancy, Help for couples interested in adoption, Addiction Recovery Program. Eating Disorders, Anger Managers, AMAC program, Educational Related family classes","Fees are dependant on services provided and/or insurance coverage",,,,
,"USU Marriage & Family Therapy Clinic ","Therapy and Counseling Services ","493 N 700 E        Logan UT  84321",,"435-797-7430","435-797-7432","http://www.usu.edu/mft/clinic_services.cfm#top","Access on web site","By appointment only, call 435-797-7430","Counseling for individuals, couples, families provided by licensed therapist in conjunction with graduate students.","Sliding Fee scale based on family size","No one denied services because of inability to pay","Logan & surrounding areas",,"x"
,"USU Psychology Community Clinic","Mental Health Services ","USU Emma Eccles Jones Bldg           Logan UT 84322","2810 Old Main Hill Logan UT  84322","435-797-3401",,"http://www.usu.edu/psychology/clinic.php",,"M-F 8:00am - 5:00pm by appointment","Diagnostic and Therapeutic services for individuals, children, couples, families provided by licensed therapist in conjunction with graduate students.","Sliding Fee scale based on family size, private insurance accepted",,"Logan & surrounding areas","Spanish","x"
"Domestic Violence","Citizens Against Physical and Sexual Abuse (CAPSA)","Domestic Violence Shelter",,"PO Box 3617   Logan UT  84323-3617","435-753-2500 24 Hour Crisis line or 435-752-4493","435-753-7054","www.capsa.org","info@capsa.org","M-F 9:00am - 5:00pm","Provide temporary housing for victims of domestic violence & their children. Shelter operations 24 hours a day, 7 days a week.  Education, support, referral, and individual counseling available. Mobile crisis response team available ",,"Call for eligibility requirements","Cahce and Rich counties","Spanish, interpreters provided when necessary ",
