"federal_provider_number","provider_name","provider_address","provider_city","provider_state","provider_zip_code","organization_name","first_name","last_name","role_description","location","processing_date"
"465003","HERITAGE PARK CARE CENTER","2700 WEST 5600 SOUTH","ROY","UT","84067",,"CHARLES","BAGLEY","DIRECTOR/OFFICER","2700 WEST 5600 SOUTH
ROY, UT 84067
(41.161699130000045, -112.04531636499996)","########"
"465003","HERITAGE PARK CARE CENTER","2700 WEST 5600 SOUTH","ROY","UT","84067",,"CHAD","HERRICK","MANAGING EMPLOYEE","2700 WEST 5600 SOUTH
ROY, UT 84067
(41.161699130000045, -112.04531636499996)","########"
"465003","HERITAGE PARK CARE CENTER","2700 WEST 5600 SOUTH","ROY","UT","84067",,"CHRISTOPHER","MURPHY","DIRECTOR/OFFICER","2700 WEST 5600 SOUTH
ROY, UT 84067
(41.161699130000045, -112.04531636499996)","########"
"465003","HERITAGE PARK CARE CENTER","2700 WEST 5600 SOUTH","ROY","UT","84067","4 WEST HOLDINGS",,,"5% OR MORE OWNERSHIP INTEREST","2700 WEST 5600 SOUTH
ROY, UT 84067
(41.161699130000045, -112.04531636499996)","########"
"465003","HERITAGE PARK CARE CENTER","2700 WEST 5600 SOUTH","ROY","UT","84067","4 WEST INVESTORS LLC",,,"5% OR MORE OWNERSHIP INTEREST","2700 WEST 5600 SOUTH
ROY, UT 84067
(41.161699130000045, -112.04531636499996)","########"
"465003","HERITAGE PARK CARE CENTER","2700 WEST 5600 SOUTH","ROY","UT","84067","COVENANT DOVE HOLDING COMPANY LLC",,,"5% OR MORE OWNERSHIP INTEREST","2700 WEST 5600 SOUTH
ROY, UT 84067
(41.161699130000045, -112.04531636499996)","########"
"465003","HERITAGE PARK CARE CENTER","2700 WEST 5600 SOUTH","ROY","UT","84067","COVENANT DOVE LLC",,,"5% OR MORE OWNERSHIP INTEREST","2700 WEST 5600 SOUTH
ROY, UT 84067
(41.161699130000045, -112.04531636499996)","########"
"465003","HERITAGE PARK CARE CENTER","2700 WEST 5600 SOUTH","ROY","UT","84067","DES NEW ARK TR",,,"5% OR MORE OWNERSHIP INTEREST","2700 WEST 5600 SOUTH
ROY, UT 84067
(41.161699130000045, -112.04531636499996)","########"
"465003","HERITAGE PARK CARE CENTER","2700 WEST 5600 SOUTH","ROY","UT","84067","HS NEW ARK TR",,,"5% OR MORE OWNERSHIP INTEREST","2700 WEST 5600 SOUTH
ROY, UT 84067
(41.161699130000045, -112.04531636499996)","########"
"465003","HERITAGE PARK CARE CENTER","2700 WEST 5600 SOUTH","ROY","UT","84067","JS NEW ARK TR",,,"5% OR MORE OWNERSHIP INTEREST","2700 WEST 5600 SOUTH
ROY, UT 84067
(41.161699130000045, -112.04531636499996)","########"
"465003","HERITAGE PARK CARE CENTER","2700 WEST 5600 SOUTH","ROY","UT","84067","NEW ARK INVESTMENT INC",,,"5% OR MORE OWNERSHIP INTEREST","2700 WEST 5600 SOUTH
ROY, UT 84067
(41.161699130000045, -112.04531636499996)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109",,"JOSEPH","ALEGRE","DIRECTOR/OFFICER","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109",,"JOSEPH","ALEGRE","MANAGING EMPLOYEE","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109",,"JOSEPH","ALEGRE","OPERATIONAL/MANAGERIAL CONTROL","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109",,"MARK","BALLIF","5% OR MORE OWNERSHIP INTEREST","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109",,"MARK","BALLIF","DIRECTOR/OFFICER","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109",,"MARK","BALLIF","MANAGING EMPLOYEE","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109",,"MYRNA","DEGUZMAN","MANAGING EMPLOYEE","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109",,"PAUL","HUBBARD","5% OR MORE OWNERSHIP INTEREST","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109",,"PAUL","HUBBARD","DIRECTOR/OFFICER","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109",,"PAUL","HUBBARD","MANAGING EMPLOYEE","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109",,"PHYLLIS","PUGH","DIRECTOR/OFFICER","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109",,"PHYLLIS","PUGH","OPERATIONAL/MANAGERIAL CONTROL","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109",,"CURTIS","RODRIGUEZ","DIRECTOR/OFFICER","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109",,"JARED","SWAIN","DIRECTOR/OFFICER","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109",,"JARED","SWAIN","MANAGING EMPLOYEE","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109",,"TOBY","TILFORD","DIRECTOR/OFFICER","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109",,"TOBY","TILFORD","OPERATIONAL/MANAGERIAL CONTROL","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465178","STONEHENGE OF AMERICAN FORK","538 S 500 E","AMERICAN FORK","UT","84003",,"CORY","ROBISON","DIRECTOR/OFFICER","538 S 500 E
AMERICAN FORK, UT 84003
(40.36651132900005, -111.78546668599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109","ALLPRO INC",,,"5% OR MORE OWNERSHIP INTEREST","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109","AUBURN MANOR HOLDING CORP",,,"5% OR MORE OWNERSHIP INTEREST","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109","BAY BRIDGE CAPITAL PARTNERS, LLC",,,"5% OR MORE OWNERSHIP INTEREST","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109","CROSSWINDS TRUST",,,"5% OR MORE OWNERSHIP INTEREST","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109","FLOWER FARM GROUP, LLC",,,"5% OR MORE OWNERSHIP INTEREST","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109","GENERAL ELECTRIC CAPITAL CORPORATION",,,"5% OR GREATER MORTGAGE INTEREST","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109","GI PLUM HOLDCO LLC",,,"5% OR MORE OWNERSHIP INTEREST","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109","HORIZON WEST HEALTHCARE, INC.",,,"5% OR MORE OWNERSHIP INTEREST","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109","PLUM HEALTHCARE GROUP, LLC",,,"OPERATIONAL/MANAGERIAL CONTROL","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109","PLUM OPCO HOLDINGS, LLC",,,"5% OR MORE OWNERSHIP INTEREST","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465006","MT OLYMPUS REHABILITATION CENTER","2200 EAST 3300 SOUTH","SALT LAKE CITY","UT","84109","SISU HOLDINGS, LLC",,,"5% OR MORE OWNERSHIP INTEREST","2200 EAST 3300 SOUTH
SALT LAKE CITY, UT 84109
(40.699843412000064, -111.82744085599995)","########"
"465009","KINDRED NURSING & REHABILITATION - WASATCH CARE","3430 HARRISON BOULEVARD","OGDEN","UT","84403",,"ARTHUR","ROTHGERBER","DIRECTOR/OFFICER","3430 HARRISON BOULEVARD
OGDEN, UT 84403
(41.20072994700007, -111.94866435999995)","########"
"465009","KINDRED NURSING & REHABILITATION - WASATCH CARE","3430 HARRISON BOULEVARD","OGDEN","UT","84403",,"DEBORAH","WOOD","MANAGING EMPLOYEE","3430 HARRISON BOULEVARD
OGDEN, UT 84403
(41.20072994700007, -111.94866435999995)","########"
"465020","PIONEER CARE CENTER","815 SOUTH 200 WEST","BRIGHAM CITY","UT","84302",,"GARY","BURRASTON","MANAGING EMPLOYEE","815 SOUTH 200 WEST
BRIGHAM CITY, UT 84302
(41.494939758000044, -112.01917363599995)","########"
