"competitive_bid_service_area","company_name","dba_name","zip_plus_4","phone","oxygen_supplies_and_equipment","mail_order_diabetic_supplies","enteral_nutrients_equipment_and_supplies","cpap_devices_respiratory_assist_devices_and_related_supplies_and_accessories","hospital_beds_and_related_accessories","negative_pressure_wound_therapy_pumps_and_related_supplies_and_accessories","walkers_and_related_accessories","support_surfaces_group_2_mattresses_and_overlays","standard_power_manual_wheelchairs_scooters_and_related_accessories","external_infusion_pumps_and_supplies","general_home_equipment_and_related_supplies_and_accessories","respiratory_equipment_and_related_supplies_and_accessories","standard_mobility_equipment_and_related_accessories","is_supplier_participating","automatic_external_defibrillators_aeds","commodes_urinals_bedpans","continuous_passive_motion_cpm_devices","dynamic_splints","blood_glucose_monitors_supplies_non_mail_order","blood_glucose_monitors_supplies_mail_order","blood_glucose_monitors_mail_order","gastric_suction_pumps","heat_cold_applications","hospital_beds_electric","hospital_beds_total_electric_pediatric","hospital_beds_manual","hospital_beds_manual_pediatric","infrared_heating_pad_systems","infusion_pumps_supplies_external_infusion","infusion_pumps_implantable_uninterrupted","infusion_pumps_supplies_insulin_infusion","infusion_pumps_supplies_implanted_infusion","negative_pressure_wound_therapy_pumps_supplies","neuromuscular_electrical_stimulators_nmes","osteogenesis_stimulators","pneumatic_compression_devices","speech_generating_devices","support_surfaces_pressure_reducing_beds_mattresses_overlays_pads","support_surfaces_e_g_air_fluidized_bed","traction_equipment","transcutaneous_electrical_nerve_stimulators_tens_units","ultraviolet_light_devices","home_dialysis_equipment_supplies","hemodialysis_equipment_supplies","canes_crutches","patient_lifts","power_operated_vehicles_scooters","seat_lift_mechanisms","walkers","wheelchairs_accessories_standard_manual","wheelchairs_accessories_standard_manual_e_g_pediatrics","wheelchairs_accessories_standard_power","wheelchairs_accessories_standard_power_e_g_pediatrics_and_custom_cushions","wheelchairs_accessories_complex_rehabilitative_manual","wheelchairs_accessories_complex_rehabilitative_power","wheelchairs_accessories_complex_rehabilitative_power_e_g_group_3_group_4_group_5","wheelchair_seating_cushions","wheelchair_seating_cushions_e_g_skin_protecting_seat_cushions","orthoses_custom_fabricated","orthoses_prefabricated","orthoses_off_the_shelf","breast_prostheses_accessories","cochlear_implants","facial_prostheses","neurostimulators","ocular_prostheses","ostomy_supplies","somatic_prostheses","tracheostomy_supplies","urological_supplies","voice_prosthetics","prosthetic_lenses_conventional_eyeglasses","prosthetic_lenses_conventional_contact_lenses","prosthetic_lenses_prosthetic_cataract_lenses","enteral_nutrients_equipment_supplies","enteral_nutrients_supplies_for_special_metabolic_needs_and_pediatrics","parenteral_nutrients_equipment_supplies","limb_prostheses","eye_prostheses","cpap_rads_related_supplies_accessories","cpap_and_rads_supplies_e_g_combination_masks","high_frequency_chest_wall_oscillation_hfcwo_devices","invasive_mechanical_ventilation","intermittent_positive_pressure_breathing_ippb_devices","intrapulmonary_percussive_ventilation_devices","mechanical_in_exsufflation_devices","nebulizer_equipment_supplies","nebulizer_equipment_ultrasonic_and_controlled_dose","oxygen_equipment_supplies","respiratory_suction_pumps","ventilators_accessories_supplies","surgical_dressings","diabetic_shoes_inserts_prefabricated","diabetic_shoes_inserts_custom_fabricated","location_1","location_2"
"Grand Rapids-Wyoming, MI","ORBIT MEDICAL OF PORTLAND, INC                                        ","TIBRO MEDICAL                           ",,"(801)255-5202","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9847 SOUTH 500 WEST
SANDY, UT 84070
(40.574121965000074, -111.90636400999995)","SUITE 200
,  "
,"HILL-ROM COMPANY INC                                                  ","HILL-ROM CO INC                         ",,"(800)638-2546","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1525 SOUTH GLADIOLA ST
SALT LAKE CITY, UT 84104
(40.737683195000045, -111.97153945799994)","STE 9
,  "
,"MT OGDEN EYE CENTER LLC                                               ","UTAH EYE CENTERS                        ",,"(801)476-0494","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4360 WASHINGTON BLVD
OGDEN, UT 84403
(41.183189913000035, -111.97129402199994)",
,"SAMS WEST INC                                                         ","SAM'S PHARMACY 10-6683                  ",,"(801)743-6474","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","6525 S STATE ST
MURRAY, UT 84107
(40.63031703200005, -111.88965485599999)",
,"SMITHS FOOD & DRUG CENTERS INC                                        ","SMITHS PHARMACY #48                     ",,"(435)637-0840","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","1075 E MAIN ST
PRICE, UT 84501
(39.59885540100004, -110.79403798099997)",
,"WALGREENS CO                                                          ","WALGREENS #7495                         ",,"(801)614-1263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","5554 S 1900 W
ROY, UT 84067
(41.16293049400008, -112.02599399199994)",
"Salt Lake City, UT","APRIA HEALTHCARE LLC                                                  ","APRIA HEALTHCARE LLC                    ",,"(435)882-4334","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","1","1","0","1","0","1","1","1","0","1","1","1","0","1","1","1","1","0","1","1","1","0","0","1","1","1","1","1","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","1","0","1","1","1","1","0","0","36N MAIN ST 4
TOOELE, UT 84074
(40.529786724000076, -112.29859997599999)",
,"THRIFTY PAYLESS INC                                                   ","RITE AID PHARMACY # 06146               ",,"(801)393-6044","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","851 24TH ST
OGDEN, UT 84401
(41.222582971000065, -111.95864081599996)",
,"SMITHS FOOD & DRUG CENTERS INC                                        ","SMITHS PHARMACY #47                     ",,"(801)942-2227","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","2039 E 9400 S
SANDY, UT 84093
(40.580457798000054, -111.832921108)",
,"SOUTHERN UTAH HOME OXYGEN & MEDICAL EQUIPMENT, INC.                   ","SOUTHERN UT HOME OXYGEN & MEDICAL E     ",,"(435)674-5488","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","640 E 700 S
ST GEORGE, UT 84770
(37.09623298500003, -113.56902033199998)","STE 102
,  "
