"service_type","agency_name","health_needs_targeted","street_address","mailing_address_if_different","phone","fax","website","e_mail","hours","description_of_services","fees","eligibility_requirements","area_served","non_english_languages","wheelchair_accessibility","none"
"Domestic Violence","Collene Quigley Women's Center","Domestic Violence Shelter","Price UT 84501",,"435-637-6589 24 hrs /crisis line",,,,"24 hours a day","Provide temporary housing for victims of domestic violence & their children. Shelter operations 24 hours a day, 7 days a week.  Education, support, referral, and individual counseling available. ","none","Call for eligibility requirements","Carbon and Emery counties and surrounding area",,,
"Hospitals/ Clinics","Green River Medical Center","Primary Medical and Dental Care, WIC","305 W Main        Green River UT  84525","PO Box 417      Green River UT  84525","435-564-3434","435-564-3214","http://www.auch.org/membership/cmsa.html",,"M,T,H, F 9:00am - 5:00pm;  W 10:00am - 7:00pm ","Primary health care including emergency care, WIC, well child clinic, immunizations, family planning, lab and x-ray.  Dental care, and Licensed Clinical Social Worker ( Four Corners Mental Health Outreach Clinic) ","Sliding Fee Scale","Must call for appointment for dental care and Licensed Clinical Social Worker services","Green River Area",,,
"Hospitals/ Clinics","Carbon Medical Service Association Helper","Primary Medical Care","125 S Main         Helper UT 84526",,"435-472-7000",,"http://www.auch.org/membership/cmsa.html",,"M-F 9:00am - 4:00pm","Primary Health Care including, Sports physicals, work/CDL physicals, family planning, bone density, pregnancy testing, pulmonary function testing, asthma treatment, blood work","Medicaid, Medicare, Private Insurance, self pay",,"Carbon county area",,"x",
"Hospitals/ Clinics","Castleview Hospital","Hospital Care (Life Points)","300 N Hospital Drive  Price UT  84501",,"435-637-4800",,"www.castleviewhospital.net","Access on web site"," 24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on services provided",,"Statewide","Yes","x",
"Hospitals/ Clinics","Community Nursing Service, Hospice","Home Health Nursing and Hospice","480 S Carbon Ave   Price UT  84501",,"435-617-8887 or toll free 1-877-613-8887","435-613-8890","www.cnsvna.org","Access on web site",,"Home Health Care, including rehab, home nursing, IV services, immunizations, home health education, Hospice Care","Dependant on services provided","Home health care must be ordered by attending physician","Carbon & Emery counties",,"x",
"Hospitals/ Clinics","Emery Medical","Primary Medical Care","90 W Main         Castle Dale UT  84513",,"435-381-2305",,,,"M&F 8:00am - 5:00pm;   T, W, & H 8:00am - 7:00pm; Sat 8:00am - 12:00om Emergency care available","Primary health care including emergency care, well child clinic, immunizations, family planning, lab and x-ray.","Sliding Fee Scale",,"Emery County Area",,"x",
"Hospitals/ Clinics","Emery County Care and Rehabilitation Center","Long-term Care and Rehabilitation Services","475 W Mill Road     Ferron UT 84523","PO Box 963         Ferron UT  84523","435-384-2301",,"http://www.emerycounty.com/care&rehab/index.htm",,"M-F 8:00am - 5:00pm","Long-term care including nursing home care, and long-term rehabilitation care","Dependant on services provided",,"Carbon and Emery counties and surrounding area","Spanish","x",
"Hospitals/ Clinics","College of Eastern Utah Health and Wellness Clinic","Primary and Reproductive Health Care","451 E 400 N SAC Bldg Room 117                Price UT  84501",,"435-613-5629",,"www.ceu.edu",,"M-H 9:00am - 4:00pm Closed for lunch 12:00pm - 1:00pm","Primary health services for students and community. Reproductive health care services including pap smears, pelvic exams, breast exams, STD testing, birth control. Lending library available.","Dependant on services provided",,"Carbon county ",,"x",
"Hospitals/ Clinics","Carbon Medical Service Association East Carbon","Primary Medical Care, Family Dental Van, WIC     ","305 Center Street  East Carbon UT  84520","PO Box 930       East Carbon UT  84520","435-888-4411","435-888-2270","http://www.auch.org/membership/cmsa.html",,"M-F 8:30am - 5:00pm  Emergency Care Available","Primary Health Care including, WIC, well child clinic, immunizations, hearing tests, family planning, lab & x-ray, and full service pharmacy, Family Dental Van ","Sliding Fee Scale",,"Carbon county area","Spanish","x",
"Hospitals/ Clinics","Rocky Mountain Home Care; Rocky Mountain Hospice","Home Health Nursing and Hospice","60 E 100 N           Price UT  84501",,"435-637-0665 Home Health     435-637-8070 Hospice",,,,"M-F 8:30am - 5:00pm  24 hour on call service available","Home Health Care, including rehab, home nursing, IV services, immunizations, home health education, Hospice Care","Dependant on services provided","Home health care must be ordered by attending physician","Carbon & Emery counties",,,
