"observationname","label","relatedsampleuri","otherid","sampledepth","measurementunits","sitelocationname","localityterms","county","latdegreewgs84","longdegreewgs84","srs","locationuncertaintystatement","samplecollectiondate","samplemeasurementdate","sampletype","sampleshape","sampledimensionsheight","sampledimensionswidth","sampledimensionslength","sampledimensionsunits","sampledensity","uncertaintydensity","sampledensityunits","laboratory","measurementdevice","measurementprocedure","measurementpressure","measurementpressureunits","sampletemperature","sampletemperatureunits","measurementduration","measurementdirection","measurementrun","bulkmixingformula","saturationfluid","saturatedsampleconductivity","drysampleconductivity","averagethermalconductivity","uncertaintytc","correctiontc","correctiondescription","unitstc","specificheat","uncertaintyspecificheat","specificheatunits","thermaldiffusivity","uncertaintythermaldiffusivity","unitsthermaldiffusivity","geologicformationname","geologicformationuri","geologicformationtype","datumelevation","elevation","permeability","unitspermeability","porosity","notes","metadatauri","source","location_1"
"Pavant Butte-1 EXP DB Depth Interval 1080-1230","Pavant Butte-1 EXP DB Depth Interval 1080-1230",,,"1230","Feet","Arco Pavant Butte-1 Oil Exploration Well","Black Rock Desert","Millard","39.12415","-112.604","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:17:00.000","1970-01-01T04:26:00.000","Cuttings","Cylinder","1.83","3.9870000000000001",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84223","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","9.7344439999999999","C","12.5",,"1",,"Tap Water","1.23",,"3.41","±10%",,,"W/(m·K)",,,,,,,"Miocene-Pliocene Sediments",,"Claystone","MSL","4595",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-3 NP Depth Interval 260-270","PA-3 NP Depth Interval 260-270",,,"270","Feet","UGS Pavant Area-3 Thermal Gradient Well","Black Rock Desert","Millard","39.271830000000001","-112.636","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:26:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.4359999999999999","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4588",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Gronning-1 EXP DB Depth Interval 7950-7990","Gronning-1 EXP DB Depth Interval 7950-7990",,,"7990","Feet","Gulf Oil Gronning-1 Oil Exploration Well","Black Rock Desert","Millard","39.416640000000001","-112.69199999999999","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1969-12-31T22:48:00.000","1970-01-01T04:24:00.000","Cuttings","Cylinder","1.8","3.9969999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84225","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.",,,"12.5",,"1",,"Tap Water",,,"2.9039999999999999","±10%",,,"W/(m·K)",,,,,,,"Lower Tertiary  Sediments and Volcanics",,"Sandstone | Siltstone |Claystone | Conglomerate","MSL","4590",,,,"Sample Collection Date Approximate | Sample Measurement Date Approximate | Cell Dimensions Approximate | Sample Temperature Not Available | Saturated Sample Conductivity Not Available | Porosity Not Available",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-7A NP Depth Interval 450-460","PA-7A NP Depth Interval 450-460",,,"460","Feet","UGS Pavant Area-7A Thermal Gradient Well","Black Rock Desert","Millard","38.864069999999998","-112.70699999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:26:00.000","1970-01-01T04:26:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.2949999999999999","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4779",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-1 NP Depth Interval 270-280","PA-1 NP Depth Interval 270-280",,,"280","Feet","UGS Pavant Area-1 Thermal Gradient Well","Black Rock Desert","Millard","39.500050000000002","-112.68899999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:25:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.137","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4579",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"State of Utah E1 EXP DB Depth Interval 540-630","State of Utah E1 EXP DB Depth Interval 540-630",,,"630","Feet","Amoco State of Utah E1 Oil Exploration Well","Great Salt Lake","Davis","40.979170000000003","-112.349","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:06:00.000","1970-01-01T04:27:00.000","Cuttings","Cylinder","1.883","3.9769999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84168","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","9.6715870000000006","C","12.5",,"1",,"Tap Water","1.4",,"3.55","±10%",,,"W/(m·K)",,,,,,,"Quaternary",,"Unknown","MSL","4201",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-1 DB Depth Interval 230-240","PA-1 DB Depth Interval 230-240",,,"240","Feet","UGS Pavant Area-1 Thermal Gradient Well","Black Rock Desert","Millard","39.500050000000002","-112.68899999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:26:00.000","Cuttings","Cylinder","1.8","3.9620000000000002",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","9.7320630000000001","C","12.5",,"2",,,"1.2544500000000001",,"1.2544500000000001","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4579",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-3 NP Depth Interval 240-250","PA-3 NP Depth Interval 240-250",,,"250","Feet","UGS Pavant Area-3 Thermal Gradient Well","Black Rock Desert","Millard","39.271830000000001","-112.636","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:26:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.407","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4588",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-7A NP Depth Interval 480-490","PA-7A NP Depth Interval 480-490",,,"490","Feet","UGS Pavant Area-7A Thermal Gradient Well","Black Rock Desert","Millard","38.864069999999998","-112.70699999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:26:00.000","1970-01-01T04:26:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.1220000000000001","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4779",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"State of Utah E1 EXP DB Depth Interval 320-380","State of Utah E1 EXP DB Depth Interval 320-380",,,"380","Feet","Amoco State of Utah E1 Oil Exploration Well","Great Salt Lake","Davis","40.979170000000003","-112.349","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:06:00.000","1970-01-01T04:27:00.000","Cuttings","Cylinder","1.78","4",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84167","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","9.7249210000000001","C","12.5",,"1",,"Tap Water","1.25",,"3.09","±10%",,,"W/(m·K)",,,,,,,"Quaternary",,"Unknown","MSL","4201",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
