"service_type","agency_name","health_needs_targeted","street_address","phone","fax","website","e_mail","hours","description_of_services","fees","eligibility_requirements","area_served","non_english_languages","wheelchair_accessibility","none"
,"Mountain View Hospital","Hospital Care","1000 E 100 N        Payson UT 84651","801-465-7000","435-465-7170","http://www.mvhpayson.com/","Access on web site","24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on services provided",,"Statewide","Yes","x",
,"Utah Valley Regional Medical Center","Hospital Care","1034 N 500 W       Provo UT 84604","801-357-7850",,"http://intermountainhealthcare.org/xp/public/uvrmc/","Access on web site","24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on Services Provided",,"Statewide","Yes","x",
,"Intermountain Healthcare Home Health","Home Health Nursing and Hospice","1165 S 800 E          Orem UT 84097","801-225-0597","801-226-6286","http://www.intermountainhealthcare.org","Access on web site","M-F 8:00am - 5:00pm; Sat 10:00am - 1:00pm","Home Health care services ","Dependant on Services Provided","Must be referred by attending physician","Utah county area","yes","x",
,"Family Support and Treatment Center","Counseling and Parenting classes ","1255 N 1200 W      Orem UT 84057","801-229-1181","801-229-2187","http://www.utahvalleyfamilysupport.org/","fstc@unitedwayuc.org ",,"Counseling services for individuals, couples, and families, Parenting classes and education, Referral and Prevention information.  Crisis Nursery available.","Sliding Fee Scale",,"Utah County Area",,,
,"Utah State Hospital","Mental health hospital services","1300 E Center St     Provo UT 84603","801-344-4400","801-344-4225","http://www.ush.utah.gov/","jgierisch@utah.gov",,"Serves range of mental health care services, inpatient care facilities for adults and children.  ","Dependant on Services Provided","See web site for eligibility requirements. ","Statewide","yes","x",
,"Rise, Inc. ","Services for People with Disabilities and their families","1358 W Business Park Orem UT 84058","801-373-1197","801-373-1198","http://www.riseinc.net/","letusknow@utahrise.com",,"Provide support and services to adults and children with developmental disabilities and their families",,"Eligibility determined through the Department of Human Services, Division of Services for People with Disabilities","Utah county and surrounding area","yes","x",
,"Division of Services for People with Disabilities (DSPD) Provo ","Children and Adults with qualifying disabilities","150 E Center St              Provo UT 84606","801-374-7005","801-374-7638","http://www.hsdspd.state.ut.us",,,"Assistance for Children and Adults with qualifying disabilities",,,"Utah county area",,"x",
"People With Disabilities","Division of Rehabilitation Services (Voc Rehab) Provo","Assistance for individuals with disabilities","150 E Center St      Suite 3300             Provo UT 84606-3106","801-374-7721 or 1-800-662-6539 Voice/TTY",,"http://www.usor.utah.gov",,,"Assist individuals with disabilities to prepare for and obtain employment and increase their independence",,"Eligibility for services determined at intake procedure, guidelines for eligibility on website","Utah county area",,"x",
"Local Health Department","Utah County Health Department Provo","Public Health","151 South University  Provo UT  84601","801-851-7000",,"http://www.co.utah.ut.us/dept/health/",,,"Baby your Baby, Cancer Screening, Diabetes, Immigration Physicals, Immunizations, Infant Development, Infectious Disease Control, School Health, Well Child physicals, WIC, Family Health, Cholesterol Screening, Blood Pressure Checks & Adult Physical Exams, Substance Abuse, Prevention Counseling and Treatment","Dependant on Services Provided",,"Utah County Area",,"x",
,"Project Reality","Comprehensive outpatient substance abuse treatment","151 S University Ave #1400                    Provo UT 84606","801-851-7118","801-851-7102","http://www.projectreality.net/","Access on web site",,"Outpatient individualized psychosocial and medical services for opiate dependent adults. Urinalysis Lab open to public for drug screening. Methadone Clinic. HIV testing and counseling.","Dependent on services provided, sliding fee scale","Varies according to service, call for intake appointment","Utah county","Spanish","x",
,"Volunteer Care Clinic","Primary Medical Care","151 S University Ave Rm 1709                     Provo UT 84601","801-812-8094 English; 801-812-8597 Spanish",,,,,"Primary family health care",,,"Utah county area",,,
,"Orem       ","Women, Infant, Children, WIC","1549 N State Ste #104 Orem UT 84057-2579","801-851-7340",,,,,"WIC clinic",,,,,"x",
"Mental Health/ Counseling","Alpine House ","Transitional housing for mentally ill adults","156 S 300 W        Provo UT  84601","801-373-9042",,"http://www.unitedwayucv.org/org/1415864.html",,,"Transitional housing for adults with mental illness. ","Sliding fee scale","Eligibility requirements determined by Wasatch Mental Health. Refer to listing.",,,"x",
"Hospitals/ Clinics","American Fork Hospital","Hospital Care","170 N 1100 E        American Fork UT 84003","801-855-3300",,"http://intermountainhealthcare.org/xp/public/americanfork/","Access on web site","24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on services provided",,"Statewide","Yes","x",
,"House of Hope","Substance Abuse and Mental Health services for Women with children","1726 S Buckley Lane   Provo UT 84606","801-373-6562",,"http://www.uafut.org/","Access on web site",,"Substance abuse and mental health services; residential and day treatment for women who are pregnant, have children, or are working to get children back.   ","Sliding fee scale. Self pay, Private insurance, Medicaid accepted","Eligibility requirements outlined on web site","Utah county and surrounding area",,,
"Domestic Violence","The Center for Women and Children in Crisis","Domestic Violence Shelter","1736 Riverside Ave         Provo UT 84064","801-374-9351 or 24 hour crisis line 801-377-5500",,"http://www.cwcic.org/",,,"Provide temporary housing for victims of domestic violence & their children. Shelter operations 24 hours a day, 7 days a week.  Education, support, referral, and individual counseling available.",,"Call for eligibility requirements","Utah county area",,,
,"Vet Center of Provo","Counseling and outreach services for veterans and their families","1807 N 1120 W      Provo UT 84604","801-377-1117","801-377-0227","http://www.vetcenter.va.gov/",,"M-F 8:00am - 4:30pm","Counseling, information's and referrals, and outreach services for veterans and their significant others.","none","War zone veterans or veterans who have experienced sexual assault or harassment. Services denied for dishonorable discharges.","Northern Utah",,"yes",
"Pregnancy   (Also see Hospitals/Clinics)","Planned Parenthood Association of Utah  Orem ","Sexual and Reproductive Health Care Services","1842 S Columbia Ln Orem UT 84097","801-226-5246",,"http://www.plannedparenthood.com/utah",,"M 9:00am - 6:00pm      T 9:00am - 6:00pm        W 11:00am-7:00pm     H 9:00am - 5:00pm        F 10:00am-5:00pm","Birth Control and Pregnancy, Reproductive and Sexual health care, Family planning,  Education and Information resources and referrals","Dependant on services provided",,"Utah county and surrounding area",,,
,"Intermountain Specialized Abuse Treatment Center (ISAT)","Mental Health and Substance Abuse Services","1868 N 1120 W       Provo UT 84604","801-373-0210",,"http://www.isatcenter.org/","valcarbe@earthlink.net. ",,"Counseling for individuals, couples, families and group therapy. Outpatient Substance Abuse treatment, including adolescents, DUI/DWI offenders, Domestic Violence Victims and Offenders.",,"Eligibility determined at initial assessment","Utah county and surrounding area",,,
