"agency_number","agency_name","count_of_current_employees","job_title","job_min_hourly_rate","job_max_hourly_rate"
"11","Senate","1","CHIEF DEPUTY OF THE SENATE","30.80","71.41"
"11","Senate","1","DIRECTOR, LEGISLATIVE ETHICS COMMISSION","0.00","0.01"
"11","Senate","1","DIRECTOR, POLITICAL SUBDIVISIONS ETHICS COMMISSION","0.00","0.01"
"11","Senate","52","LEGISLATIVE SESSION WORKER","0.00","30.00"
"11","Senate","1","LEGIS SECRETARY IV","11.60","26.90"
"11","Senate","1","LEGIS SYST ANALYST/COMPUTER SPEC I","18.90","45.03"
"11","Senate","1","MANAGER OF SENATE SERVICES","15.64","33.41"
"11","Senate","1","SECRETARY OF THE SENATE","21.64","38.47"
"11","Senate","6","SENATE CONSTITUENT RESPONSE STAFF","7.25","22.00"
"11","Senate","32","SENATOR","10.00","99.99"
"12","House of Representatives","1","CHIEF CLERK, HOUSE OF REPRESENTATIVES","26.17","70.00"
"12","House of Representatives","1","CHIEF OF STAFF, HOUSE OF REPRESENTATIVES","36.25","70.00"
"12","House of Representatives","1","CONSTITUENT SERVICES SPECIALIST, HOUSE OF REP","0.00","35.00"
"12","House of Representatives","1","DEPUTY CHIEF OF STAFF, HOUSE OF REPRESENTATIVES","25.00","45.00"
"12","House of Representatives","1","DIRECTOR OF COMMUNICATIONS & CONSTITUENT SERVICES","15.00","45.00"
"12","House of Representatives","1","HOUSE ADMINISTRATIVE ASSISTANT","16.07","35.00"
"12","House of Representatives","1","HOUSE LEADERSHIP MINORITY ASSISTANT","16.50","30.00"
"12","House of Representatives","1","HOUSE MAJORITY CAUCUS COMMUNICATIONS DIRECTOR","0.00","35.00"
"12","House of Representatives","52","LEGISLATIVE SESSION WORKER","0.00","30.00"
"12","House of Representatives","73","REPRESENTATIVE","12.50","99.99"
"13","Legislative Printing","1","LEGIS PRINTING & GRAPHICS SUPERVISOR","20.50","35.27"
"13","Legislative Printing","1","LEGIS PRINTING SPECIALIST","17.89","30.80"
"13","Legislative Printing","1","LEGIS PUBLICATIONS SPECIALIST","14.81","24.79"
"13","Legislative Printing","1","OFFICE MANAGER, LEGIS PRINTING/BILLROOM","17.89","29.97"
"14","Leg Research & General Counsel","1","INTERN II","7.52","17.00"
"14","Leg Research & General Counsel","1","LEGIS ADMIN ASST III","17.89","30.80"
"14","Leg Research & General Counsel","1","LEGIS DIRECTOR","43.82","67.64"
"14","Leg Research & General Counsel","2","LEGIS DOCUMENT TECH II","13.28","30.00"
"14","Leg Research & General Counsel","1","LEGIS DOCUMENT TECH IV","17.41","35.00"
"14","Leg Research & General Counsel","4","LEGIS INFORMATION STAFF I","13.00","26.89"
"14","Leg Research & General Counsel","1","LEGIS IT STAFF I","13.28","23.48"
"14","Leg Research & General Counsel","1","LEGIS IT STAFF II","17.41","30.80"
"14","Leg Research & General Counsel","5","LEGIS IT STAFF III","23.09","48.62"
"14","Leg Research & General Counsel","1","LEGISLATIVE ASSISTANT DIRECTOR","45.03","67.64"
"14","Leg Research & General Counsel","16","LEGISLATIVE ASSOCIATE GENERAL COUNSEL","20.50","67.64"
"14","Leg Research & General Counsel","1","LEGISLATIVE DEPUTY GENERAL COUNSEL","45.03","69.50"
"14","Leg Research & General Counsel","1","LEGISLATIVE GENERAL COUNSEL","45.03","69.50"
"14","Leg Research & General Counsel","1","LEGISLATIVE INFORMATION STAFF III","17.41","50.00"
"14","Leg Research & General Counsel","1","LEGISLATIVE IT MANAGER","29.97","67.64"
"14","Leg Research & General Counsel","1","LEGISLATIVE MANAGING POLICY ANALYST","29.97","67.64"
"14","Leg Research & General Counsel","14","LEGISLATIVE POLICY ANALYST","17.41","59.06"
"14","Leg Research & General Counsel","2","LEGISLATIVE RESEARCH ASSISTANT","13.00","25.00"
"14","Leg Research & General Counsel","1","LEGIS LAW CLERK II","15.22","26.00"
"14","Leg Research & General Counsel","2","LEGIS PARALEGAL V","19.95","36.25"
"14","Leg Research & General Counsel","1","LEGIS RECEPTIONIST/SECRETARY","9.33","28.00"
"14","Leg Research & General Counsel","2","LEGIS SECRETARY II","10.41","30.00"
"14","Leg Research & General Counsel","5","LEGIS SECRETARY III","14.81","30.00"
"14","Leg Research & General Counsel","93","LEGIS SESSION INTERN","0.00","0.00"
"15","Leg Fiscal Analyst","4","BOARD/COMMISSION MEMBER","0.00","0.00"
"15","Leg Fiscal Analyst","1","CHIEF ECONOMIST","38.30","61.90"
"15","Leg Fiscal Analyst","1","DEP DIRECTOR, FISCAL ANALYST","40.20","65.00"
"15","Leg Fiscal Analyst","1","DIRECTOR, LEGISLATIVE FISCAL ANALYST","42.20","68.30"
"15","Leg Fiscal Analyst","1","FISCAL NOTE COORDINATOR","25.70","43.30"
"15","Leg Fiscal Analyst","1","INFORMATION TECHNOLOGY MANAGER","31.00","52.99"
"15","Leg Fiscal Analyst","1","LEGIS FISCAL ANALYST I","19.95","30.80"
"15","Leg Fiscal Analyst","1","LEGIS FISCAL ANALYST III","22.20","34.90"
"15","Leg Fiscal Analyst","3","LEGIS FISCAL ANALYST IV","23.30","37.50"
"15","Leg Fiscal Analyst","2","LEGIS FISCAL ANALYST V","24.50","40.30"
"15","Leg Fiscal Analyst","1","LEGIS FISCAL ANALYST VI","25.70","45.00"
"15","Leg Fiscal Analyst","1","LEGIS FISCAL MANAGER","38.30","61.90"
"15","Leg Fiscal Analyst","1","LEGIS IT STAFF III","23.09","48.62"
"15","Leg Fiscal Analyst","1","LEGISLATIVE SESSION WORKER","0.00","30.00"
"15","Leg Fiscal Analyst","2","LEGIS SECRETARY IV","11.60","26.90"
"15","Leg Fiscal Analyst","1","SENIOR ECONOMIST","32.00","45.00"
"15","Leg Fiscal Analyst","1","SENIOR STATISTICIAN","32.00","40.00"
"16","Leg Auditor General","2","LEGIS AUDIT MGR","38.30","67.64"
"16","Leg Auditor General","1","LEGIS AUDITOR GENERAL","39.32","75.37"
"16","Leg Auditor General","1","LEGIS DEPUTY AUDITOR GENERAL","40.20","67.64"
"16","Leg Auditor General","1","LEGISLATIVE ADMINISTRATIVE ASSISTANT V","19.95","33.50"
"16","Leg Auditor General","1","LEGISLATIVE REPORT REFERENCE/EDITOR/AUDITOR","19.95","43.95"
"16","Leg Auditor General","3","LEGIS LEAD AUDITOR","22.84","43.81"
"16","Leg Auditor General","1","LEGIS  PERF AUDITOR I","18.40","27.64"
"16","Leg Auditor General","4","LEGIS PERF AUDITOR II","17.89","26.87"
"16","Leg Auditor General","4","LEGIS PERF AUDIT SUPV I","25.46","48.83"
"16","Leg Auditor General","4","LEGIS PERF AUDIT SUPV II","26.88","57.87"
"16","Leg Auditor General","3","LEGIS SR PERF AUDITOR I","18.90","32.49"
"16","Leg Auditor General","3","LEGIS SR PERF AUDITOR II","19.95","34.30"
"20","Judicial Branch","3","ACCOUNTING TECHNICIAN II","11.51","17.29"
"20","Judicial Branch","1","ACCOUNTING TECHNICIAN III","12.84","19.28"
"20","Judicial Branch","5","ADMINISTRATIVE ASSISTANT I","14.37","21.78"
"20","Judicial Branch","9","ADMINISTRATIVE ASSISTANT II","16.02","24.29"
"20","Judicial Branch","1","ADMINISTRATIVE SUPPORT SPECIALIST","14.71","22.08"
"20","Judicial Branch","2","APPELLATE CLERK OF COURT","23.95","35.98"
"20","Judicial Branch","1","APPELLATE COURT ADMIN","34.08","51.20"
"20","Judicial Branch","6","APPELLATE COURT JUDGE","0.00","0.00"
"20","Judicial Branch","4","APPELLATE JUDICIAL ASSISTANT","15.11","22.68"
"20","Judicial Branch","1","APPELLATE MEDIATOR","1.00","75.00"
"20","Judicial Branch","2","APPLICATION DEVELOPER I","20.35","35.98"
"20","Judicial Branch","1","APPLICATION DEVELOPER II","23.31","35.98"
"20","Judicial Branch","8","APPLICATION DEVELOPER III","27.43","47.20"
"20","Judicial Branch","2","APPLICATION SERVICES MANAGER","34.08","51.20"
"20","Judicial Branch","2","ASSISTANT JUVENILE COURT ADMININSTRATOR","27.43","41.21"
"20","Judicial Branch","1","ASST COURT ADMINISTRATOR","35.98","54.06"
"20","Judicial Branch","12","ATTORNEY/LAW CLERK","25.48","35.98"
