"type","name","po_box","phone","contact","title","location_1"
"Holding Companies","Pitney Bowes Global Fin. Services",,"203-922-6801","Michael J. Johnston","Asst Director State Income Tax","27 WATERVIEW DR
SHELTON, CT 6484
(41.29651337300004, -73.08286706299998)"
"State Industrial Banks","GE Capital Bank",,"801-733-2820","Scott E. Roberts","President","6510 MILLROCK RD
HOLLADAY, UT 84121
(40.63283271200004, -111.80045628299996)"
"State Banks","Town & Country Bank",,"435-673-1150","Bruce T. Jensen","President","405 E ST. GEORGE BLVD
ST. GEORGE, UT 84770-2958
(37.109938225000064, -113.57436000599995)"
"Holding Companies","AmBancorp",,"801-377-4222","Leonel E. Castillo","President/CEO","3670 N UNIVERSITY AVE
PROVO, UT 84604
(40.282455827000035, -111.65840572299999)"
"Federal Credit Unions","Moon Lake Electric Emp. Federal CU","PO BOX 278","435-722-5442","Karen Secrest","President","188 W 200 N
ROOSEVELT, UT 84066
(40.30209976000003, -110.00120544899994)"
"State Industrial Banks","WEX Bank",,"801-568-4345","Kirk S. Weiler","President","7090 S UNION PARK CENTER STE 350
MIDVALE, UT 84047
(40.62264514000003, -111.85712478799996)"
"Federal Credit Unions","Eastern Utah Community Federal CU","PO BOX 719","435-637-2443","Michael S. Milovich","President","675 E 100 N
PRICE, UT 84501-0719
(39.601037844000075, -110.79845089099996)"
"Holding Companies","Continental Bancorporation",,"801-595-7000","Vincent Merrill","CFO","15 W S TEMPLE STE 420
SALT LAKE CITY, UT 84101
(40.76925531900008, -111.89160418899996)"
"Holding Companies","Marlin Business Services Corp.",,"888-479-9111","Ed Dietz","General Counsel","300 FELLOWSHIP RD
MOUNT LAUREL, NJ 8054
(39.94693325600008, -74.95015357099999)"
"State Credit Unions","Members First Credit Union","PO BOX 657","435-723-5231","Brad Barber","President","120 E 1000 S
BRIGHAM CITY, UT 84302-0657
(41.48883266400003, -112.01476039699998)"
"State Banks","Central Bank",,"801-375-1000","Matt C. Packard","President","75 N UNIVERSITY AVE
PROVO, UT 84601
(40.23468107100007, -111.65872605699997)"
"State Industrial Banks","Comenity Capital Bank",,"801-527-2272","Ron Ostler","President","2795 E COTTONWOOD PARKWAY STE 100
SALT LAKE CITY, UT 84121
(40.63258818000003, -111.81298087099998)"
"National Banks","Zions First National Bank",,"801-974-8800","A. Scott Anderson","President","ONE S MAIN ST
SALT LAKE CITY, UT 84111-1923
(40.76920312900006, -111.89095011299997)"
"State Credit Unions","Valtek Credit Union","PO BOX 2200","801-489-2430","Richard A. Nelson","President","1350 N MTN SPRINGS PARKWAY
SPRINGVILLE, UT 84663-0903
(40.18663967800006, -111.63092894599998)"
"Federal Savings Associations","American Express Bank, FSB",,"801-945-5000","Douglas H. Short, III","President & CEO","4315 S 2700 W
SALT LAKE CITY, UT 84119
(40.67685078100004, -111.95794483699996)"
"Federal Credit Unions","Mountain America Federal CU",,"801-325-6228","Sterling W. Nielsen","President","7181 S CAMPUS VIEW DR
WEST JORDAN, UT 84084
(40.62099737700004, -111.98405208699995)"
"State Banks","Holladay Bank & Trust","PO BOX 17576","801-272-4275","Katie Spratling","President","2020 E 4800 S
SALT LAKE CITY, UT 84117-0576
(40.66680248500006, -111.87829862499996)"
"State Credit Unions","Holly Frontier Employees Cr. Union","PO BOX 666","801-298-1024","Megan Natress","President","876 W HERITAGE POINT LN
WEST BOUNTIFUL, UT 84010
(40.89847448800003, -111.90436644899995)"
