Reporting_Period,Provider_Organization_Name__Legal_Business_Name_,Provider_Other_Organization_Name,Measure_Description,Rate,# of Patients who received appropriate treatment,Total # of patients who were treated,Coordinates,Practice_City_Name,Provider_Postal_Code,Billing_NPI,Counties (New),Municipalities,Zip Codes,School Districts,Health Small Statistical Areas2014 Shp,Utah House Districts
2016,BASIN MEDICAL CLINIC LLC,,Antidepressant Medication Management - Acute Phase Treatment,73.00,47,64,"379 NORTH 500 WEST
VERNAL, UT 84078
(40.460728, -109.538161)",VERNAL,84078,1396838918,10,141,178,29,54,51
2016,"BRIGHAM MEDICAL CLINIC, INC.",,Antidepressant Medication Management - Acute Phase Treatment,38.00,16,42,"600 W HOSPITAL RD
BRIGHAM CITY, UT 843023006
(41.490495, -112.02489)",BRIGHAM CITY,843023006,1922119528,14,16,159,2,1,1
2016,IHC HEALTH SERVICES INC,UVRMC PHYSICIANS BILLING,Antidepressant Medication Management - Acute Phase Treatment,59.00,10,17,"1034 N 500 W
PROVO, UT 846043380
(40.248084, -111.667383)",PROVO,846043380,1477678589,5,204,221,31,48,60
2016,IHC HEALTH SERVICES INC,BEAR RIVER FAMILY MEDICINE,Antidepressant Medication Management - Acute Phase Treatment,22.00,4,18,"420 W 600 N
TREMONTON, UT 843372400
(41.718815, -112.171807)",TREMONTON,843372400,1487853826,14,9,143,2,2,1
2016,WASATCH PEAK FAMILY PRACTICE INC,,Antidepressant Medication Management - Acute Phase Treatment,47.00,15,32,"1580 W ANTELOPE DR
LAYTON, UT 840411160
(41.089254, -111.994523)",LAYTON,840411160,1790998359,22,233,103,6,10,6
2016,IHC HEALTH SERVICES INC,SYRACUSE CLINIC,Antidepressant Medication Management - Acute Phase Treatment,73.00,8,11,"745 SOUTH 2000 WEST
SYRACUSE, UT 84075
(41.103079, -112.064575)",SYRACUSE,84075,1245471705,22,47,104,6,12,6
2016,"CENTRAL UTAH CLINIC, P.C.",REVERE HEALTH,Antidepressant Medication Management - Acute Phase Treatment,61.00,448,732,"1055 N 500 W
PROVO, UT 846043305
(40.247986, -111.667382)",PROVO,846043305,1093764805,5,204,221,31,48,60
2016,,,Antidepressant Medication Management - Acute Phase Treatment,68.00,26,38,"2295 FOOTHILL DR
SALT LAKE CITY, UT 841094000
(40.721445, -111.811779)",SALT LAKE CITY,841094000,1700811023,26,220,112,19,27,21
2016,"COMMUNITY HEALTH CENTERS, INC",,Antidepressant Medication Management - Acute Phase Treatment,64.00,16,25,"220 W 7200 S
MIDVALE, UT 840471043
(40.620659, -111.898164)",MIDVALE,840471043,1952505117,26,244,92,23,32,39
2016,AFTER HOURS MEDICAL LLC,MEDALLUS MEDICAL,Antidepressant Medication Management - Acute Phase Treatment,47.00,57,121,"1126 E 12300 S
DRAPER, UT 840209095
(40.528354, -111.858711)",DRAPER,840209095,1437251279,26,224,51,23,42,26
2016,RIVERTON FAMILY HEALTH CENTER LLC,,Antidepressant Medication Management - Acute Phase Treatment,78.00,28,36,"1756 PARK AVE
RIVERTON, UT 840654701
(40.519069, -111.940551)",RIVERTON,840654701,1932285186,26,223,50,22,42,36
2016,IHC HEALTH SERVICES INC,INTERMOUNTAIN SUNSET FAMILY MEDICINE,Antidepressant Medication Management - Acute Phase Treatment,67.00,10,15,"1739 W SUNSET BLVD
ST. GEORGE, UT 84770
(37.122705, -113.620573)",ST. GEORGE,84770,1942408422,8,159,195,34,59,73
2016,EXODUS HEALTHCARE NETWORK PLLC,THE MAGNA CENTER FOR FAMILY MEDICINE,Antidepressant Medication Management - Acute Phase Treatment,54.00,119,221,"3665 S 8400 W
MAGNA, UT 840444907
(40.693116, -112.091813)",MAGNA,840444907,1306952783,26,,75,21,15,15
