"location_1","county","geoid","unemployment_rate","median_household_income","gini_index","below_poverty_level","below_poverty_level_male","below_poverty_level_male_under_5_years","below_poverty_level_male_5_years","below_poverty_level_male_6_to_11_years","below_poverty_level_male_12_to_14_years","below_poverty_level_male_15_years","below_poverty_level_male_16_and_17_years","below_poverty_level_male_18_to_24_years","below_poverty_level_male_25_to_34_years","below_poverty_level_male_35_to_44_years","below_poverty_level_male_45_to_54_years","below_poverty_level_male_55_to_64_years","below_poverty_level_male_65_to_74_years","below_poverty_level_male_75_years_and_over","below_poverty_level_female","below_poverty_level_female_under_5_years","below_poverty_level_female_5_years","below_poverty_level_female_6_to_11_years","below_poverty_level_female_12_to_14_years","below_poverty_level_female_15_years","below_poverty_level_female_16_and_17_years","below_poverty_level_female_18_to_24_years","below_poverty_level_female_25_to_34_years","below_poverty_level_female_35_to_44_years","below_poverty_level_female_45_to_54_years","below_poverty_level_female_55_to_64_years","below_poverty_level_female_65_to_74_years","below_poverty_level_female_75_years_and_over","at_or_above_poverty_level","at_or_above_poverty_level_male","at_or_above_poverty_level_male_under_5_years","at_or_above_poverty_level_male_5_years","at_or_above_poverty_level_male_6_to_11_years","at_or_above_poverty_level_male_12_to_14_years","at_or_above_poverty_level_male_15_years","at_or_above_poverty_level_male_16_and_17_years","at_or_above_poverty_level_male_18_to_24_years","at_or_above_poverty_level_male_25_to_34_years","at_or_above_poverty_level_male_35_to_44_years","at_or_above_poverty_level_male_45_to_54_years","at_or_above_poverty_level_male_55_to_64_years","at_or_above_poverty_level_male_65_to_74_years","at_or_above_poverty_level_male_75_years_and_over","at_or_above_poverty_level_female","at_or_above_poverty_level_female_under_5_years","at_or_above_poverty_level_female_5_years","at_or_above_poverty_level_female_6_to_11_years","at_or_above_poverty_level_female_12_to_14_years","at_or_above_poverty_level_female_15_years","at_or_above_poverty_level_female_16_and_17_years","at_or_above_poverty_level_female_18_to_24_years","at_or_above_poverty_level_female_25_to_34_years","at_or_above_poverty_level_female_35_to_44_years","at_or_above_poverty_level_female_45_to_54_years","at_or_above_poverty_level_female_55_to_64_years","at_or_above_poverty_level_female_65_to_74_years","at_or_above_poverty_level_female_75_years_and_over"
"
Brian Head, Utah 
(37.69802, -112.845146)","Iron","16000US4908020",,"63750","0.37130000000000002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","27","0","0","0","5","0","4","4","0","5","0","9","0","0","11","0","0","0","0","0","0","0","0","5","0","0","6","0"
"
La Sal, Utah 
(38.31125, -109.256455)","San Juan","16000US4943110",,"14929","0.40079999999999999","95","28","28","0","0","0","0","0","0","0","0","0","0","0","0","67","0","0","0","0","0","0","0","35","0","0","32","0","0","105","60","0","0","0","0","0","0","0","0","34","26","0","0","0","45","0","0","0","0","0","0","0","0","0","45","0","0","0"
"
Mexican Hat, Utah 
(37.151221, -109.867214)","San Juan","16000US4949380",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49","33","0","0","0","0","0","0","0","0","0","33","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","16","0"
"
Wolf Creek, Utah 
(41.324502, -111.828422)","Morgan","16000US4984950",,"75859","0.3377","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","50","0","0","802","404","16","14","42","31","0","0","0","48","25","68","74","86","0","398","11","0","0","5","0","0","0","37","95","98","138","14","0"
"
Peoa, Utah 
(40.724841, -111.341663)","Summit","16000US4959280",,"46964","0.249","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","7","0","0","0","0","169","64","0","0","0","0","0","0","0","33","7","0","0","24","0","105","51","0","0","0","0","0","0","19","12","0","13","10","0"
"
Sterling, Utah 
(39.19493, -111.692542)","Sanpete","16000US4972940",,"50000","0.3458","6","1","0","0","0","0","0","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","5","0","0","304","154","16","3","21","1","7","0","6","15","25","9","17","20","14","150","10","10","26","12","0","0","6","30","11","7","12","19","7"
"
West Wood, Utah 
(39.605294, -110.839024)","Salt Lake","16000US4983730",,"95625","0.3075","32","10","0","0","0","0","0","0","0","0","0","0","10","0","0","22","0","0","0","0","0","0","0","0","0","0","10","0","12","673","348","37","0","28","18","0","6","41","18","63","32","86","13","6","325","0","0","29","26","0","0","58","15","35","69","70","23","0"
"
Garland, Utah 
(41.74002, -112.162571)","Box Elder","16000US4928150",,"48906","0.32040000000000002","503","257","20","8","65","30","7","0","6","55","37","10","2","5","12","246","34","13","54","16","0","8","9","70","14","9","4","11","4","1945","1034","94","39","124","70","14","42","77","145","130","98","100","69","32","911","78","20","110","56","20","37","62","133","107","103","57","78","50"
"
Whiterocks, Utah 
(40.470041, -109.930426)","Uintah","16000US4984160",,"32500","0.2883","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","27","0","0","0","258","96","23","15","0","17","0","23","0","18","0","0","0","0","0","162","22","0","36","0","0","0","23","40","38","0","0","3","0"
"
Duchesne, Utah 
(40.165711, -110.401367)","Duchesne","16000US4920340",,"48750","0.41210000000000002","198","57","6","3","6","6","0","0","7","12","0","9","4","4","0","141","17","0","19","0","12","5","10","23","0","20","4","23","8","1837","955","100","10","94","46","10","45","136","112","96","158","43","55","50","882","48","51","67","64","5","56","90","68","85","167","69","75","37"
"
Blanding, Utah 
(37.623961, -109.477996)","San Juan","16000US4906370",,"48993","0.3785","565","258","22","12","86","28","0","9","51","14","0","23","8","5","0","307","46","0","86","8","0","30","27","26","32","29","10","0","13","2727","1400","164","50","109","120","28","85","156","176","145","136","67","117","47","1327","73","23","140","91","12","42","111","195","137","185","143","104","71"
"
Mapleton, Utah 
(40.134078, -111.582313)","Utah","16000US4947950",,"86196","0.4118","393","169","8","21","17","17","0","11","7","35","19","4","26","4","0","224","3","12","41","20","0","4","51","46","20","12","15","0","0","7855","4182","507","93","637","339","24","165","302","362","507","449","359","262","176","3673","293","43","503","227","120","150","295","353","438","427","323","388","113"
"
Tooele, Utah 
(40.534265, -112.298452)","Tooele","16000US4976680","5.5","54183","0.36309999999999998","3075","1452","253","0","203","85","0","29","223","297","172","60","61","14","55","1623","120","64","216","0","20","28","215","376","214","204","80","17","69","28623","14183","1134","224","1790","872","292","490","1192","2103","1934","1635","1372","794","351","14440","1335","59","1717","1017","239","563","1143","1839","2356","1498","1472","653","549"
"
Fort Duchesne, Utah 
(40.28809, -109.859108)","Uintah","16000US4926610",,"28456","0.50839999999999996","325","117","49","0","36","0","0","0","9","23","0","0","0","0","0","208","32","41","33","0","0","4","0","67","23","0","0","8","0","485","255","29","0","21","0","0","0","8","70","69","16","29","13","0","230","31","0","12","0","0","0","29","31","27","37","14","40","9"
"
Hooper, Utah 
(41.163888, -112.103001)","Weber","16000US4936400",,"80519","0.29239999999999999","341","186","0","21","0","0","0","16","0","21","15","92","0","0","21","155","22","0","22","15","0","0","0","0","57","0","16","0","23","7093","3621","362","96","414","169","60","180","230","558","441","444","395","214","58","3472","329","95","485","146","49","138","210","455","494","434","348","209","80"
"
Scipio, Utah 
(39.245053, -112.103928)","Millard","16000US4967880",,"58750","0.43740000000000001","35","14","0","0","0","0","0","0","9","0","0","0","2","0","3","21","0","0","0","0","0","0","6","0","0","2","2","0","11","332","169","11","0","19","0","7","4","6","24","31","9","22","24","12","163","16","16","9","0","0","0","1","34","14","11","27","17","18"
"
Dugway, Utah 
(40.228667, -112.747028)","Tooele","16000US4920450",,"58750","0.29089999999999999","63","34","22","0","12","0","0","0","0","0","0","0","0","0","0","29","0","0","10","0","0","0","0","16","3","0","0","0","0","588","357","15","12","25","15","1","0","62","51","63","41","63","9","0","231","35","0","39","23","0","8","15","61","16","18","16","0","0"
"
Uintah, Utah 
(41.143443, -111.931043)","Weber","16000US4977890",,"63098","0.41049999999999998","69","13","0","0","4","0","0","0","0","3","3","0","0","0","3","56","25","3","0","5","0","0","0","14","5","0","1","3","0","1138","578","58","10","27","58","7","10","48","90","64","96","67","23","20","560","23","2","71","21","9","22","44","69","69","92","78","34","26"
"
Manila, Utah 
(40.988247, -109.722738)","Daggett","16000US4947620",,"33864","0.35730000000000001","29","14","0","0","0","0","0","0","0","2","0","0","8","4","0","15","2","0","0","0","0","0","1","12","0","0","0","0","0","172","108","7","0","13","6","0","0","2","5","11","1","12","33","18","64","9","0","6","3","0","0","1","11","0","0","9","13","12"
"
Kaysville, Utah 
(41.034877, -111.938645)","Davis","16000US4940360","3.8","84125","0.40670000000000001","1876","700","42","0","162","120","0","0","44","85","176","71","0","0","0","1176","152","0","187","111","28","122","107","16","317","52","25","0","59","26573","13402","1165","216","1585","916","266","606","1500","1630","1907","1666","1162","453","330","13171","1269","294","1667","847","264","293","879","1711","1774","1634","1473","618","448"
"
Orem, Utah 
(40.295836, -111.694436)","Utah","16000US4957300","4.3","51944","0.42320000000000002","17490","8622","1150","328","1076","187","156","389","2051","1802","528","421","261","178","95","8868","1099","23","700","402","258","0","3008","1446","802","459","392","187","92","71540","34420","2756","435","2988","1627","628","1006","5233","6049","3077","4109","3464","1986","1062","37120","3097","437","3124","1905","780","1380","5366","5128","4002","3795","3589","2784","1733"
"
Oakley, Utah 
(40.719161, -111.298515)","Summit","16000US4955650",,"71691","0.33339999999999997","16","13","0","0","0","0","0","0","5","0","0","8","0","0","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","1492","822","55","18","86","34","31","26","69","151","100","111","101","14","26","670","35","27","79","22","17","22","48","96","80","112","76","14","42"
"
Beryl Junction, Utah 
(37.70944, -113.65612)","Iron","16000US4905380",,"15536","0.40870000000000001","199","130","0","0","0","0","0","31","47","0","52","0","0","0","0","69","0","0","0","0","0","0","56","0","13","0","0","0","0","62","32","0","0","0","0","0","0","0","0","0","32","0","0","0","30","0","0","0","0","0","0","0","0","0","30","0","0","0"
"
Hatch, Utah 
(37.651357, -112.43445)","Garfield","16000US4933760",,"47917","0.24879999999999999","9","5","0","0","0","0","0","0","0","3","0","0","2","0","0","4","0","0","0","0","0","0","0","3","0","0","0","0","1","181","96","4","0","19","0","5","0","1","9","8","3","26","9","12","85","7","0","4","4","0","2","0","10","8","10","21","6","13"
