"company","parent_company","location","county","project_description","naics_industry_code","year","subsidy_value","megadeal_contribution","subsidy_value_adjusted_for_megadeal","program_name","awarding_agency","type_of_subsidy","number_of_jobs_or_training_slots","wage_data","wage_data_type","investment_data","source_of_data","notes","subsidy_source","cfda_program_number","loan_value","state_in_which_facility_is_located","location_1"
"IM Flash Technologies Inc.","Micron Technology","Utah","Utah",,,"2011","45900000","0","45900000","Economic Development Tax Increment Financing","Governor's Office of Economic Development","tax credit/rebate","200",,,,"http://business.utah.gov/site-media/page-media/content/other/Annual-Report-2011.pdf"," Year is fiscal year. ","state",,"0",,
"Procter & Gamble","Procter & Gamble","Utah",,,,"2010","44763","0","44763","Custom Fit Training Program","Utah College of Applied Technology","training reimbursement","112",,,,"direct from agency; not on web","Subsidy value is amount spent on training for the company. Jobs figure is number of workers trained. ","state",,"0",,
"ATK Aerospace Structures","Orbital ATK","Utah",,,,"2011","17288","0","17288","Custom Fit Training Program","Utah College of Applied Technology","training reimbursement","119",,,,"direct from agency; not on web","Subsidy value is amount spent on training for the company. Jobs figure is number of workers trained. ","state",,"0",,
"ATK ","Orbital ATK","Utah",,,,"2014","19307734","0","19307734","Economic Development Tax Increment Financing","Governor's Office of Economic Development","tax credit/rebate","200",,,,"http://business.utah.gov/GOED/about/annualreports/","Year is fiscal year. Subsidy value is maximum incentive. Jobs figure is number of contracted jobs over term of the agreement. ","state",,"0",,"
Clearfield,  
(41.022072, -78.438063)"
"eBay","eBay","Utah",,,,"2009","1719800","0","1719800","Economic Development Tax Increment Financing","Governor's Office of Economic Development","tax credit/rebate","200","70106217","payroll","40500000","agency provided spreadsheet version of data in http://business.utah.gov/site-media/page-media/files/E-Annual_Report_2009.pdf"," year is fiscal year ","state",,"0",,"
Draper,  
(40.52505, -111.864203)"
"ATK Launch Systems - Vicki W","Orbital ATK","Utah",,,,"2009","16643","0","16643","Custom Fit Training Program","Utah College of Applied Technology","training reimbursement","130",,,,"direct from agency; not on web","Subsidy value is amount spent on training for the company. Jobs figure is number of workers trained. ","state",,"0",,
"Micron Technology","Micron Technology","Utah",,"computer chip plant",,"1995","125000000","125000000","125000000","multiple","multiple","MEGADEAL","3500",,,"1300000000","The subsidy value came from: Jon Ure, ""Lehi Oks Micron Tax Break,"" Salt Lake Tribune, October 11, 1995. The jobs and investment projections came from: Steven Overbeck, ""Micron Plant Will Put Lehi in Chips,"" Salt Lake Tribune, March 14, 1995. ","The original subsidy package announced in March 1995 was worth $86 million. Micron later asked for more, and the amount was increased to $125 million. The subsidy included $50 million in sales tax exemptions on equipment purchases, with most of the rest consisting of infrastructure assistance. The plan was for Micron to lend the money to the city, which would then repay Micron using the company's own property tax payments. Although the plant was built, Micron delayed production in Lehi until 2007, by which time the plant was being operated by IM Flash Technologies, a joint venture of Micron and Intel. Overlaps with main Subsidy Tracker data: none.","multiple",,"0",,"
Lehi,  
(40.387876, -111.849167)"
"ATK Aerospace Structures","Orbital ATK","Utah",,,,"2009","32732500","0","32732500","Economic Development Tax Increment Financing","Governor's Office of Economic Development","tax credit/rebate","848","1664771288","payroll","250000000","agency provided spreadsheet version of data in http://business.utah.gov/site-media/page-media/files/E-Annual_Report_2009.pdf"," year is fiscal year ","state",,"0",,"
Clearfield,  
(41.022072, -78.438063)"
"IM Flash Technologies","Micron Technology","Utah",,,,"2011","41705","0","41705","Custom Fit Training Program","Utah College of Applied Technology","training reimbursement","99",,,,"direct from agency; not on web","Subsidy value is amount spent on training for the company. Jobs figure is number of workers trained. ","state",,"0",,
"Procter & Gamble","Procter & Gamble","Utah",,,,"2009","6757","0","6757","Custom Fit Training Program","Utah College of Applied Technology","training reimbursement","17",,,,"direct from agency; not on web","Subsidy value is amount spent on training for the company. Jobs figure is number of workers trained. ","state",,"0",,
