"loanrange","businessname","naics_description","address","city","state","zip","naicscode","businesstype","raceethnicity","gender","veteran","nonprofit","jobsretained","dateapproved","lender","cd"
"a $5-10 million","GREAT BASIN INDUSTRIAL, LLC","NonResidential Building Construction","1284 Flint Meadow Dr","KAYSVILLE","UT","84037","236210","Corporation","White","Male Owned","Unanswered",,"467","2020-04-13T00:00:00.000","KeyBank National Association","UT - 01"
"a $5-10 million","ASSOCIATED BRIGHAM CONTRACTORS, INC.","NonResidential Building Construction","75 N 900 W","BRIGHAM CITY","UT","84302","236220","Corporation","Unanswered","Unanswered","Unanswered",,"317","2020-04-10T00:00:00.000","Cache Valley Bank","UT - 01"
"a $5-10 million","SPARTAN COMPANIES 300, LLC","Utility System Construction","116 West 100","RICHMOND","UT","84333","237120","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"487","2020-04-03T00:00:00.000","Cache Valley Bank","UT - 01"
"a $5-10 million","WHITAKER CONSTRUCTION CO INC.","Utility System Construction","1050 W 44 S","BRIGHAM CITY","UT","84302","237120","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"500","2020-05-03T00:00:00.000","Zions Bank, A Division of","UT - 01"
"a $5-10 million","BH, INC.","Building Equipment Contractors","826 South 1500 East","VERNAL","UT","84078","238210","Corporation","White","Male Owned","Non-Veteran",,"441","2020-04-08T00:00:00.000","Zions Bank, A Division of","UT - 01"
"a $5-10 million","HARRIS & HART, INC.","Building Equipment Contractors","1759 West 1200 South","OGDEN","UT","84404","238220","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"276","2020-04-11T00:00:00.000","KeyBank National Association","UT - 01"
"a $5-10 million","INTERIORWORX, LLC","Building Equipment Contractors","723 Pacific Ave Suite 100","SALT LAKE CITY","UT","84104","238290","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,,"2020-04-27T00:00:00.000","Pacific Western Bank","UT - 02"
"a $5-10 million","NATURE'S SUNSHINE PRODUCTS INC","Food Manufacturing Other","2901 W Bluegrass Blvd Ste 100","LEHI","UT","84043","311999","Corporation","Unanswered","Unanswered","Unanswered",,"471","2020-04-14T00:00:00.000","Bank of America, National Association","UT - 03"
"a $5-10 million","JAS. D. EASTON, INC.","Misc Manufacturing","2150 S 1300 E, Ste 450","SALT LAKE CITY","UT","84106","339920","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"443","2020-04-08T00:00:00.000","Zions Bank, A Division of","UT - 02"
"a $5-10 million","JACKSON GROUP PETERBILT, INC.","Merchant Wholesalers","1910 S. 5500 W.","SALT LAKE CITY","UT","84104","423110","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"417","2020-04-10T00:00:00.000","Zions Bank, A Division of","UT - 02"
