"company","mailing_address","company_city","phone","license","valid_date","description","location_1"
"INTERMOUNTAIN POWER SERVICE","850 W. BRUSH WELLMAN RD","DELTA","801-864-4414","E254","2015-09-29T00:00:00.000","PORTABLE CONCERN LICENSE","
, UT 84624
(39.35765700300004, -112.59567859799995)"
"WOODCLIFFE  HLDNGS/INTERSTATE","PO BOX 486","PAGE","928 645-0880","E9201","2016-01-31T00:00:00.000","PORTABLE CONCERN LICENSE","
, AZ 86040
(36.91650690800003, -111.46136711699995)"
"MASTER PROT DBA FIRE MASTER",,"FORT MYERS","239 985-2100","E101","2016-03-27T00:00:00.000","PORTABLE CONCERN LICENSE","
, FL 33966
(26.57526346700007, -81.83632882699999)"
"CANYONS SCHOOL DISTRICT","9150 SO 500 W","SANDY","801-826-5000","E13741","2015-09-27T00:00:00.000","PORTABLE CONCERN LICENSE","
, UT 84070
(40.57814732300005, -111.88553958899996)"
"DAVIS COUNTY SCH DIST MNTCE","PO BOX 160452","CLEARFIELD","801 774-7480","E148","2015-07-04T00:00:00.000","PORTABLE CONCERN LICENSE","
, UT 84016-
(41.09888754200006, -112.03312639099994)"
"ABC FIRE & SAFETY","1602 SOUTH BROADWAY","CORTEZ","970 565-6100","E2801","2016-01-17T00:00:00.000","PORTABLE CONCERN LICENSE","
, CO 81321
(37.34968657600007, -108.59432827299997)"
"FIRE PRO, LLC","1388 SO. 920 WEST","HURRICANE","702 4323111","E2081","2015-08-18T00:00:00.000","PORTABLE CONCERN LICENSE","
, UT 84737
(37.16024868100004, -113.30529620599998)"
"INTEGRITY FIRE PROTECTION","PO BOX 743, MIDVALE, UT 84047","WEST VALLEY CITY","801-244-4066","E4430","2015-06-04T00:00:00.000","PORTABLE CONCERN LICENSE","
, UT 84119
(40.69923828100008, -111.94877679899997)"
"BESST FIRE & SAFETY","PO BOX 1501","ROOSEVELT","435 722-7233","E383","2015-08-17T00:00:00.000","PORTABLE CONCERN LICENSE","
, UT 84066
(40.30802702100004, -110.00722847199995)"
"ENERGY FUELS","6425 S HIGHWAY 191","BLANDING","435-678-2221","E4790","2015-08-13T00:00:00.000","PORTABLE CONCERN LICENSE","
, UT 84511
(37.625359795000065, -109.47745933099998)"
"TONG'S FIRE - ELSINORE BRANCH","P.O. BOX 135","ELSINORE","435-590-3500","E377B","2015-04-16T00:00:00.000","PORTABLE BRANCH OFFICE LICENSE","
, UT 84724
(38.66554976700007, -112.14352863599998)"
"ALTA FIRE PROTECTION COMPANY","206 W. 3620 SOUTH","SALT LAKE CITY","801 269-1555","E2255","2015-10-28T00:00:00.000","PORTABLE CONCERN LICENSE","
, UT 84115
(40.715458186000035, -111.88832908299997)"
