"county","processed_date","amount","fiscal_year","entity_trans_id","description","ref_id","type","contract_name","contract_number","entity1","entity2","name1","name2","acccount","name3","fund","subfund"
"Summit County","2014-11-10T09:36:00.000","16.8","2014","AP,04/14,124314230000,604,1","ACCOUNTS PAYABLE","NULL","Expenditure","NULL","NULL","General","NULL","NULL","NULL","GENERAL","TRAVEL/TRAINING","Health","NULL"
"Summit County","2014-11-10T09:36:00.000","25","2014","CRZION,01/14,103225000000,16000805,1","CASH RECEIPTS - ZIONS BANK CHECKING","NULL","Revenue","NULL","NULL","Summit County","NULL","NULL","NULL","LICENSES AND PERMITS","ANIMAL LICENSES","General Fund","NULL"
"Summit County","2014-11-10T09:36:00.000","49.6","2014","CRZION,01/14,103412000000,5004870,1","CASH RECEIPTS - ZIONS BANK CHECKING","NULL","Revenue","NULL","NULL","Summit County","NULL","NULL","NULL","Fees","RECORDER FEES","General Fund","NULL"
"Summit County","2014-11-10T09:36:00.000","446.4","2014","CRZION,01/14,153412000000,5004870,2","CASH RECEIPTS - ZIONS BANK CHECKING","NULL","Revenue","NULL","NULL","Summit County","NULL","NULL","NULL","FEES FOR SERVICE","RECORDER FEES","Assessing & Collecting Fund","NULL"
"Summit County","2014-11-10T09:36:00.000","2.33","2014","CRZION,01/14,523444000000,24001940,1","CASH RECEIPTS - ZIONS BANK CHECKING","NULL","Revenue","NULL","NULL","Summit County","NULL","NULL","NULL","Fees","HAZARDOUS MATERIALS FEE","LANDFILL FUND MANAGEMENT ENTERPRISE","NULL"
"Summit County","2014-11-10T09:36:00.000","44.42","2014","CRZION,01/14,523443000000,24001940,2","CASH RECEIPTS - ZIONS BANK CHECKING","NULL","Revenue","NULL","NULL","Summit County","NULL","NULL","NULL","Fees","WASTE DISPOSAL","LANDFILL FUND MANAGEMENT ENTERPRISE","NULL"
"Summit County","2014-11-10T09:36:00.000","2","2014","CRZION,01/14,523444000000,24001941,1","CASH RECEIPTS - ZIONS BANK CHECKING","NULL","Revenue","NULL","NULL","Summit County","NULL","NULL","NULL","Fees","HAZARDOUS MATERIALS FEE","LANDFILL FUND MANAGEMENT ENTERPRISE","NULL"
"Summit County","2014-11-10T09:36:00.000","38","2014","CRZION,01/14,523443000000,24001941,2","CASH RECEIPTS - ZIONS BANK CHECKING","NULL","Revenue","NULL","NULL","Summit County","NULL","NULL","NULL","Fees","WASTE DISPOSAL","LANDFILL FUND MANAGEMENT ENTERPRISE","NULL"
"Summit County","2014-11-10T09:36:00.000","21.71","2014","CRZION,01/14,523444000000,24001938,1","CASH RECEIPTS - ZIONS BANK CHECKING","NULL","Revenue","NULL","NULL","Summit County","NULL","NULL","NULL","Fees","HAZARDOUS MATERIALS FEE","LANDFILL FUND MANAGEMENT ENTERPRISE","NULL"
"Summit County","2014-11-10T09:36:00.000","412.54","2014","CRZION,01/14,523443000000,24001938,2","CASH RECEIPTS - ZIONS BANK CHECKING","NULL","Revenue","NULL","NULL","Summit County","NULL","NULL","NULL","Fees","WASTE DISPOSAL","LANDFILL FUND MANAGEMENT ENTERPRISE","NULL"
