"disaster_number","year","region","region_number","state_abbreviation","county","declaration_date","disaster_type","incident_type","title","incident_begin_date","incident_end_date","disaster_close_out_date","location_1"
"4011","2011","Region VIII","8","UT","Wasatch","2011-08-08T00:00:00.000","DR","Flood","FLOODING","2011-04-18T00:00:00.000","2011-07-16T00:00:00.000","NA","
, Utah 
(39.36070123200005, -111.58712831499997)"
"4011","2011","Region VIII","8","UT","Uintah","2011-08-08T00:00:00.000","DR","Flood","FLOODING","2011-04-18T00:00:00.000","2011-07-16T00:00:00.000","NA","
, Utah 
(39.36070123200005, -111.58712831499997)"
"2703","2007","Region VIII","8","UT","Uintah","2007-06-30T00:00:00.000","FM","Fire","NEOLA NORTH FIRE","2007-06-30T00:00:00.000","2007-07-05T00:00:00.000","7/14/10","
, Utah 
(39.36070123200005, -111.58712831499997)"
"4011","2011","Region VIII","8","UT","Beaver","2011-08-08T00:00:00.000","DR","Flood","FLOODING","2011-04-18T00:00:00.000","2011-07-16T00:00:00.000","NA","
, Utah 
(39.36070123200005, -111.58712831499997)"
"1598","2005","Region VIII","8","UT","Sevier","2005-08-01T00:00:00.000","DR","Flood","FLOODING AND LANDSLIDES","2005-04-28T00:00:00.000","2005-06-29T00:00:00.000","1/31/12","
, Utah 
(39.36070123200005, -111.58712831499997)"
"720","1984","Region VIII","8","UT","Davis","1984-08-17T00:00:00.000","DR","Flood","SEVERE STORMS, MUDSLIDES, LANDSLIDES & FLOODING","1984-08-17T00:00:00.000","1984-08-17T00:00:00.000","8/22/97","
, Utah 
(39.36070123200005, -111.58712831499997)"
"1576","2005","Region VIII","8","UT","Kane","2005-02-01T00:00:00.000","DR","Severe Storm","SEVERE STORMS AND FLOODING","2005-01-08T00:00:00.000","2005-01-12T00:00:00.000","1/31/12","
, Utah 
(39.36070123200005, -111.58712831499997)"
"3024","1977","Region VIII","8","UT","Box Elder","1977-01-20T00:00:00.000","EM","Drought","DROUGHT","1977-01-20T00:00:00.000","1977-01-20T00:00:00.000","12/13/78","
, Utah 
(39.36070123200005, -111.58712831499997)"
"680","1983","Region VIII","8","UT","Davis","1983-04-30T00:00:00.000","DR","Flood","SEVERE STORMS, LANDSLIDES & FLOODING","1983-04-13T00:00:00.000","1983-04-13T00:00:00.000","8/22/97","
, Utah 
(39.36070123200005, -111.58712831499997)"
"680","1983","Region VIII","8","UT","Carbon","1983-04-30T00:00:00.000","DR","Flood","SEVERE STORMS, LANDSLIDES & FLOODING","1983-04-13T00:00:00.000","1983-04-13T00:00:00.000","8/22/97","
, Utah 
(39.36070123200005, -111.58712831499997)"
"680","1983","Region VIII","8","UT","Millard","1983-04-30T00:00:00.000","DR","Flood","SEVERE STORMS, LANDSLIDES & FLOODING","1983-04-13T00:00:00.000","1983-04-13T00:00:00.000","8/22/97","
, Utah 
(39.36070123200005, -111.58712831499997)"
"5044","2013","Region VIII","8","UT","Summit","2013-08-13T00:00:00.000","FM","Fire","ROCKPORT FIVE FIRE","2013-08-13T00:00:00.000","2013-08-19T00:00:00.000","NA","
, Utah 
(39.36070123200005, -111.58712831499997)"
"3024","1977","Region VIII","8","UT","Tooele","1977-01-20T00:00:00.000","EM","Drought","DROUGHT","1977-01-20T00:00:00.000","1977-01-20T00:00:00.000","12/13/78","
, Utah 
(39.36070123200005, -111.58712831499997)"
"2990","2012","Region VIII","8","UT","Millard","2012-06-27T00:00:00.000","FM","Fire","CLAY SPRINGS FIRE","2012-06-27T00:00:00.000",,"NA","
, Utah 
(39.36070123200005, -111.58712831499997)"
"680","1983","Region VIII","8","UT","Weber","1983-04-30T00:00:00.000","DR","Flood","SEVERE STORMS, LANDSLIDES & FLOODING","1983-04-13T00:00:00.000","1983-04-13T00:00:00.000","8/22/97","
, Utah 
(39.36070123200005, -111.58712831499997)"
"760","1986","Region VIII","8","UT","Cache","1986-03-13T00:00:00.000","DR","Flood","HEAVY RAINS, SNOWMELT & FLOODING","1986-02-12T00:00:00.000","1986-02-22T00:00:00.000","4/12/91","
, Utah 
(39.36070123200005, -111.58712831499997)"
"2521","2004","Region VIII","8","UT","Washington","2004-06-16T00:00:00.000","FM","Fire","BROOKSIDE FIRE","2004-06-16T00:00:00.000",,"5/17/05","
, Utah 
(39.36070123200005, -111.58712831499997)"
"3024","1977","Region VIII","8","UT","Uintah","1977-01-20T00:00:00.000","EM","Drought","DROUGHT","1977-01-20T00:00:00.000","1977-01-20T00:00:00.000","12/13/78","
, Utah 
(39.36070123200005, -111.58712831499997)"
"2983","2012","Region VIII","8","UT","Utah","2012-06-22T00:00:00.000","FM","Fire","DUMP FIRE","2012-06-22T00:00:00.000",,"NA","
, Utah 
(39.36070123200005, -111.58712831499997)"
"3024","1977","Region VIII","8","UT","Garfield","1977-01-20T00:00:00.000","EM","Drought","DROUGHT","1977-01-20T00:00:00.000","1977-01-20T00:00:00.000","12/13/78","
, Utah 
(39.36070123200005, -111.58712831499997)"
"3024","1977","Region VIII","8","UT","Grand","1977-01-20T00:00:00.000","EM","Drought","DROUGHT","1977-01-20T00:00:00.000","1977-01-20T00:00:00.000","12/13/78","
, Utah 
(39.36070123200005, -111.58712831499997)"
"3223","2005","Region VIII","8","UT","Millard","2005-09-05T00:00:00.000","EM","Coastal Storm","HURRICANE KATRINA EVACUATION","2005-08-29T00:00:00.000","2005-10-01T00:00:00.000","6/22/10","
, Utah 
(39.36070123200005, -111.58712831499997)"
