"name","fullname","featureuri","label","description","symbol","otherid","specificationuri","featuretype","geologichistory","representativeageuri","youngerageuri","olderageuri","intervalsincemovement","observationmethod","positionaccuracymeters","positionaccuracy","displacement","sliprate","slipaccumulationinterval","movementtype","movementsense","dipdirection","datemostrecentevent","recurrenceinterval","totalslip","source","none"
"Copyright © Arizona Geological Survey, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annabella graben faults","Annabella graben","http://resources.usgin.org/uri-gin/utgs/activefault/id:2472/","Annabella Graben","Annabella Graben 2472","2.13.2",,,"Normal fault","latest Quaternary",,,,"< 15 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","NW",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2472, Annabella graben faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Antelope Range fault","Antelope Range fault","http://resources.usgin.org/uri-gin/utgs/activefault/id:2517/","Antelope Range","Antelope Range 2517","2.13.3",,,"Normal fault","middle/late Quaternary",,,,"< 750 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","W; NW",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2517, Antelope Range fault, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Aquarius and Awapa Plateaus faults","Aquarius and Awapa Plateaus faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2505/","Aquarius","Aquarius 2505","2.13.3a",,,"Normal fault","Quaternary",,,,"< 1.6 Ma",,,,,"< 0.2 mm/yr",,"dip separation","normal","W",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2505, Aquarius and Awapa Plateaus faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Bald Mountain fault","Bald Mountain fault","http://resources.usgin.org/uri-gin/utgs/activefault/id:2390/","Bald Mtn.","Bald Mtn. 2390","2.13.3a",,,"Normal fault","Quaternary",,,,"< 1.6 Ma",,,,,"< 0.2 mm/yr",,"dip separation","normal","SE",,"null",,"Black, B.D., DuRoss, C.B., McDonald, G.N., and Hecker, S., compilers, 2004, Fault number 2390, Bald Mountain fault, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Bear Lake (west side) fault","Bear Lake (west side) fault","http://resources.usgin.org/uri-gin/utgs/activefault/id:2531/","Bear Lake W.","Bear Lake W. 2531","2.13.3a",,,"Normal fault","Quaternary",,,,"< 1.6 Ma",,,,,"< 0.2 mm/yr",,"dip separation","normal","E",,"null",,"Black, B.D., DuRoss, C.B., McDonald, G.N., and Hecker, S., compilers, 2004, Fault number 2531, Bear Lake (west side) fault, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/q",
"Bear River fault zone","Bear River fault zone","http://resources.usgin.org/uri-gin/utgs/activefault/id:730/","Bear River","Bear River 730","Class B",,,"Normal fault","Holocene",,,,"> 2.4 ka",,,,,"1 -5 mm/yr",,"dip separation","normal","W; E",,"1 - 100 ka",,"Black, B.D., DuRoss, C.B., McDonald, G.N., Hecker, S., and McCalpin, J.P., compilers, 2004, Fault number 730, Bear River fault zone, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/r",
"Bear River Range faults","Bear River Range faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2410/","Bear River Rng.","Bear River Rng. 2410","2.13.3a",,,"Normal fault","Quaternary",,,,"< 1.6 Ma",,,,,"< 0.2 mm/yr",,"dip separation","normal","W",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2410, Bear River Range faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Beaver Basin faults eastern margin faults","Eastern margin Beaver Basin faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2492a/","Beaver Basin E.","Beaver Basin E. 2492a","2.13.2",,,"Normal fault","latest Quaternary",,,,"< 15 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","W",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2492a, Beaver Basin faults, eastern margin faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Beaver Basin faults intrabasin faults","Central Beaver Basin faults and anticline","http://resources.usgin.org/uri-gin/utgs/activefault/id:2492b/","Beaver Basin Central","Beaver Basin Central 2492b","2.13.3",,,"Normal fault","late Quaternary",,,,"< 130 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","E; W",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2492b, Beaver Basin faults, intrabasin faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Beaver Ridge faults","Beaver Ridge faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2464/","Beaver Ridge","Beaver Ridge 2464","2.13.3",,,"Normal fault","middle/late Quaternary",,,,"< 750 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","E; W",,"null",,"Black, B.D., Hylland, M.D., and Hecker, S., compilers, 2004, Fault number 2464, Beaver Ridge faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Big Pass faults","Big Pass faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2366/","Big Pass","Big Pass 2366","2.13.3a",,,"Normal fault","Quaternary",,,,"< 1.6 Ma",,,,,"< 0.2 mm/yr",,"dip separation","normal","NE; SE",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2366, Big Pass faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Black Mountains faults","Black Mountains faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2487/","Black Mtns.","Black Mtns. 2487","2.13.3",,,"Normal fault","middle/late Quaternary",,,,"< 750 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","NE; SW",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2487, Black Mountains faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Black Rock area faults","Black Rock area faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2461/","Black Rock","Black Rock 2461","2.13.3",,,"Normal fault","middle/late Quaternary",,,,"< 750 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","E; W",,"null",,"Black, B.D., Hylland, M.D., and Hecker, S., compilers, 2004, Fault number 2461, Black Rock area faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Contains a data mapping for interchange formats, cardinality, formatting information and instructions for populating the content model.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Initial draft started with fields enumerated in the DataCatalog database compilation from state work plans","Stephen Richard","http://0.1","11/19/2010",,,,,,,,,,,,,,,,,,,,,,,,
"harmonize with usgs quaternary faults db, and with GeoSciML usage.","Stephen Richard","http://0.9","1/5/2011",,,,,,,,,,,,,,,,,,,,,,,,
"Blue Springs Hills faults","Blue Springs Hills faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2363/","Blue Spr.","Blue Spr. 2363","2.13.3",,,"Normal fault","middle/late Quaternary",,,,"< 750 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","NE",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2363, Blue Springs Hills faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Bright Angel fault system","Bright Angel fault system","http://resources.usgin.org/uri-gin/utgs/activefault/id:2514/","Bright Angel","Bright Angel 2514","2.13.3a",,,"Normal fault","Quaternary",,,,"< 1.6 Ma",,,,,"< 0.2 mm/yr",,"dip separation","normal","unspecified",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2514, Bright Angel fault system, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Broadmouth Canyon faults","Broadmouth Canyon faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2377/","Broadmouth Can.","Broadmouth Can. 2377","2.13.3",,,"Normal fault","late Quaternary",,,,"< 130 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","NW",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2377, Broadmouth Canyon faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
"Buckskin Valley faults","Buckskin Valley faults","http://resources.usgin.org/uri-gin/utgs/activefault/id:2499/","Buckskin Valley","Buckskin Valley 2499","2.13.3",,,"Normal fault","middle/late Quaternary",,,,"< 750 ka",,,,,"< 0.2 mm/yr",,"dip separation","normal","SE",,"null",,"Black, B.D., and Hecker, S., compilers, 1999, Fault number 2499, Buckskin Valley faults, in Quaternary fault and fold database of the United States: U.S. Geological Survey website, http://earthquakes.usgs.gov/regional/qfaults",
