"company","mailing_address","company_city","phone","license","valid_date","description","location_1"
"GAS N GO (FRAMP LLC)","565 WEST SR 198","SALEM","801-592-5275","P12581","2015-11-01T00:00:00.000","CLASS 4","
, UT 84653
(40.04524977800003, -111.66534774599995)"
"KEVIN'S CONOCO","BOX 1923","BEAVER","435 4385049","P1489","2015-06-19T00:00:00.000","CLASS 4","
, UT 84713
(38.273908351000046, -112.64125770599998)"
"VERN'S INC.","514 EAST STATE ROAD","LEHI","801 768-3587","P232","2015-05-15T00:00:00.000","CLASS 4","
, UT 84043
(40.404816363000066, -111.86183758399994)"
"STERLING STATION","446 E 500 S, MANTI, UT 84642","STERLING","435-835-4867","P5120","2015-10-14T00:00:00.000","CLASS 4","
, UT 84665
(39.20406974800005, -111.67778749599995)"
"COLEMAN'S  SINCLAIR","P O BOX 611","KANAB","435 644-2922","P259","2015-09-13T00:00:00.000","CLASS 4","
, UT 84741
(37.02663976200006, -112.47065975499999)"
"GAS SERVICES LLC","5775 US HWY 64","FARMINGTON","505-632-0907","P3220","2014-06-13T00:00:00.000","CLASS 3","
, NM 87401
(36.73908729800007, -108.19148977799995)"
"MAGNA MART LLC DBA FASTRAC#1","8588 WEST 2700 SOUTH","MAGNA","801-250-4279","P16311","2015-03-16T00:00:00.000","CLASS 4","
, UT 84044
(40.69955981100003, -112.08458863599998)"
"C-A-L RANCH STORES - AF","675 SO 500 EAST","AMERICAN FORK","801 763-7777","P8971","2015-04-25T00:00:00.000","CLASS 4","
, UT 84003
(40.39478809000008, -111.79577612099996)"
"GARY'S  PERFORMANCE","112 EAST 400 SOUTH","OREM","801 224-1153","P8931","2015-05-29T00:00:00.000","CLASS 4","
, UT 84058
(40.28155724700008, -111.70671654299997)"
"STATE TRAILER SUPPLY","3088 WASHINGTON BLVD","OGDEN","801 334-0700","P9931","2015-05-28T00:00:00.000","CLASS 4","
, UT 84401
(41.216128825000055, -111.99699766999998)"
"LANDSCAPE CONSTRUCTION SUPPLY","PO BOX 668","TOOELE","435 882-8556","P13491","2015-03-11T00:00:00.000","CLASS 4","
, UT 84074
(40.55690893600007, -112.298606227)"
"ACE RENTS, INC.-PROVO","88 WEST 920 SOUTH","PROVO","801 375-7530","P520","2015-12-07T00:00:00.000","CLASS 4","
, UT 84601
(40.23455732300005, -111.67783963599999)"
"DIAMOND RENTAL","3752 W 4700 SOUTH","SALT LAKE CITY","801 966-6300","P495","2015-05-12T00:00:00.000","CLASS 4","
, UT 84129
(40.652338291000035, -111.96184657599997)"
"STEVE'S SHELL","195 SOUTH MAIN","CEDAR CITY","435 586-8164","P113","2015-11-14T00:00:00.000","CLASS 4","
, UT 84720
(37.663739228000054, -113.09704878299999)"
"BRADFORD TIRE","39 EAST CENTER","BLANDING","435 678-2364","P579","2015-04-13T00:00:00.000","CLASS 4","
, UT 84511
(37.625359795000065, -109.47745933099998)"
"FAST STOP 611","PO BOX 15054, OGDEN, UT 84415","SO. OGDEN","801-627-2888","P3540","2014-08-23T00:00:00.000","CLASS 4","
, UT 84403
(41.18516631600005, -111.94789910799994)"
"LARKIN TIRES, INC.","945 S STATE","PLEASANT GROVE","801-785-6555","P2810","2015-04-08T00:00:00.000","CLASS 4","
, UT 84062
(40.37518777100007, -111.74238903799994)"
"AMANGIRI","1 KAYENTA RD","CANYON POINT","435 675-3999","P14131","2014-06-10T00:00:00.000","CLASS 4","
, UT 84741
(37.02663976200006, -112.47065975499999)"
"FAST STOP 211","PO BOX 150545, OGDEN, UT 84415","MT GREEN","801-876-3471","P3550","2014-08-23T00:00:00.000","CLASS 4","
, UT 84050
(41.076167508000026, -111.71853930299994)"
"AMERIGAS PROPANE - PRICE","7600 E HWY 6","PRICE","435 637-0393","P205","2015-03-07T00:00:00.000","CLASS 1 BRANCH","
, UT 84501
(39.589176276000046, -110.80335948399994)"
"ARCHVIEW RESORT CAMP PARK","P O BOX 938","MOAB","435 259-7854","P638","2015-06-13T00:00:00.000","CLASS 4","
, UT 84532
(38.552297198000076, -109.52510666099994)"
"FREEDOM FORD","PO BOX 820","GUNNISON","435 528-7244","P1789","2015-06-04T00:00:00.000","CLASS 3","
, UT 84634
(39.15359816400007, -111.82125957799997)"
"BASIN PROPANE SYSTEMS","2949 WEST 1100 NORTH","VERNAL","801 789-8466","P560","2015-09-03T00:00:00.000","CLASS 1","
, UT 84078
(40.44988710500007, -109.53864569899997)"
"U-HAUL CO. - 720052","5305 S STATE STREET","MURRAY","801-262-8958","P616","2015-10-28T00:00:00.000","CLASS 4","
, UT 84107
(40.661658328000044, -111.88116851399997)"
"FIRST CALL PROPANE","PO BOX 825","ROOSEVELT","435 8222255","P14011","2015-07-19T00:00:00.000","CLASS 1","
, UT 84066
(40.30802702100004, -110.00722847199995)"
"K & B SERVICES, INC.","PO BOX 8","LEWISTON","435 258-2414","P1392","2015-12-13T00:00:00.000","CLASS 4","
, UT 84320
(41.96639830500004, -111.85649757299996)"
"PICK AND RAIL MARKET","PO BOX 911958, ST GEORGE 84791","HELPER","435-472-3449","P50","2015-04-25T00:00:00.000","CLASS 4","
, UT 84526
(39.66834662100007, -110.85471744899996)"
"KEN BETTRIDGE DIST. #4","PO BOX 338","CEDAR CITY","435 586-3287","P116","2016-01-24T00:00:00.000","CLASS 4","
, UT 84721
(37.72021995500006, -113.07851733399997)"
