"case_type","ein","pn","plan_year","plan_name","plan_admin","plan_admin_state","plan_admin_zip_code","final_close_reason","final_close_date","penalty_amount"
"Deficient Filer","13-3804503","1","2002","RAZORFISH, INC. 401K PLAN","RAZORFISH, INC.","Utah","84121-7080","Closed after Correspondence","2004-12-20T00:00:00.000","$0-$10,000"
"Deficient Filer","87-0235565","2","2002","NICHOLAS & COMPANY 401K PROFIT SHARING PLAN","NICHOLAS & COMPANY, INC.","Utah","84116-3725","Closed after Correspondence","2004-12-27T00:00:00.000","$0-$10,000"
"Later Filer","87-0441589","2","2002","WILSON FINANCIAL ADVISORS, INC. PSP","WILSON FINANCIAL ADVISORS, INC.","Utah","84102-1021","Closed after Correspondence","2004-10-12T00:00:00.000","$0-$10,000"
"Deficient Filer","87-0526068","1","2004","ISLAND VIEW RTC/OAKLEY SCHOOL 401K PLAN","ISLAND VIEW RTC/OAKLEY SCHOOL","Utah","84075-9013","Closed after Correspondence","2006-10-23T00:00:00.000","$10,001 - $50,000"
"Deficient Filer","87-0234702","1","2004","STATE BANK OF SOUTHERN UTAH PROFIT SHARING 401K PLAN","STATE BANK OF SOUTHERN UTAH","Utah","84720-2639","Closed after Correspondence","2006-10-10T00:00:00.000","$0-$10,000"
"Deficient Filer","87-0135310","1","2004","GRANITE FURNITURE COMPANY EMPLOYEE PROFIT SHARING PLAN","GRANITE FURNITURE COMPANY","Utah","84106-2356","Closed after Correspondence","2007-07-23T00:00:00.000","$0-$10,000"
"Deficient Filer","87-0495960","1","2004","SME 401K EMPLOYEE SAVINGS PLAN","SME","Utah","84088-5667","Closed after Correspondence","2007-02-27T00:00:00.000","$0-$10,000"
"Deficient Filer","87-0536706","1","2004","H.B. BOYS 401K","H.B. BOYS, L.C.","Utah","84115-2629","Closed after Correspondence","2007-03-19T00:00:00.000","$0-$10,000"
"Deficient Filer","38-3023403","1","2006","DETROIT DIESEL REMANUFACTURING CORPORATION RETIREMENT SAVINGS PLAN","DETROIT DIESEL REMANUFACTURING CORPORATION","Utah","84074-5100","Closed after Correspondence","2008-10-27T00:00:00.000","$10,001 - $50,000"
"Deficient Filer","87-0513901","1","2006","KERRY A OKELBERRY OD PC RETIREMENT PLAN TRUST","KERRY A OKELBERRY, OD PC","Utah","84084-2402","Closed after Correspondence","2009-05-07T00:00:00.000","$50,001 - $100,000"
"Deficient Filer","88-0404613","1","2007","INTERMOUNTAIN CONSULTING GROUP, INC. SAFE HARBOR 401K PLAN","INTERMOUNTAIN CONSULTING GROUP, INC.","Utah","84003-3377","Closed after Correspondence","2009-11-16T00:00:00.000","$0-$10,000"
"Deficient Filer","87-0503440","1","2007","VALLEY SERVICES, INC. PROFIT SHARING PLAN","VALLEY SERVICES, INC.","Utah","84118-3731","Closed after Correspondence","2010-03-25T00:00:00.000","$50,001 - $100,000"
"Deficient Filer","87-0465385","1","2007","METALCRAFT TECHNOLOGIES INC. 401K PROFIT SHARING PLAN","METALCRAFT TECHNOLOGIES, INC.","Utah","84721-8340","Closed after Correspondence","2010-05-17T00:00:00.000","$0-$10,000"
"Non Filer","87-0643818","333",,"Innovative Staffing Inc Retirement Plan","Innovative Staffing Inc","Utah","84095- ","Closed after Correspondence","2010-11-01T00:00:00.000","$0-$10,000"
