"column_0","address_1","case_number","city","clearance_type","created_at","day_of_week","hour_of_day","incident_datetime","incident_description","incident_id","incident_type_primary","latitude","location","longitude","parent_incident_type","state","updated_at","zip"
"0","600 Block N HIGHWAY 89","C1854828","FRUIT HEIGHTS",,"2018-02-04T07:21:48.000","Saturday","0","2018-02-03T00:34:03.000","Susp Circumstance","833337608","CAD: Susp Circumstance","41.04573389999999","{'coordinates': [-111.9100282, 41.0457339], 'type': 'Point'}","-111.9100282","Community Policing","UT","2018-02-18T06:05:01.000","84037"
"1","400 Block S 1800 E","C1854851","FRUIT HEIGHTS",,"2018-02-04T07:21:48.000","Saturday","1","2018-02-03T01:50:43.000","Susp Circumstance","833337606","CAD: Susp Circumstance","41.0273332","{'coordinates': [-111.897458, 41.0273332], 'type': 'Point'}","-111.897458","Community Policing","UT","2018-02-18T06:05:01.000","84037"
"2","6000 Block S 1900 W","C1854854","OUTSIDE DC",,"2018-02-04T07:21:48.000","Saturday","2","2018-02-03T02:30:30.000","Traffic Stop","833337605","CAD: Traffic Stop","38.9688507","{'coordinates': [-77.0614648, 38.9688507], 'type': 'Point'}","-77.0614648","Vehicle Stop","UT","2018-02-18T06:05:16.000","20015"
"3","300 Block N HIGHWAY 89","C1854859","FRUIT HEIGHTS",,"2018-02-04T07:21:48.000","Saturday","3","2018-02-03T03:10:25.000","Traffic Stop","833337604","CAD: Traffic Stop","41.0295993","{'coordinates': [-111.9085762, 41.0295993], 'type': 'Point'}","-111.9085762","Vehicle Stop","UT","2018-02-18T06:05:02.000","84037"
"4","8200 Block S 2650 E","C1854899","SOUTH WEBER",,"2018-02-04T07:21:48.000","Saturday","8","2018-02-03T08:05:40.000","Fraud Activities","833337603","CAD: Fraud Activities","41.1171878","{'coordinates': [-111.9101064, 41.1171878], 'type': 'Point'}","-111.9101064","Theft","UT","2018-02-18T06:05:02.000","84405"
"5","1000 Block E SOUTH WEBER DR","C1854914","SOUTH WEBER",,"2018-02-04T07:21:48.000","Saturday","9","2018-02-03T09:51:47.000","Missing Person","833337602","CAD: Missing Person","41.1345918","{'coordinates': [-111.9540086, 41.1345918], 'type': 'Point'}","-111.9540086","Missing Person","UT","2018-02-18T06:05:02.000","84405"
"6","8400 Block S HIGHWAY 89","C1854918","COUNTY NE",,"2018-02-04T07:21:48.000","Saturday","10","2018-02-03T10:01:38.000","Agency Assistance","833337601","CAD: Agency Assistance","40.0762684","{'coordinates': [-111.5813729, 40.0762684], 'type': 'Point'}","-111.5813729","Other","UT","2018-02-18T06:05:02.000","84660"
"7","300 Block N 2000 W","C1854950","WEST POINT",,"2018-02-04T07:21:48.000","Saturday","11","2018-02-03T11:32:53.000","Accident Property Damage","833337598","CAD: Accident Property Damage","41.11898980000001","{'coordinates': [-112.0645157, 41.1189898], 'type': 'Point'}","-112.0645157","Traffic","UT","2018-02-18T06:05:02.000","84015"
"8","400 Block N HIGHWAY 89","C1854957","FRUIT HEIGHTS",,"2018-02-04T07:21:48.000","Saturday","11","2018-02-03T11:55:27.000","Traffic Stop","833337597","CAD: Traffic Stop","41.0441252","{'coordinates': [-111.9097877, 41.0441252], 'type': 'Point'}","-111.9097877","Vehicle Stop","UT","2018-02-18T06:05:02.000","84037"
"9","E TERRACE DR","C1854985","FRUIT HEIGHTS",,"2018-02-04T07:21:48.000","Saturday","13","2018-02-03T13:54:19.000","Criminal Trespass","833337596","CAD: Criminal Trespass","41.0393328","{'coordinates': [-111.905601, 41.0393328], 'type': 'Point'}","-111.905601","Property Crime","UT","2018-02-18T06:05:02.000","84037"
"10","500 Block N HIGHWAY 89","C1855000","FRUIT HEIGHTS",,"2018-02-04T07:21:48.000","Saturday","15","2018-02-03T15:08:21.000","Accident Property Damage","833337592","CAD: Accident Property Damage","41.0451929","{'coordinates': [-111.9088762, 41.0451929], 'type': 'Point'}","-111.9088762","Traffic","UT","2018-02-18T06:05:02.000","84037"
"11","800 Block N 5000 W","C1855006","WEST POINT",,"2018-02-04T07:21:48.000","Saturday","15","2018-02-03T15:34:20.000","Residential Alarm","833337593","CAD: Residential Alarm","41.125594","{'coordinates': [-112.120144, 41.125594], 'type': 'Point'}","-112.120144","Alarm","UT","2018-02-18T06:05:02.000","84015"
"12","1 Block NB LEGACY PKWY","C1855025","CO SO DAVIS",,"2018-02-04T07:21:48.000","Saturday","16","2018-02-03T16:29:48.000","Traffic Stop","833337588","CAD: Traffic Stop","40.9182765","{'coordinates': [-111.8944148, 40.9182765], 'type': 'Point'}","-111.8944148","Vehicle Stop","UT","2018-02-18T06:05:03.000","84014"
"13","600 Block E MUTTON HOLLOW RD","C1849756","COUNTY NE",,"2018-01-23T08:00:33.000","Monday","5","2018-01-22T05:03:23.000","Traffic Stop","832263704","CAD: Traffic Stop","41.05628919999999","{'coordinates': [-111.924987, 41.0562892], 'type': 'Point'}","-111.924987","Vehicle Stop","UT","2018-02-06T06:45:41.000","84037"
"14","1000 Block E SOUTH WEBER DR","C1849763","SOUTH WEBER",,"2018-01-23T08:00:33.000","Monday","6","2018-01-22T06:34:12.000","Simple Assault","832263702","CAD: Simple Assault","41.1345918","{'coordinates': [-111.9540086, 41.1345918], 'type': 'Point'}","-111.9540086","Assault","UT","2018-02-06T06:45:41.000","84405"
"15","1200 Block E SOUTH WEBER DR","C1849796","SOUTH WEBER",,"2018-01-23T08:00:33.000","Monday","8","2018-01-22T08:49:04.000","School Zone Patrol","832263699","CAD: School Zone Patrol","41.1344488","{'coordinates': [-111.9481714, 41.1344488], 'type': 'Point'}","-111.9481714","Traffic","UT","2018-02-06T06:45:41.000","84405"
"16","3500 Block S 800 W","C1849802","CO SO DAVIS",,"2018-01-23T08:00:33.000","Monday","8","2018-01-22T08:59:45.000","Parking Problem","832263700","CAD: Parking Problem","40.8506148","{'coordinates': [-111.9020651, 40.8506148], 'type': 'Point'}","-111.9020651","Traffic","UT","2018-02-06T06:45:41.000","84010"
"17","400 Block N 3275 W","C1849816","WEST POINT",,"2018-01-23T08:00:33.000","Monday","9","2018-01-22T09:27:06.000","Threatening","832263698","CAD: Threatening","41.1198224","{'coordinates': [-112.088754, 41.1198224], 'type': 'Point'}","-112.088754","Disorder","UT","2018-02-06T06:45:41.000","84015"
"18","500 Block N 2200 W","C1849818","WEST POINT",,"2018-01-23T08:00:33.000","Monday","9","2018-01-22T09:30:04.000","Traffic Stop","832263697","CAD: Traffic Stop","41.1216405","{'coordinates': [-112.0688691, 41.1216405], 'type': 'Point'}","-112.0688691","Vehicle Stop","UT","2018-02-06T06:45:41.000","84015"
"19","1900 Block E VIEW DR","C1849822","SOUTH WEBER",,"2018-01-23T08:00:33.000","Monday","9","2018-01-22T09:40:46.000","Radar Enforcement","832263690","CAD: Radar Enforcement","41.1281307","{'coordinates': [-111.9298584, 41.1281307], 'type': 'Point'}","-111.9298584","Traffic","UT","2018-02-06T06:45:41.000","84405"
"20","1900 Block E VIEW DR","C1849827","SOUTH WEBER",,"2018-01-23T08:00:33.000","Monday","9","2018-01-22T09:54:15.000","Traffic Stop","832263696","CAD: Traffic Stop","41.1281307","{'coordinates': [-111.9298584, 41.1281307], 'type': 'Point'}","-111.9298584","Vehicle Stop","UT","2018-02-06T06:45:41.000","84405"
"21","7600 Block S 1900 E","C1849833","SOUTH WEBER",,"2018-01-23T08:00:33.000","Monday","10","2018-01-22T10:02:33.000","Traffic Stop","832263695","CAD: Traffic Stop","41.127441","{'coordinates': [-111.930286, 41.127441], 'type': 'Point'}","-111.930286","Vehicle Stop","UT","2018-02-06T06:45:41.000","84405"
"22","S OLD LAKE LN & S MOUNTAIN RD","C1849836","FRUIT HEIGHTS",,"2018-01-23T08:00:33.000","Monday","10","2018-01-22T10:19:26.000","Traffic Stop","832263692","CAD: Traffic Stop","41.02324309999999","{'coordinates': [-111.904148, 41.0232431], 'type': 'Point'}","-111.904148","Vehicle Stop","UT","2018-02-06T06:45:41.000","84037"
"23","3200 Block W 300 N","C1849837","WEST POINT",,"2018-01-23T08:00:33.000","Monday","10","2018-01-22T10:19:58.000","Criminal Mischief","832263684","CAD: Criminal Mischief","41.1182814","{'coordinates': [-112.0887568, 41.1182814], 'type': 'Point'}","-112.0887568","Property Crime","UT","2018-02-06T06:45:41.000","84015"
"24","700 Block S MOUNTAIN RD","C1849842","FRUIT HEIGHTS",,"2018-01-23T08:00:33.000","Monday","10","2018-01-22T10:43:15.000","Traffic Stop","832263691","CAD: Traffic Stop","41.0234502","{'coordinates': [-111.9056904, 41.0234502], 'type': 'Point'}","-111.9056904","Vehicle Stop","UT","2018-02-06T06:45:41.000","84037"
"25","E ABRAMS WAY & N MOUNTAIN RD","C1849851","FRUIT HEIGHTS",,"2018-01-23T08:00:33.000","Monday","11","2018-01-22T11:39:24.000","Traffic Stop","832263689","CAD: Traffic Stop","41.0382522","{'coordinates': [-111.907122, 41.0382522], 'type': 'Point'}","-111.907122","Vehicle Stop","UT","2018-02-06T06:45:41.000","84037"
"26","E NICHOLLS RD & S MOUNTAIN RD","C1849853","FRUIT HEIGHTS",,"2018-01-23T08:00:33.000","Monday","11","2018-01-22T11:51:48.000","Traffic Stop","832263688","CAD: Traffic Stop","41.0274524","{'coordinates': [-111.9013437, 41.0274524], 'type': 'Point'}","-111.9013437","Vehicle Stop","UT","2018-02-06T06:45:41.000","84037"
"27","200 Block S MOUNTAIN RD","C1849857","FRUIT HEIGHTS",,"2018-01-23T08:00:33.000","Monday","12","2018-01-22T12:04:13.000","Community Oriented Policing","832263687","CAD: Community Oriented Policing","41.03189829999999","{'coordinates': [-111.9026434, 41.0318983], 'type': 'Point'}","-111.9026434","Community Policing","UT","2018-02-06T06:45:41.000","84037"
