"service_type","agency_name","health_needs_targeted","street_address","mailing_address_if_different","phone","fax","website","e_mail","hours","description_of_services","fees","eligibility_requirements","area_served","non_english_languages","wheelchair_accessibility"
"Local Health Department","Southwest Utah Public Health Department Washington County","Public Health","168 North 100 East    St. George UT  84770",,"435-986-2540","435-628-3425","www.swuhealth.org",,,"Baby your Baby, Cancer Control, Child Care Resources & Referrals, Environmental Health, Family Planning, Health Education, Immunizations, Communicable Disease Control, School Health, Well Child Screening, WIC, Family Health, Children with Special Health Care Needs, Aging Services, Vital Records, Injury Prevention, Smoking Cessation, Home Visitations.","Dependant on Services Provided",,"Garfield, Iron, Kane, Washington, Beaver Counties",,
,"Garfield County","Public Health","609 North Main          Panguitch UT 84759       ","PO Box 374         Panguitch UT 84759","435-676-8800","435-676-8865",,,,,,,"Garfield County",,
,"Iron County","Public Health","260 E D L Sargent,  Cedar City UT  84720",,"435-865-5140","435-586-4851",,,,,,,"Iron County",,
,"Kane County","Public Health","245 South 200 East   Kanab, UT  84741",,"435-644-2537","435-644-5024",,,,,,,"Kane County",,
,"Beaver County","Public Health","75 W 1175 N         Beaver UT 84713","PO Box G             Beaver UT 84713","435-438-2482","435-438-2108",,,,,,,"Beaver County",,
"Hospitals/ Clinics","Color Country Health Express","Women's Health Clinic","595 S Bluff Ste 1           St George UT 84770",,"435-674-9933",,,,,"Women's health care needs, family planning, and physical exams, planned parenthood contract provider","Dependant on Services Provided",,"Washington county and surrounding area",,
,"Dixie College Dental Hygiene Program","Preventative Dental Services ","Jennings Technology Bldg Dixie College Campus   225 S 700 E                   St George UT 84770 ",,"435-652-7874",,"http://new.dixie.edu/health/dental/",,,"Preventative services for adults and children. ","Medicaid, reduced fee schedule",,"St George area  ",,
,"Dixie Regional Medical Center","Full Hospital Care with 2 campus locations*","River Road Campus* 1380 E Medical Center Dr                St George UT 84790","400 East Campus* 544 S 400 E            St George UT 84770","435-251-1000",,"http://intermountainhealthcare.org/xp/public/dixie/",,"24 Hour Emergency, Other departments vary","Serves Full Range of Health Care Needs","Dependant on services provided",,"Statewide","Yes","x"
,"Doctor's Free Volunteer Clinic of St George","Primary Medical and Dental care for uninsured","1036 East Riverside Dr   St George UT 84790",,"435-656-0022",,,,"M-H 1:00pm - 3:00pm, call for appointment","Basic Medical and Dental Health Care needs","Sliding fee scale ","Must be individuals who have no health insurance of any kind.","Washington county area","Yes","x"
,"Enterprise Valley Medical Clinic","Primary Medical and Dental Care Clinic","223 S 200 E      Enterprise UT 84725","PO Box 370   Enterprise UT 84725","435-878-2281","435-878-2434","http://www.auch.org/membership/evmc.html",,"M,W, H, F 8:00am - 5:00pm;  T 8:00am - 7:00pm","Comprehensive primary health care including emergency care, well child clinic, immunizations, family planning, lab, x-ray,  vision, translation, education, mental health, home visits. Dental care and  Pharmacy services.","Medicaid, PCN, Chip, Sliding fee scale",,"Washington county and surrounding area",,"x"
,"Family Dental Plan","Dental Clinic","321 N Mall Dr Ste M101             St George UT          84790-7308",,"435-652-3806",,,,,"Primary Dental Services","Medicaid, PCN, Chip",,"Washington county area","Yes","x"
,"IHC Home Health and Hospice","Home Health Nursing and Hospice","1240 E 100 S Bldg 22   Suite 219                       St George UT  84790",,"435-688-4567","435-688-4564","www.intermountainhealthcare.org","Access on web site","M-F 8:00am - 5:00pm","Home Health care and Hospice care","Dependant on Services Provided","Must be referred by attending physician","Washington, Garfield, Piute, Kane counties","yes",
,"Rocky Mountain Hospice","Home Health Nursing and Hospice","1722 E 280 N Unit V-1   St George UT 84790",,"435-673-6699",,,,,"Home Health Care, including rehab, home nursing, IV services, immunizations, home health education, Hospice Care","Dependant on services provided","Home health care must be ordered by attending physician","Washington county and surrounding area",,"x"
,"Southern Utah Hospice ","Hospice care","736 S 900 E  Suite B107 St George UT 84790",,"435-634-9300",,,,,"End of life care","Dependant on Services Provided",,"St George area. Locations also in Hurricane, Enterprise, and Hilldale Utah. Call for details.",,
,"Southwest Utah Community Health Center","Primary Medical and Dental Care ","168 N 100 E                  St George UT  84770",,"435-986-2565 after hours 435-632-2027","435-986-2577","http://www.swuchc.com/","www.clinics@swuchc.com","M-F 8:00am - 7:00pm","Family Health Care, Infant & Child Health care, Adolescent medicine, Women's health, Prenatal and Delivery, Immunization, family planning, Preventative care, behavioral health, after hours and emergency care available","Medicaid, PCN, Chip, Sliding fee scale, no one denied access due to ability to pay",,,"Yes","x"
"Health Referral","Community Health Information Center","Health Information centers located in both Dixie Regional Medical campus locations","River Road Campus* 1380 E Medical Center Dr                St George UT 84790","400 East Campus* 544 S 400 E            St George UT 84770","435-251-2222",,,,,,,,,,
"Mental Health/ Counseling","Intermountain Specialized Abuse Treatment Center (ISAT)","Mental Health and Substance Abuse Services","321 N Mall Drive #A101  St George UT  84790",,"435-628-8075",,"http://www.isatcenter.org/",,,"Counseling for individuals, couples, families and group therapy. Outpatient Substance Abuse treatment, including adolescents, DUI/DWI offenders, Domestic Violence Victims and Offenders.","Self payment, Medicare, Private health insurance, Military insurance. Sliding fee scale",,"Washington and surrounding area",,"x"
