"county","processed_date","amount","fiscal_year","entity_trans_id","description","ref_id","type","contract_name","contract_number","entity1","entity2","name1","name2","acccount","name3","fund","subfund"
"Emery County","2015-01-31T07:01:00.000","14.95","2014","AP.12/31/2014.190","ACCOUNTS PAYABLE","NULL","Expenditure","NULL","NULL","Class B Road","NULL","NULL","NULL","CLASS B ROAD","SUPPLIES & MAINT FOR EQUIPMENT","Class B and C Road Funds","NULL"
"Emery County","2015-01-31T07:14:00.000","6265.25","2014","755.PC.12/31/2014","Employee compensation","NULL","Payroll","NULL","NULL","104316 Ambulance","NULL","NULL","NULL","Employee Compensation","NULL","General Fund","NULL"
"Emery County","2015-01-31T07:14:00.000","2531.85","2014","762.PC.12/31/2014","Employee compensation","NULL","Payroll","NULL","NULL","104316 Ambulance","NULL","NULL","NULL","Employee Compensation","NULL","General Fund","NULL"
"Emery County","2015-01-31T07:14:00.000","1575.36","2014","102.PC.12/31/2014","Paid leave","NULL","Payroll","NULL","NULL","104210 Sheriff","NULL","NULL","NULL","Paid leave","NULL","General Fund","NULL"
"Emery County","2015-01-31T07:14:00.000","3116.35","2014","397.PC.12/31/2014","Paid leave","NULL","Payroll","NULL","NULL","104410 Road","NULL","NULL","NULL","Paid leave","NULL","General Fund","NULL"
"Emery County","2015-01-31T07:14:00.000","25509.18","2014","397.PB.12/31/2014","Employee benefits","NULL","Payroll","NULL","NULL","104410 Road","NULL","NULL","NULL","Employee Benefits","NULL","General Fund","NULL"
"Emery County","2015-01-31T07:14:00.000","2302.44","2014","960.PC.12/31/2014","Employee compensation","NULL","Payroll","NULL","NULL","314000 Swimming Pool","NULL","NULL","NULL","Employee Compensation","NULL","Swimming Pool","NULL"
"Emery County","2015-01-31T07:14:00.000","3431.13","2014","119.PB.12/31/2014","Employee benefits","NULL","Payroll","NULL","NULL","234663 SAN RAFAEL","NULL","NULL","NULL","Employee Benefits","NULL","San Rafael Museum","NULL"
"Emery County","2015-01-31T07:14:00.000","45868.04","2014","523.PC.12/31/2014","Employee compensation","NULL","Payroll","NULL","NULL","114415 Class B","NULL","NULL","NULL","Employee Compensation","NULL","Class B and C Road Funds","NULL"
"Emery County","2015-01-31T07:14:00.000","3282.9","2014","328.PC.12/31/2014","Paid leave","NULL","Payroll","NULL","NULL","104210 Sheriff","NULL","NULL","NULL","Paid leave","NULL","General Fund","NULL"
"Emery County","2015-01-31T07:14:00.000","21059.58","2014","119.PC.12/31/2014","Employee compensation","NULL","Payroll","NULL","NULL","234663 SAN RAFAEL","NULL","NULL","NULL","Employee Compensation","NULL","San Rafael Museum","NULL"
"Emery County","2015-01-31T07:14:00.000","5461.12","2014","291.PC.12/31/2014","Paid leave","NULL","Payroll","NULL","NULL","114415 Class B","NULL","NULL","NULL","Paid leave","NULL","Class B and C Road Funds","NULL"
"Emery County","2015-01-31T07:14:00.000","78.61","2014","824.PB.12/31/2014","Employee benefits","NULL","Payroll","NULL","NULL","104316 Ambulance","NULL","NULL","NULL","Employee Benefits","NULL","General Fund","NULL"
