"service_type","agency_name","health_needs_targeted","street_address","mailing_address_if_different","phone","fax","website","e_mail","hours","description_of_services","fees","eligibility_requirements","area_served","non_english_languages","wheelchair_accessibility"
"Local Health Department","Central Utah Public Health Department Sevier County","Public Health","70 Westview Drive    Richfield UT  84701",,"435-896-5451 or               435-896-5452","435-896-4353","www.centralutahpublichealth.com",,"M-F 8:00am-5:00pm Closed holidays","Baby your Baby, Cancer Screening, Children's Special Health Needs Clinic, Diabetes early intervention, Family planning, Immunizations, Infant development, Infectious disease control, School health, Well child physicals, WIC, Family health, Cholesterol sc",,"Dependant on services provided","Juab, Millard, Piute, Sanpete, Sevier, Wayne Counties",,"x"
,"Juab County","Public Health","160 North Main   Nephi UT  84648 ",,"435-623-0696","435-896-4353",,,,,,,"Nephi Area",,"x"
,"Eureka (WIC)","WIC Program","330 W Main       Eureka UT  84628",,"435-623-0696",,,,,"WIC",,,"Eureka Area",,"x"
,"West Millard","Public Health","428 East Topaz Blvd Suite D  Delta UT  84624","PO Box 176       Delta UT 84624","435-896-3612","435-896-4353",,,,,,,"Delta Area",,"x"
,"East Millard","Public Health","55 South 400 West Fillmore UT  84631  ","PO Box 745   Fillmore UT 84621","435-743-5723","435-896-4353",,,,,,,"Fillmore Area",,"x"
,"Piute County","Public Health","Courthouse    Junction UT  84740","PO Box 40 Junction UT 84740","435-577-2521","435-896-4353",,,,,,,"Piute County",,"x"
,"South Sanpete County","Public Health","40 West 200 North Manti UT  84642",,"435-835-2231","435-896-4353",,,,,,,"Manti Area",,"x"
,"North Sanpete County","Public Health","20 South 100 West Ste 30                    Mt. Pleasant  UT  84647",,"435-462-2449","435-462-9204",,,,,,,"Mt. Pleasant Area",,"x"
,"Wayne County","Public Health","Courthouse             18 South Main               Loa UT  84747","PO Box 326        Loa UT 84747","435-836-1317","435-836-1337",,,,,,,"Loa Area",,"x"
"Hospitals/ Clinics","Gunnison Valley Hospital","Hospital Care","64 E 100 N   Gunnison UT 84634","PO Box 759 Gunnison UT 84634","435-528-7246",,"http://www.gvhospital.org/","Access on web site","24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on services provided",,"Statewide ","yes","x"
