"ein","name","ico","street","city","state","zip","group","subsection","affiliation","classification","ruling","deductibility","foundation","activity","organization","status","tax_period","asset_cd","income_cd","filing_req_cd","pf_filing_req_cd","acct_pd","asset_amt","income_amt","revenue_amt","ntee_cd","sort_name"
"10430328","KANZEON INC",,"3575 SOUTH WEST TEMPLE","SALT LAKE CITY","UT","84115-4451","0","3","3","7000","198809","1","10","1029000","1","1",,"0","0","6","0","12",,,,,
"10584107","YOUTH DRIVING FOR VALUES","PAUL PUGMIRE","680 W 3300 S","S SALT LAKE","UT","84119-3320","0","3","3","1000","200209","1","15","0","1","1","201712","3","4","1","0","12","32581","236352","236352","N6A",
"10589975","BLANDING COMMUNITY LEGACY TRUST","BRETT HOSLER","50 W 100 S","BLANDING","UT","84511-3743","0","3","3","1000","200206","1","15","0","1","1","201706","0","0","2","0","6","0","0","0","T31",
"10600848","LEGACY CHARITABLE FOUNDATION","DAVID J BROMLEY","716 EAST 4500 SOUTH NO 260","MURRAY","UT","84107-3080","0","3","3","1000","200512","1","17","0","1","1","201712","3","1","2","0","12","65859","31","31","T20",
"10627411","HARMONY VALLEY VOLUNTEER FIRE ASSOCIATION","SANDY JIMERSON","PO BOX 621","NEW HARMONY","UT","84757-0621","0","3","3","1000","201409","1","16","0","1","1","201712","0","0","2","0","12","0","0","0","M19",
"10660932","WORLD CONGRESS OF HERPETOLOGY","ALAN SAVITZKY","1054 SUMAC DR","LOGAN","UT","84321-4814","0","3","3","2000","200211","1","16","0","1","1","201712","0","0","2","0","12","0","0","0","B03",
"10674266","UTAH COUNTY SHERIFFS COMMUNICATION AUXILLARY TEAM","WADE STARKS","140 W 900 S","OREM","UT","84058-6842","0","3","3","1000","200802","1","15","0","1","1","201712","0","0","2","0","12","0","0","0","M23",
"10682379","NATIONAL EXCHANGE CLUB","RENEE MILLER","5595 S STATE ST","MURRAY","UT","84107-6076","1097","4","9","1000","195009","2","0","59328000","5","1","201806","0","0","2","0","6","0","0","0",,"2765 MURRAY UT"
"10690693","LAWRENCE SOUTH IRRIGATION COMPANY","TY WILSON","PO BOX 651","HUNTINGTON","UT","84528-0651","0","12","3","2000","200303","2","0","0","1","1","201802","0","0","2","0","2","0","0","0","K20",
"10693259","MILTON CEMETARY ASSOCIATION","DOUGLAS FORD","1266 N MORGAN VALLEY DR","MORGAN","UT","84050-9635","0","13","3","2000","200208","1","0","0","1","1","201804","0","0","2","0","4","0","0","0","Y50",
"10703942","SARATOGA SPRINGS FIREFIGHTERS ASSOCIATION","DARREN WRIGHT","995 W 1200 N","SARATOGA SPGS","UT","84045-5418","0","3","3","1000","200301","1","16","0","1","1","201712","0","0","2","0","12","0","0","0","M24",
"10705322","COURAGEOUS CHRISTIANS UNITED","MATT VESSEY","6694 S SOL RISE DR","WEST JORDAN","UT","84081-8151","0","3","3","1270","200307","1","16","0","1","1","201712","1","3","2","0","12","2068","39730","39730","X802",
"10714863","COMMUNITY HOUSING SERVICES INC","KENNETH W PATTERSON","370 E 500 S STE 101","SALT LAKE CTY","UT","84111-3318","7216","3","9","1000","199505","1","15","380000000","1","1","201712","6","4","1","0","12","1305960","193831","193831",,"CEDAR CANYON INC"
"10751931","UTAH BUSINESS LENDING CORPORATION","GORDON HOLT","1196 W S JORDAN PARKWAY UNIT D","SOUTH JORDAN","UT","84095-5516","0","3","3","1000","200401","1","15","0","1","1","201712","4","3","2","0","12","471354","37961","37961","S32",
