"service_type","agency_name","health_needs_targeted","street_address","mailing_address_if_different","phone","fax","website","e_mail","hours","description_of_services","fees","eligibility_requirements","area_served","non_english_languages","wheelchair_accessibility"
"Local Health Department","Southeastern Utah District Health Department Carbon County","Public Health","28 South 100 East Price UT 84501","PO Box 800      Price UT  84501","435-637-3671","435-637-1933","www.southeastuthealth.org",,,"Baby your Baby, Cancer Screening, Early Intervention, Environmental Health, Family Planning, Immunizations, Infant Development, Infectious Disease Control, Medicaid-Newborn Health Visits, School Health, STD/HIV, Well Child Physicals, WIC, Family Health, Cholesterol Screening, Blood Pressure Checks & Adult Physical Exams, Work Site Community Heath Fair Screenings.",,"Dependant on Services Provided","Carbon, Emery, Grand, San Juan Counties",,"x"
,"Emery County","Public Health","25 West Main     Castle Dale UT  84513","PO Box 644    Castle Dale UT 84513","435-381-2252",,,,,,,,"Emery County Area",,"x"
,"Grand County","Public Health","471 South Main      Suite 4                Moab UT  84532","PO Drawer E     Moab UT  84532","435-259-5602",,,,,,,,"Grand County",,"x"
,"San Juan County","Public Health","117 South Main       Monticello UT  84535","PO Box 127      Monticello UT  84535","435-587-2021",,,,,,,,"San Juan County Monticello Area",,"x"
,"San Juan County","Public Health","196 East Center               Blanding UT 84511","PO Box E         Blanding UT  84511","435-678-2723",,,,,,,,"San Juan County/ Blanding Area",,"x"
"Hospitals/ Clinics","Allen Memorial Hospital","Hospital Care","719 W 400 N             Moab UT  84532","PO Box 998       Moab UT  84532","435-259-7191","435-259-5172","http://amhmoab.org/index.html","Access on web site"," 24 Hour Emergency, Other departments vary","Serves Range of Health Care Needs","Dependant on services provided",,"Statewide","Yes","x"
,"Blanding Medical Clinic/Birthing Center","Primary Medical care and Delivery of non-emergency term infants","804 N 400 W        Blanding UT  84511",,"435-678-3434",,,,"M-F 9:00am - 5:00pm","Primary Medical care and delivery of non-emergency term infants. Planned Parenthood contract provider.",,,"San Juan county and surrounding areas",,
,"Blanding Family Practice","Primary Medical, Dental, and Mental health care","800 S 200 W       Blanding UT  84511",,"435-678-3601",,"http://www.auch.org/membership/unhs.html",,,"Comprehensive primary health care including emergency care, well child clinic, immunizations, family planning, lab, x-ray,  vision, translation, education, home visits. Dental care.","Medicaid, PCN, Chip, Sliding fee scale",,"San Juan county and surrounding areas","Yes","x"
,"Community Nursing Service, Hospice","Home Health Nursing and Hospice","4892 Sunny Acres Ln  Moab UT  84532",,"435-259-0466 or toll free 1-866-220-1712","435-259-0467","www.cnsvna.org","Access on web site",,"Home Health Care, including rehab, home nursing, IV services, immunizations, home health education, Hospice Care","Dependant on services provided","Home health care must be ordered by attending physician","Grand county area",,"x"
,"Four Corners Regional Care Center","Long-term Care and Rehabilitation Services","818 N 400 W      Blanding UT  84511",,"435-678-2251","435-678-2326","http://www.horizonwest.com/fourcorners/","Access on web site",,"Long-term care including nursing home care, and long-term rehabilitation care","Dependant on services provided",,"San Juan county and surrounding areas",,"x"
