Company,Mailing Address,Phone,License,License Expiration Date,Location 1,Counties
VISION CLEANING SERVICES,1412 WEST 3090 SOUTH,801-540-8455,H16911,06/28/2015 12:00:00 AM,"SYRACUSE, UT 84075
(41.086217506000025, -112.06638740799997)",811
A-1 FIRE SPRINKLERS,P O BOX 27782,801 265-1374,H3830,02/18/2015 12:00:00 AM,"SALT LAKE CITY, UT 84127
(40.72590792500006, -111.94012589299996)",3176
AVERUS WEST LLC,1425 TRI STATE PKWY #16,855-900-2837,H3100,05/21/2015 12:00:00 AM,"GURNEE, IL 60031
(42.374789717000056, -87.93700766499995)",1718
"AQUA JET, INC.",1202 MICHAELSEN WAY,801-330-0398,H2610,02/05/2015 12:00:00 AM,"WEST JORDAN, UT 84088
(40.595488240000066, -111.96099929999997)",3176
KWIK CLEAN OF UTAH,P O BOX 711,801-815-0269,H3830,11/08/2014 12:00:00 AM,"WEST JORDAN, UT 84084
(40.62101949200007, -111.95890935199998)",3176
INDUSTRIAL HOOD CLEANING,5246 S STOCKTON STREET,801-969-3272,H3490,08/20/2014 12:00:00 AM,"KEARNS, UT 84118
(40.652286151000055, -112.00951997599998)",3176
"ALLIANCE FIRE & SAFETY, LLC",615 N 3050 E #A9,435 669-4039,H2294,01/03/2015 12:00:00 AM,"ST. GEORGE, UT 84790
(37.08085674100005, -113.55843622699996)",901
J'S POWER WASHING,386 E 6600 S,435-881-4358,H3150,05/29/2015 12:00:00 AM,"HYRUM, UT 84319
(41.63170687600007, -111.84826813199999)",2986
STATE FIRE DC SPECIALITIES,240 WEST 3680 SOUTH,801 288-2100,E243,04/01/2015 12:00:00 AM,"SALT LAKE CITY, UT 84115
(40.715458186000035, -111.88832908299997)",3176
PRESSURE CLEAN,3200 WEST 7800 SOUTH #571,801-967-6312,H2607,11/20/2014 12:00:00 AM,"WEST JORDN, UT 84084
(40.62101949200007, -111.95890935199998)",3176
A+ FIRE SYSTEMS,1350 WEST 1200 NORTH,435-668-6560,H13421,03/04/2015 12:00:00 AM,"ST. GEORGE, UT 84770
(37.115977420000036, -113.60079568499998)",901
TWO GUYS HOOD CLEANING,11980 SOUTH 3600 WEST,801-696-8127,H2457,10/22/2014 12:00:00 AM,"RIVERTON, UT 84065
(40.51054772700007, -111.94858996399995)",3176
INTERSTATE FIRE PROTECTION,P O BOX 7216,702-810-7335,H25,08/07/2015 12:00:00 AM,"BUNKERVILLE, NV 89007
(36.771127369000055, -114.12665866599997)",480
FIRE SUPPESSION SERVICES,3802 SOUTH 2300 EAST,801-277-6464,H5,01/01/2015 12:00:00 AM,"SALT LAKE CITY, UT 84109
(40.70412641200005, -111.81487676499995)",3176
UTAH HOOD CLEANING,1050 WEST RED HILLS PKWY  #6,801-717-8773,H16471,04/17/2015 12:00:00 AM,"WASHINGTON, UT 84780
(37.12577975200003, -113.50132981999997)",901
SUREFIRE SUPPRESSION,P O BOX 572031,801-252-6188,H14701,05/05/2015 12:00:00 AM,"MURRAY, UT 84107
(40.661658328000044, -111.88116851399997)",3176
FREEDOM FIRE SYSTEMS,40 NORTH 300 EAST #203,435-319-0289,H4830,08/19/2015 12:00:00 AM,"ST. GEORGE, UT 84770
(37.115977420000036, -113.60079568499998)",901
"CLEANER HOODS, INC.",3832 W. MOUNTAINTOP CIRCLE,801 785-1849,E11391,04/21/2015 12:00:00 AM,"CEDAR HILLS, UT 84062
(40.37518777100007, -111.74238903799994)",3182
"THE HOOD GUY, LLC",914 NORTH 300 WEST,801-763-0762,H4820,08/18/2015 12:00:00 AM,"AMERICAN FORK, UT 89003
(36.90577908900008, -116.76463750999994)",2401
FIRE GUYS,10260 NORTH 6000 WEST,801-815-7941,E16071,03/08/2015 12:00:00 AM,"HIGHLAND, UT 84003
(40.39478809000008, -111.79577612099996)",3182
TONG'S FIRE - ELSINORE BRANCH,P.O. BOX 135,435-590-3500,E377B,04/16/2015 12:00:00 AM,"ELSINORE, UT 84724
(38.66554976700007, -112.14352863599998)",3178
CLARK'S HOME FIRE SAFETY,PO BOX 821,435 650-0554,E14411,04/02/2015 12:00:00 AM,"WELLINGTON, UT 84542
(39.542975832000025, -110.72797798399995)",2987
BOSS FIRE PROTECTION,7127 SOUTH 400 WEST #5,801-301-8022,H10231,03/27/2015 12:00:00 AM,"MIDVALE, UT 84047
(40.617148092000036, -111.88374944699996)",3176
MAXWELL CLEANING,1245 WEST 700 SOUTH,801-782-2700,E14621,07/11/2015 12:00:00 AM,"MARRIOTT-SLATER, UT 84404
(41.26585741300005, -111.98805999399997)",3201
"TAYLOR BROTHERS OF UTAH, INC",2163 West 2200 South,801-972-1188,E13521,11/03/2014 12:00:00 AM,"WEST VALLEY CITY, UT 84119
(40.69923828100008, -111.94877679899997)",3176
DIRECT ATTACK FIRE AND SAFETY,815 S ANNABELLA RD,435-979-0313,H15921,10/16/2014 12:00:00 AM,"RICHFIELD, UT 84701
(38.76948664300005, -112.07845783299996)",3178
