"service_type","agency_name","health_needs_targeted","street_address","mailing_address_if_different","phone","fax","website","e_mail","hours","description_of_services","fees","eligibility_requirements","area_served","non_english_languages","wheelchair_accessibility","none"
"Local Health Department","Tri-County Health Department Uintah County","Public Health","147 East Main Street  Vernal UT  84078",,"435-781-5475 or toll free 1-866-275-0246","435-781-5372","www.tricountyhealth.com","info@tricountyhealth.com","M-F 8:00am-5:00pm call for clinic hours","Cancer Screening, Diabetes Control Program, Early Intervention, Immunizations, Infectious Disease Control, School Health, WIC, Cardiovascular Screenings, Cholesterol Screening, Blood Pressure Checks & Health Assessments, Medicaid Based Dental Health Services, Golden Age Services, Health/Safety Services, Substance Abuse Prevention","Dependant on Services Provided",,"Daggett, Duchesne, Uintah, Vernal Counties",,"x",
,"Vernal WIC Office","Public Health","147 East Main Street  Vernal UT  84078",,"435-781-5480",,,,"Call for clinic hours","WIC",,,"Vernal Area",,"x",
,"Daggett County Manilla Office","Public Health","Flaming Gorge Community Health Center, Manila UT 84046",,"435-784-3494 and 435-781-5480 WIC",,,,"By appointment, call for clinic hours",,,,"Daggett County Area",,"x",
,"Duchesne","Public Health","734 North Center Street Duchesne UT 84021",,"435-738-2202","435-738-2203",,,"M,T,F 8:00am - 12:00pm; H 8:00am-12:00pm, Closed for lunch, 1:00pm: 5:00pm. Closed Wednesdays",,,,"Duchesne County Area",,"x",
,"Roosevelt Office","Public Health","281 East 200 North   Roosevelt UT  84066",,"435-722-6300","435-722-6301",,,"M-F 8:00am - 5:00pm, call for clinic hours",,,,"Roosevelt Area",,"x",
,"Fort Duchesne","Public Health","PO Box 160               Fort Duchesne UT 84026",,"435-724-0351",,,,,"WIC",,,"Fort Duchesne Area",,"x",
,"Tri-County Dental Clinic ","Dental Care","198 West 200 North  Vernal UT  84078",,"435-781-0875","435-781-0975",,,"T,W,H  8:00am -12:30pm, 2:00pm-4:00pm Closed for lunch.","Dental Services","Dependant on Services Covered by Medicaid, PCN, or CHIP","Medicaid, PCN, CHIP","Daggett, Duchesne, Uintah, Vernal Counties","Spanish","Yes",
"Hospitals/ Clinics ","Ashley Valley Medical Center (Lifepoint)","Full Hospital Care ","151 W 200 N           Vernal UT  84078",,"435-789-3342 or toll free 1-866-725-2862",,"www.avmc-hospital.com",,"24 Hour Emergency, Other departments vary","Serves Full Range of Health Care Needs","Dependant on services provided",,"Statewide","Yes","x",
,"Uintah Basin Medical Center","Full Hospital Care ","250 W 300 N 75-2 Roosevelt UT  84066",,"435-722-4691",,"www.ubmc.org","comments@ubmc.org","24 Hour Emergency, Other departments vary","Serves Full Range of Health Care Needs","Dependant on services provided",,"Statewide","Yes","x",
,"Altamont Medical Clinic","Primary Medical Care","210 W 300 N 75-3 Roosevelt UT  84066",,"435-454-3173",,,,"M,W, F",,"Dependant on services provided",,,,,
,"Duchesne Valley Medical Clinic","Primary Medical Care","50 E 200 S          Duchesne UT  84021",,"435-738-2426",,,,,,"Dependant on services provided",,,,,
,"Manila Medical Clinic","Primary Medical Care","    96 N 1st W           Manila UT  84046",,"435-784-3575",,,"bdouglas@ubmc.org","M,T,H,F  9:00am - 4:30pm","Primary Medical Care","Dependant on Services Provided",,"Daggett county & surrounding area",,"x",
,"Tabiona Medical Clinic","Primary Medical Care","38080 W SR 35     Tabiona UT  84072",,"435-848-5509",,,,,,,,,,,
,"Roosevelt Community Based Veteran's Outpatient Clinic","Primary Medical Care","210 W 300 N 75-3 Roosevelt UT  84066",,"435-722-6108",,"http://www.saltlakecity.va.gov/roosevelt_cboc.asp",,"M-F 8:00am - 4:30pm","Primary Medical Care","Dependant on Services provided",,"Roosevelt & surrounding areas",,"x",
"Mental Health/ Counseling","Ashley Family Clinic","Mental Health & Substance Abuse Services","38 E 100 N              Vernal UT  84078",,"435-781-8000","435-781-8001",,,"M-F 8:00am - 8:00pm by appointment","Mental Health Services, Adult and Adolescent, Outpatient Substance Abuse treatment, Criminal Justice Clients, Mental Health treatment,  Counseling family, individuals, couples","Dependant on Services provided","Eligibility for services determined at intake procedure","Uintah, Daggett, Duchesne Counties and surrounding areas",,,"x"
,"Family Support Center Uintah Basin","Parenting and Counseling","259 N 700 E               Roosevelt UT  84066",,"435-722-2401",,"http://www.familysupportcenter.org/Coalition.html",,"M-F 8:00am - 6:00pm","Parenting Classes and additional counseling available for those who complete parenting classes. Crisis Nursery available.","Free",,"Uintah Basin area",,,
,"Northeastern Counseling Center Roosevelt","Mental Health & Substance Abuse Services","285 W 800 S   Roosevelt UT  84066",,"435-725-6300",,,,,"Mental Health Services, Adult and Adolescent, Outpatient Substance Abuse treatment, Criminal Justice Clients, Mental Health treatment,  Counseling","Private, Medicaid, Medicare, Military insurance, Self pay, sliding fee scale based on income and other factors","Eligibility for services determined at intake procedure","Roosevelt & surrounding areas",,,
,"Northeastern Counseling Center Vernal","Mental Health & Substance Abuse Services","1140 W 500 S         Vernal UT   84078","PO Box 1908     Vernal UT 84078","435-789-6300",,,,,"Mental Health Services, Adult and Adolescent, Outpatient Substance Abuse treatment, Criminal Justice Clients, Mental Health treatment,  Counseling","Private, Medicaid, Medicare, Military insurance, Self pay, sliding fee scale based on income and other factors","Eligibility for services determined at intake procedure","Vernal & surrounding areas",,,
,"Northeastern Counseling Center Duchesne","Mental Health & Substance Abuse Services","55 E 200 S         Duchesne UT  84021",,"435-738-5512",,,,,"Mental Health Services, Adult and Adolescent, Outpatient Substance Abuse treatment, Criminal Justice Clients, Mental Health treatment,  Counseling","Private, Medicaid, Medicare, Military insurance, Self pay, sliding fee scale based on income and other factors","Eligibility for services determined at intake procedure","Duchesne & surrounding areas",,,
"Domestic Violence","Women's Crisis Center","Domestic Violence Shelter","1052 West Market Dr  Vernal UT  84078",,"435-781-4250",,"www.womensdvshelter.org",,,"Provide temporary housing for victims of domestic violence & their children. Shelter operations 24 hours a day, 7 days a week.  Education, support, referral, and individual counseling available. ",,"Call for eligibility requirements",,,,
"People With Disabilities","Active Re-Entry","Assistance and services for individuals with disabilities","510 E Main Suite 3     Vernal UT 84078",,"435-789-4621",,"www.arecil.org",,"M-F 8:00am - 5:00pm","Support groups, education and training, Older Blind Program ","Dependent on services provided",,"Daggett, Duchesne, Uintah, Vernal Counties",,"x",
